step,Re,converged,residual_norm,norm,shear,power,unstable_count,max_real,max_complex_real,max_complex_imag,hopf_period_estimate,state_path
1,408.9,true,1.6422776033218388e-15,0.2747988986783228,1.6938318397879142,1.6938318397879142,1,0.07052140476590994,-0.0004232629634734614,-0.5047179413141266,12.448904215332924,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_4_7/restartable_eq_branch_refine_408_411_dRe0p1/states/xeq_step0001_Re408.90000000.asc
2,408.79999999999995,true,1.5919174918360506e-15,0.27478841252210356,1.6937754154560998,1.6937754154560998,1,0.07050956337843782,-0.0004731207407103477,-0.5047517831914811,12.44806955896581,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_4_7/restartable_eq_branch_refine_408_411_dRe0p1/states/xeq_step0002_Re408.80000000.asc
3,408.69999999999993,true,4.1714010921616324e-15,0.2747779265578529,1.6937190203683015,1.6937190203683015,1,0.0704977397784867,-0.0005230064529250823,-0.5047855992395512,12.44723565142324,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_4_7/restartable_eq_branch_refine_408_411_dRe0p1/states/xeq_step0003_Re408.70000000.asc
4,408.5999999999999,true,3.1108899423150645e-15,0.2747674407609887,1.6936626543639135,1.6936626543639135,1,0.07048593393234061,-0.0005729201085025171,-0.5048193895202742,12.44640249089966,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_4_7/restartable_eq_branch_refine_408_411_dRe0p1/states/xeq_step0004_Re408.60000000.asc
5,408.4999999999999,true,2.7441865169026563e-15,0.2747569551069871,1.6936063172828622,1.6936063172828622,1,0.07047414580634159,-0.0006228617158855754,-0.5048531540953721,12.445570075595935,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_4_7/restartable_eq_branch_refine_408_411_dRe0p1/states/xeq_step0005_Re408.50000000.asc
6,408.39999999999986,true,2.8145948210186677e-15,0.27474646957137155,1.6935500089653788,1.6935500089653788,1,0.07046237536687883,-0.0006728312835581063,-0.5048868930263903,12.444738403718405,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_4_7/restartable_eq_branch_refine_408_411_dRe0p1/states/xeq_step0006_Re408.40000000.asc
7,408.29999999999984,true,2.6919145441142508e-15,0.2747359841297535,1.6934937292523955,1.6934937292523955,1,0.07045062258043266,-0.0007228288200567257,-0.5049206063745756,12.443907473481884,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_4_7/restartable_eq_branch_refine_408_411_dRe0p1/states/xeq_step0007_Re408.30000000.asc
8,408.1999999999998,true,3.7843611634169735e-15,0.27472549875778307,1.6934374779851389,1.6934374779851389,1,0.07043888741351259,-0.0007728543339630828,-0.5049542942010333,12.443077283105772,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_4_7/restartable_eq_branch_refine_408_411_dRe0p1/states/xeq_step0008_Re408.20000000.asc
9,408.0999999999998,true,4.719730585802648e-15,0.2747150134311763,1.6933812550053942,1.6933812550053942,1,0.07042716983270783,-0.0008229078339078745,-0.5049879565665955,12.442247830817307,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_4_7/restartable_eq_branch_refine_408_411_dRe0p1/states/xeq_step0009_Re408.10000000.asc
10,408.0,true,2.4914810502119368e-15,0.27470452812570273,1.6933250601553178,1.6933250601553178,1,0.07041546980464788,-0.0008729893285677158,-0.5050215935319392,12.441419114848635,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_4_7/restartable_eq_branch_refine_408_411_dRe0p1/states/xeq_step0010_Re408.00000000.asc
