      #(Re)            L2            u2            v2            w2           e3d           ecf         ubulk         wbulk     wallshear   wallshear_a   wallshear_b   dissipation
  400.02      0.119761      0.166649     0.0118389      0.027808     0.0424212   0.000913446  -3.34008e-15             0      0.283809      0.141905     -0.141905      0.283809
     400      0.119763      0.166651     0.0118417     0.0278119     0.0424292   0.000913728             0             0      0.283843      0.141922     -0.141922      0.283843
  399.98      0.119766      0.166654     0.0118445     0.0278158     0.0424372   0.000914012  -3.27776e-15             0      0.283878      0.141939     -0.141939      0.283878
 398.196      0.120042      0.166963     0.0121442     0.0282186     0.0432899   0.000943772  -3.38847e-15             0      0.287676      0.143838     -0.143838      0.287676
 397.384      0.120247      0.167195     0.0123629     0.0284873     0.0438953    0.00096437  -3.51669e-15             0      0.290603      0.145302     -0.145302      0.290603
 396.997      0.120483      0.167467      0.012622     0.0287741     0.0445841   0.000987263  -3.18534e-15             0      0.294231      0.147115     -0.147115      0.294231
 397.014       0.12057      0.167567     0.0127206      0.028874     0.0448356   0.000995524  -3.31841e-15             0      0.295652      0.147826     -0.147826      0.295652
 397.321      0.120765      0.167792     0.0129514     0.0290916     0.0453943    0.00101406   -3.2186e-15             0      0.299019       0.14951      -0.14951      0.299019
 397.554      0.120885      0.167932     0.0130916     0.0292198     0.0457122    0.00102519   -3.1315e-15             0      0.301054      0.150527     -0.150527      0.301054
 397.618      0.120934       0.16799      0.013146     0.0292707     0.0458316    0.00102959  -3.38829e-15             0      0.301834      0.150917     -0.150917      0.301834
 397.645      0.120968       0.16803     0.0131817     0.0293048     0.0459088    0.00103253  -2.93343e-15             0      0.302339       0.15117      -0.15117      0.302339
 397.654      0.120989      0.168054     0.0132028     0.0293253     0.0459541    0.00103429  -3.27015e-15             0      0.302637      0.151319     -0.151319      0.302637
 397.658         0.121      0.168068     0.0132145     0.0293368     0.0459792    0.00103527  -3.37566e-15             0      0.302802      0.151401     -0.151401      0.302802
 397.659      0.121018      0.168089     0.0132317     0.0293538     0.0460158    0.00103672  -3.73679e-15             0      0.303043      0.151521     -0.151521      0.303042
 397.651      0.121052      0.168129     0.0132646     0.0293869     0.0460855    0.00103954  -3.39319e-15             0        0.3035       0.15175      -0.15175        0.3035
 397.594      0.121121      0.168213     0.0133281     0.0294529     0.0462187    0.00104511  -3.51731e-15             0      0.304373      0.152186     -0.152186      0.304373
 397.315      0.121272      0.168396     0.0134517     0.0295902     0.0464742    0.00105653  -3.35772e-15             0       0.30603      0.153015     -0.153015       0.30603
 396.273      0.121594      0.168793     0.0136735     0.0298661     0.0469263    0.00107895  -3.28168e-15             0      0.308883      0.154442     -0.154442      0.308883
 394.687       0.12197      0.169263     0.0138938     0.0301716      0.047373    0.00110336  -3.42975e-15             0      0.311602      0.155801     -0.155801      0.311602
 392.359      0.122465      0.169886     0.0141519     0.0305582     0.0478961    0.00113408  -2.97476e-15             0       0.31469      0.157345     -0.157345       0.31469
 388.219      0.123303      0.170946     0.0145487     0.0311916     0.0487009    0.00118458  -3.37249e-15             0      0.319319       0.15966      -0.15966      0.319319
 382.734      0.124417      0.172362     0.0150368     0.0320076     0.0496905    0.00125059  -3.22503e-15             0      0.324931      0.162465     -0.162465      0.324931
 374.244      0.126248      0.174697     0.0157889        0.0333     0.0512096    0.00135818  -3.14676e-15             0      0.333589      0.166794     -0.166794      0.333589
  364.08      0.128712      0.177849     0.0167493     0.0349644     0.0531281    0.00150305  -3.45006e-15             0      0.344874      0.172437     -0.172437      0.344874
 354.009      0.131568      0.181517     0.0178201     0.0368041     0.0552254     0.0016721  -3.57359e-15             0      0.357905      0.178952     -0.178952      0.357905
  344.13      0.134952      0.185876     0.0190506     0.0388745     0.0575681    0.00187415   -3.6707e-15             0      0.373556      0.186778     -0.186778      0.373556
 334.593      0.139088      0.191226     0.0205169     0.0412585     0.0602502    0.00212321   -3.5076e-15             0      0.393244      0.196622     -0.196622      0.393244
 327.117      0.143472       0.19693     0.0220335     0.0436061     0.0628821    0.00238697  -3.65397e-15             0      0.414959       0.20748      -0.20748      0.414959
 321.545      0.148492      0.203514     0.0237173     0.0460401     0.0656118     0.0026822  -3.37367e-15             0      0.441041      0.220521     -0.220521      0.441041
 319.722      0.151245      0.207153     0.0246111     0.0472485     0.0669712    0.00283813  -3.31429e-15             0      0.455902      0.227951     -0.227951      0.455902
 318.319      0.156125      0.213655     0.0261372     0.0491776       0.06915    0.00310159  -3.10663e-15             0      0.483136      0.241568     -0.241568      0.483136
 319.129      0.162164      0.221782     0.0279264     0.0512561     0.0715114    0.00340707  -3.63562e-15             0      0.518237      0.259118     -0.259118      0.518237
 321.952       0.16758      0.229133     0.0294441     0.0528884     0.0733834    0.00366413  -2.83507e-15             0      0.551114      0.275557     -0.275557      0.551114
 325.926      0.171825      0.234941     0.0305707     0.0540011     0.0746873    0.00385069   -3.2722e-15             0      0.578198      0.289099     -0.289099      0.578198
   331.3      0.175515      0.240029     0.0315003      0.054813     0.0756821    0.00399673  -2.96298e-15             0      0.603252      0.301626     -0.301626      0.603252
  337.08      0.178331       0.24394     0.0321895     0.0553251     0.0763564    0.00409703  -3.29263e-15             0      0.623847      0.311923     -0.311923      0.623847
 343.704      0.180928      0.247555     0.0328372     0.0557488     0.0769498    0.00418621    -3.523e-15             0      0.644241       0.32212      -0.32212      0.644241
