direction,step,Re,period,closure,relative_closure,I_min,I_max,I_span,I_mean,D_min,D_max,D_span,D_mean,E_min,E_max,E_span,E_mean,amplitude_ID,distance_from_Hopf,span_class
lower_Re_attempt,1,341.91679026008626,19.803212473776888,2.887163648378941e-9,8.640275868016618e-9,2.2063468008349254,2.20952669027078,0.003179889435854566,2.2079407278366445,2.1779517418779903,2.1795686349397494,0.0016168930617590505,2.1787247393811104,0.06065459626012994,0.06075444357832502,9.984731819508152e-5,0.06070447568036176,0.003567357565120719,0.5,tiny
lower_Re_attempt,2,341.9309323949901,19.80348196589197,2.8789517464977e-9,8.615642866117573e-9,2.2063420116828096,2.209566628481131,0.0032246167983212004,2.2079582202085697,2.1779607269554404,2.1796002780399526,0.001639551084512192,2.178744160748471,0.06065449767228847,0.06075575193365223,0.00010125426136375903,0.06070508619157038,0.0036174965452285333,0.5141421349038637,tiny
lower_Re_attempt,3,341.9517964634048,19.803879557263386,2.8651861776416233e-9,8.574362729863383e-9,2.206335496882649,2.2096249976062246,0.003289500723575589,2.207984021415916,2.1779742652504086,2.179646678433205,0.0016724131827965394,2.178772815509683,0.06065436936493214,0.06075766481872595,0.00010329545379381133,0.06070598694959931,0.003690227752374638,0.5350062033185168,tiny
lower_Re_attempt,4,341.9825774843665,19.804466134143716,2.849771229962342e-9,8.528106937626963e-9,2.2063270153953276,2.2097099825165953,0.0033829671212677326,2.2080220774937267,2.1779948194291796,2.179714556638903,0.0017197372097235153,2.178815097317224,0.060654215214599475,0.060760451486754234,0.00010623627215475967,0.06070731604598264,0.003794991780503103,0.5657872242802569,tiny
lower_Re_attempt,5,342.02798910940993,19.805331530152568,2.8797132459591644e-9,8.617522897082613e-9,2.2063167571086577,2.2098331121555477,0.003516355046889963,2.208078204783769,2.17802630321351,2.1798135473160607,0.0017872441025508223,2.178877490642269,0.060654057858939146,0.060764491984783814,0.00011043412584466755,0.06070927724030988,0.003944489104800672,0.6111988493236709,tiny
lower_Re_attempt,6,342.0949854475856,19.806608285523318,3.257371062668194e-9,9.747346844891364e-9,2.2063059781554886,2.210010423196659,0.003704445041170512,2.2081609772304907,2.1780749945107476,2.179957373153446,0.0018823786426982458,2.178969569212497,0.06065396088623952,0.06077031639113993,0.00011635550490041169,0.06071217122584612,0.004155269235264941,0.678195187499341,tiny
lower_Re_attempt,7,342.1938259829333,19.80849195529738,5.524947260708044e-9,1.6532041047438026e-8,2.2062981537101254,2.2102639603545375,0.003965806644412151,2.208283033237756,2.17815099575083,2.1801656414647375,0.002014645713907637,2.179105470388637,0.0606540681086081,0.060778655818116936,0.00012458770950883602,0.06071644164017077,0.004448192857040933,0.7770357228470175,tiny
lower_Re_attempt,8,342.33964666054044,19.811271081163234,1.57465189581485e-8,4.7114202271485513e-8,2.206300886586085,2.2106237830622817,0.004322896476196547,2.208463003717676,2.178270503847834,2.180465646047213,0.0021951421993788856,2.1793060746566604,0.06065466761235834,0.060790510950808896,0.00013584333845055585,0.060722742699752176,0.00484830725299114,0.9228564004541795,tiny
lower_Re_attempt,9,342.5547777294392,19.81537137965415,3.960993006494475e-9,1.1850182609734226e-8,2.206328963258543,2.2111306909148714,0.004801727656328136,2.2087283503415054,2.1784592768075948,2.1808960087341163,0.002436731926521496,2.179602206233932,0.06065629208139668,0.06080724711315837,0.00015095503176169173,0.06073203958531217,0.0053846309963892286,1.137987469352936,tiny
lower_Re_attempt,10,342.86698669382105,19.821322481835534,4.448232907277811e-9,1.3305785460992541e-8,2.206406727233051,2.211829568090833,0.005422840857781885,2.209113215417946,2.17875254029003,2.1815017987522953,0.0027492584622654803,2.1800323174067033,0.06065978165116011,0.0608303712812559,0.00017058963009579375,0.06074552661803589,0.006079936271143549,1.4501964337347886,tiny
lower_Re_attempt,11,343.32007995420935,19.829960072520507,5.102217686099809e-9,1.525851506778084e-8,2.2065738181441663,2.2127900543502848,0.006216236206118442,2.2096714711763363,2.179205983658863,2.182353477071997,0.0031474934131341392,2.1806571008475126,0.06066647889976208,0.0608622214226597,0.00019574252289761979,0.060765082453226635,0.006967661541434155,1.9032896941230888,tiny
lower_Re_attempt,12,343.9776315493524,19.84249744984529,6.287303640890599e-9,1.879626680186023e-8,2.2068922378337996,2.214108945567614,0.0072167077338143315,2.2104813321845853,2.179903753554374,2.1835511178767772,0.0036473643224033125,2.181564814710209,0.06067844295024417,0.06090603936161285,0.0002275964113686857,0.06079341301186433,0.008086045820772733,2.5608412892661363,tiny
lower_Re_attempt,13,344.93190330296005,19.860696192821674,7.791581143133523e-9,2.3281931439862007e-8,2.207456732778061,2.2159222308112856,0.008465498033224605,2.211656331248636,2.1809715838409156,2.1852376507832925,0.004266066942376856,2.182883795103173,0.06069875582349849,0.06096635282540631,0.00026759700190781555,0.06083439929582015,0.009479661602998827,3.515113042873793,tiny
lower_Re_attempt,14,346.3167901866602,19.887113563755644,1.0084022638053796e-8,3.0110315184822696e-8,2.208409275896187,2.2184225100704578,0.010013234174270913,2.2133610908386667,2.1825926239023308,2.187618565842306,0.005025941939975187,2.184800555386639,0.060731889956570084,0.061049503818702375,0.0003176138621322905,0.06089356681097933,0.01120379181405958,4.899999926573969,tiny
lower_Re_attempt,15,348.3266072780031,19.925459289113636,1.3304204466497147e-8,3.968413154621521e-8,2.209956350935892,2.2218840195230527,0.011927668587160767,2.2158335334670434,2.1850389866138618,2.1909930176707935,0.005954031056931708,2.187585554950396,0.06078417123780849,0.06116434490287889,0.00038017366507039907,0.06097868164059996,0.013331157629855294,6.9098170179168505,tiny
lower_Re_attempt,16,351.1550343131435,19.979418252253282,1.812029108484021e-8,5.397058670987778e-8,2.2123309363163712,2.226555359688083,0.014224423371711925,2.2193063549645062,2.188591619170329,2.1956385910452463,0.007046971874917318,2.191506055071384,0.06086172341406519,0.06131836997317267,0.0004566465591074806,0.06109674659745451,0.0158743199181439,9.738244053057258,tiny
lower_Re_attempt,17,353.98346134925333,20.033337600805236,2.34953017424983e-8,6.987840227365251e-8,2.214840784210359,2.231071303109484,0.01623051889912519,2.22276520214893,2.1922182973650863,2.200204952854986,0.007986655489899519,2.1954202420730593,0.06094089175117326,0.061466059326313056,0.0005251675751397969,0.06121252948343301,0.018089124070811227,12.566671089167073,tiny
lower_Re_attempt,18,356.8118883861137,20.087175417452976,2.911447961878413e-8,8.646683886956873e-8,2.217425105912958,2.2354719168359125,0.01804681092295457,2.226202356804724,2.1958837193255247,2.204717469192957,0.008833749867432239,2.1993193691976565,0.06101987437922664,0.06160865187065186,0.0005887774914252186,0.06132573390395203,0.02009284751371073,15.395098126027449,tiny
lower_Re_attempt,19,359.6403154237137,20.140884566046015,3.5248609059745354e-8,1.0453748476238774e-7,2.220050114147703,2.23977441773515,0.019724303587447256,2.2296092630325695,2.199562810096449,2.209174938679941,0.00961212858349203,2.2031940699680477,0.061097549089366904,0.061746684103215876,0.0006491350138489727,0.0614360583175827,0.021941767657036412,18.223525163627414,tiny
lower_Re_attempt,20,362.4687424621262,20.1944115317024,4.1743241297738625e-8,1.2362854960344325e-7,2.2226942086693082,2.243984681575563,0.02129047290625463,2.2329764194939448,2.203237805064929,2.21357658218801,0.010338777123080956,2.207034082193595,0.061173106843899865,0.06188034989601277,0.0007072430521129075,0.06154318877777532,0.023668006865232752,21.051952202039956,tiny
lower_Re_attempt,21,365.2971695014847,20.247694183830884,4.887182535267439e-8,1.4454692386997787e-7,2.2253372015497463,2.2481017739522002,0.022764572402453886,2.236293211932555,2.2068922252009076,2.2179291404335633,0.011036915232655709,2.21082799812406,0.06124590285037187,0.06200964254572323,0.0007637396953513592,0.0616467938595976,0.025298997105011746,23.88037924139843,tiny
lower_Re_attempt,22,365.6065287089883,20.253504134507693,4.971294138437549e-8,1.4701345140463628e-7,2.2256254322107987,2.248546223814191,0.02292079160339222,2.236652436161576,2.207290186968346,2.218401552365483,0.011111365397137085,2.2112396301881794,0.06125367320932476,0.06202351360197434,0.0007698403926495803,0.06165789695736934,0.025472046025296645,24.189738448902062,tiny
lower_Re_attempt,23,368.43495574961014,20.306428775299647,5.767342146590544e-8,1.7033361048528072e-7,2.228240467872021,2.252553143442683,0.024312675570661746,2.2398993753919725,2.2109018238905067,2.222681604320479,0.011779780429972408,2.2149673921594246,0.061322762858889254,0.062147783618086636,0.0008250207591973813,0.061757177331357105,0.027016095579905943,27.01816548952388,tiny
lower_Re_attempt,24,370.0,20.335540260571815,6.20568661306e-8,1.831518574521299e-7,2.2296704158812726,2.25472398781258,0.025053571931307417,2.2416637637146684,2.2128787564299386,2.2250167490828563,0.012137992652917706,2.21699887526872,0.06135936304261307,0.062214505484743346,0.0008551424421302731,0.0618102901368464,0.027839043305391782,28.58320973991374,tiny
