step,Re,rank,eig_real,eig_imag
1,520.1,1,0.05133447223205857,0.0
1,520.1,2,-0.001881183530198574,-0.14366116086019942
1,520.1,3,-0.001881183530198574,0.14366116086019942
1,520.1,4,-0.006498673892972234,-0.6631521731128303
1,520.1,5,-0.006498673892972234,0.6631521731128303
1,520.1,6,-0.0189912996634994,0.0
1,520.1,7,-0.020323850311703417,-1.1584497418273212
1,520.1,8,-0.020323850311703417,1.1584497418273212
1,520.1,9,-0.023787391945079207,-0.02323040941015959
1,520.1,10,-0.023787391945079207,0.02323040941015959
1,520.1,11,-0.02412264406288127,-0.35064679131327287
1,520.1,12,-0.02412264406288127,0.35064679131327287
1,520.1,13,-0.02493132530805088,-0.0778183490474156
1,520.1,14,-0.02493132530805088,0.0778183490474156
1,520.1,15,-0.027366565367346857,-0.7411434076893132
1,520.1,16,-0.027366565367346857,0.7411434076893132
1,520.1,17,-0.035023349954309266,-0.6074257362540254
1,520.1,18,-0.035023349954309266,0.6074257362540254
1,520.1,19,-0.03923132705868175,-0.23581336346849005
1,520.1,20,-0.03923132705868175,0.23581336346849005
1,520.1,21,-0.04209969545380172,-1.1183852188855112
1,520.1,22,-0.04209969545380172,1.1183852188855112
1,520.1,23,-0.04672812935024847,-0.6857548262727166
1,520.1,24,-0.04672812935024847,0.6857548262727166
1,520.1,25,-0.048857037768326075,-0.09117570407101219
1,520.1,26,-0.048857037768326075,0.09117570407101219
1,520.1,27,-0.053001893495557825,0.0
1,520.1,28,-0.05633757597075856,-1.523954342135957
1,520.1,29,-0.05633757597075856,1.523954342135957
1,520.1,30,-0.058783881715713054,-1.278348565938918
1,520.1,31,-0.058783881715713054,1.278348565938918
1,520.1,32,-0.05950718556814151,-0.6326754940661795
1,520.1,33,-0.05950718556814151,0.6326754940661795
1,520.1,34,-0.06123745342823418,-0.010774575206439428
1,520.1,35,-0.06123745342823418,0.010774575206439428
1,520.1,36,-0.06337371585990687,-0.1320176674037855
1,520.1,37,-0.06337371585990687,0.1320176674037855
1,520.1,38,-0.06367392488610477,-0.9858412266395731
1,520.1,39,-0.06367392488610477,0.9858412266395731
1,520.1,40,-0.06588015121913073,-0.4142021301013521
1,520.1,41,-0.06588015121913073,0.4142021301013521
1,520.1,42,-0.06751752258668979,-0.9144664802838717
1,520.1,43,-0.06751752258668979,0.9144664802838717
1,520.1,44,-0.06942732823225503,-0.24934318812198386
1,520.1,45,-0.06942732823225503,0.24934318812198386
1,520.1,46,-0.07230586032920343,0.0
1,520.1,47,-0.07333244143755838,-0.743985971255891
1,520.1,48,-0.07333244143755838,0.743985971255891
1,520.1,49,-0.07393618598967036,-0.02816099531077294
1,520.1,50,-0.07393618598967036,0.02816099531077294
1,520.1,51,-0.07488240523455533,-0.3773792518447536
1,520.1,52,-0.07488240523455533,0.3773792518447536
1,520.1,53,-0.07786425799622926,-1.2069957978780685
1,520.1,54,-0.07786425799622926,1.2069957978780685
1,520.1,55,-0.07878545421221139,-0.2886678448997975
1,520.1,56,-0.07878545421221139,0.2886678448997975
1,520.1,57,-0.0803629737889494,-0.5500483551120671
1,520.1,58,-0.0803629737889494,0.5500483551120671
1,520.1,59,-0.08141548314327551,-1.00079846294211
1,520.1,60,-0.08141548314327551,1.00079846294211
1,520.1,61,-0.09071371214682217,-0.3414471099391598
1,520.1,62,-0.09071371214682217,0.3414471099391598
1,520.1,63,-0.09570137099973819,-0.4756960953365592
1,520.1,64,-0.09570137099973819,0.4756960953365592
2,520.2,1,0.05133557834715804,0.0
2,520.2,2,-0.0018370071776615642,-0.14365570854211246
2,520.2,3,-0.0018370071776615642,0.14365570854211246
2,520.2,4,-0.0064475945195317606,-0.6631472918266154
2,520.2,5,-0.0064475945195317606,0.6631472918266154
2,520.2,6,-0.018988798169629357,0.0
2,520.2,7,-0.02028131119746987,-1.1584495158340355
2,520.2,8,-0.02028131119746987,1.1584495158340355
2,520.2,9,-0.02377618805623296,-0.023219844573200504
2,520.2,10,-0.02377618805623296,0.023219844573200504
2,520.2,11,-0.02408004237760753,-0.3506495294299363
2,520.2,12,-0.02408004237760753,0.3506495294299363
2,520.2,13,-0.024932658820324048,-0.07780909233187341
2,520.2,14,-0.024932658820324048,0.07780909233187341
2,520.2,15,-0.027327509820971027,-0.7411474490157818
2,520.2,16,-0.027327509820971027,0.7411474490157818
2,520.2,17,-0.03498552780390886,-0.6074239280209947
2,520.2,18,-0.03498552780390886,0.6074239280209947
2,520.2,19,-0.03918154541261912,-0.23582067538622078
2,520.2,20,-0.03918154541261912,0.23582067538622078
2,520.2,21,-0.04206749525159059,-1.1183927675024552
2,520.2,22,-0.04206749525159059,1.1183927675024552
2,520.2,23,-0.04668851611397438,-0.6857603488088495
2,520.2,24,-0.04668851611397438,0.6857603488088495
2,520.2,25,-0.0488360885286037,-0.09117311463874024
2,520.2,26,-0.0488360885286037,0.09117311463874024
2,520.2,27,-0.052973584654272834,0.0
2,520.2,28,-0.05630427651901246,-1.523957124477752
2,520.2,29,-0.05630427651901246,1.523957124477752
2,520.2,30,-0.058731652480128016,-1.2783363260654905
2,520.2,31,-0.058731652480128016,1.2783363260654905
2,520.2,32,-0.05947614173944042,-0.6326836184265145
2,520.2,33,-0.05947614173944042,0.6326836184265145
2,520.2,34,-0.06122195441698026,-0.010781836723990783
2,520.2,35,-0.06122195441698026,0.010781836723990783
2,520.2,36,-0.06334711175136501,-0.13202565023584775
2,520.2,37,-0.06334711175136501,0.13202565023584775
2,520.2,38,-0.06362549762246145,-0.9858183229576155
2,520.2,39,-0.06362549762246145,0.9858183229576155
2,520.2,40,-0.06585030636131571,-0.4141961318416006
2,520.2,41,-0.06585030636131571,0.4141961318416006
2,520.2,42,-0.06748345334525288,-0.914469926361215
2,520.2,43,-0.06748345334525288,0.914469926361215
2,520.2,44,-0.06942251296482682,-0.24933878814437765
2,520.2,45,-0.06942251296482682,0.24933878814437765
2,520.2,46,-0.07227621244752613,0.0
2,520.2,47,-0.07328339268998287,-0.7439778380943016
2,520.2,48,-0.07328339268998287,0.7439778380943016
2,520.2,49,-0.07390954151354669,-0.028169360764606615
2,520.2,50,-0.07390954151354669,0.028169360764606615
2,520.2,51,-0.07484264529520215,-0.3773677065112284
2,520.2,52,-0.07484264529520215,0.3773677065112284
2,520.2,53,-0.0778324772541963,-1.2069975500567838
2,520.2,54,-0.0778324772541963,1.2069975500567838
2,520.2,55,-0.07873359855813133,-0.2886483467099456
2,520.2,56,-0.07873359855813133,0.2886483467099456
2,520.2,57,-0.08033414059240396,-0.5500363383785911
2,520.2,58,-0.08033414059240396,0.5500363383785911
2,520.2,59,-0.08136213578617796,-1.0007931077349528
2,520.2,60,-0.08136213578617796,1.0007931077349528
2,520.2,61,-0.09068811643202077,-0.34146147376228286
2,520.2,62,-0.09068811643202077,0.34146147376228286
2,520.2,63,-0.0956806907340654,-0.47570003816086
2,520.2,64,-0.0956806907340654,0.47570003816086
3,520.3000000000001,1,0.051336688390864194,0.0
3,520.3000000000001,2,-0.0017928518384270203,-0.14365023661007856
3,520.3000000000001,3,-0.0017928518384270203,0.14365023661007856
3,520.3000000000001,4,-0.006396535971263393,-0.6631423940222919
3,520.3000000000001,5,-0.006396535971263393,0.6631423940222919
3,520.3000000000001,6,-0.018986302480492788,0.0
3,520.3000000000001,7,-0.02023878745940244,-1.1584492797156878
3,520.3000000000001,8,-0.02023878745940244,1.1584492797156878
3,520.3000000000001,9,-0.023764987053450735,-0.02320926614620482
3,520.3000000000001,10,-0.023764987053450735,0.02320926614620482
