rank,t_i,t_j,T_seed,seed_distance,seed_relative_distance,seed_I_span,seed_D_span,residual0,residual_final,residual_best,best_step,converged,accepted,T_refined,norm_refined,shear_refined,closing_residual,refined_I_span,refined_D_span,span_accepted,coeff_path
1,92.0,145.0,53.0,0.0025067930829212755,0.007518261848082166,0.07615199129596029,0.059835879194447106,0.0025067974971489364,5.859801890748319e-5,1.1377035366610502e-5,5,false,false,51.70157432093637,0.32302397439924146,2.245267657297352,1.9100571886995683e-5,0.0014571996418135669,0.0010241164591056062,false,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/gibson/ode_recurrence_attempt/orbit1/x_recurrence_rank1_J2_K4_L7.asc
2,99.0,151.0,52.0,0.0028932391825352193,0.008595388450378971,0.075393245942875,0.06459026896620657,0.0028932425371096444,7.641634279053274e-5,1.4825333229112555e-5,7,false,false,51.69397338065799,0.3232040768656976,2.245792375177918,2.2215798497331603e-5,0.0017047276481365614,0.001194597157104127,false,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/gibson/ode_recurrence_attempt/orbit1/x_recurrence_rank2_J2_K4_L7.asc
3,88.0,141.0,53.0,0.0039561795027778165,0.012081870848308961,0.07615199129596029,0.059835879194447106,0.0039561905819890004,0.00010466681801841883,0.00010466681801841883,10,false,false,51.61547466734399,0.3223362538609898,2.2433927982283888,8.228885562012836e-5,0.00470249967630787,0.0033206179145661707,false,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/gibson/ode_recurrence_attempt/orbit1/x_recurrence_rank3_J2_K4_L7.asc
4,84.0,137.0,53.0,0.005831080944400734,0.018198561768855277,0.07615199129596029,0.059835879194447106,0.005831091268774317,0.00015283441970038569,0.00015283441970038569,10,false,false,51.74154895694621,0.32212821491426635,2.242893664443221,0.0001050545529854591,0.005774362518184084,0.004134098578009393,false,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/gibson/ode_recurrence_attempt/orbit1/x_recurrence_rank4_J2_K4_L7.asc
5,81.0,133.0,52.0,0.006201141437432251,0.019598498729262934,0.07615199129596029,0.059835879194447106,0.006201145825676965,6.046477480822628e-5,6.046477480822628e-5,10,false,false,51.812739133219,0.3238986495370506,2.247578731771123,9.171904690932069e-5,0.0035935840098288985,0.002495245036207905,false,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/gibson/ode_recurrence_attempt/orbit1/x_recurrence_rank5_J2_K4_L7.asc
