J,K,L,m,projerr,eqerr,cx,cz
1,1,1,15,0.2814386254284499,1.0,0.0,0.00018215289516086523
1,1,2,24,0.19326008223990304,0.5128563490523842,0.0,-0.010471170136312285
1,1,3,33,0.15967423328232017,0.37089947764728537,0.0,3.930787149466963e-14
1,2,3,53,0.10588112805570606,0.2824755267569101,0.0,3.653333623893635e-9
1,3,5,117,0.06397244314768594,0.18181160997334944,0.0,-0.02061253399155385
2,4,7,338,0.02330423656299696,0.18282264445246726,0.0,-0.029496407115763554
3,5,9,733,0.009365534928471511,0.014151190803067662,0.0,-0.021008472857953476
