                     %Lx                     obs                       s                guesserr                   error     directory
               14.402173               1.7847666                       0                       0           3.3769432e-14  ./initial-2/
               14.392173               1.7879798                       0                       0           5.1013777e-14  ./initial-1/
               14.382173               1.7913075                       0                       0           3.6194686e-14  ./initial-0/
               14.234166               1.8630897             0.043429928           1.3112119e-05           2.4685019e-15   search-0/
               14.199084               1.8927262             0.060183615            1.756416e-05           1.8053497e-14   search-1/
               14.171748               1.9240564              0.07780896           1.1748643e-05           1.1107897e-14   search-2/
               14.146403               1.9636508              0.10002362           1.2040026e-05            3.566077e-15   search-3/
               14.128148               1.9998265              0.12029608           1.0035895e-05           2.6748799e-15   search-4/
                14.10816               2.0431552              0.14456917           1.2406065e-05           3.0690596e-15   search-5/
               14.086443               2.0870924              0.16918914           1.1291814e-05           8.1909921e-16   search-6/
               14.059497               2.1329855              0.19492488           1.1982037e-05           1.7347003e-16   search-7/
               14.028212               2.1768562              0.21955746           1.1669687e-05           3.9239674e-14   search-8/
               13.991554                2.220042              0.24384479           1.2559569e-05           1.0997233e-14   search-9/
               13.949124                2.263365              0.26825363           1.5211273e-05           2.4088353e-14   search-10/
               13.907579                2.302451              0.29030383           1.6646326e-05            2.388199e-16   search-11/
               13.870996               2.3378793              0.31028091           1.7842083e-05           6.5631065e-16   search-12/
               13.843794               2.3699762              0.32833159           1.9740888e-05           4.0097864e-15   search-13/
               13.830367               2.3921689              0.34077876           1.7479794e-05           1.3600618e-15   search-14/
               13.822766               2.4095596              0.35051958           1.8714557e-05           2.8724657e-15   search-15/
               13.817718               2.4254702              0.35942512           1.9451163e-05           1.4913988e-15   search-16/
               13.815875               2.4360185              0.36532606           5.6662437e-06           7.4923388e-14   search-18/
