                     %Lz                     obs                       s                guesserr                   error     directory
               6.0555313               1.4876063                       0                       0             3.95543e-14  ./initial-2/
               6.0655313                1.489825                       0                       0           7.4585422e-15  ./initial-1/
               6.0755313               1.4920771                       0                       0           4.5795317e-14  ./initial-0/
               6.3114335               1.5593276             0.061820475           1.3147815e-05           8.7784919e-15   search-0/
               6.4114155               1.6038044             0.095922602           1.7703147e-05           3.2091708e-14   search-1/
               6.4786967               1.6497293              0.12868332           1.6477946e-05           3.2326687e-14   search-2/
               6.5177872               1.6957968              0.16026918           1.2711963e-05           4.6209071e-16   search-3/
               6.5314551               1.7260705              0.18071406           1.2034119e-05           3.9383859e-15   search-4/
               6.5301468               1.8275088              0.24880181            1.164982e-05            6.470914e-14   search-5/
               6.5008326               1.9029869              0.29969419           1.8313623e-05           1.9269019e-14   search-6/
                6.466979               1.9676878               0.3434799            1.660809e-05           6.9376485e-16   search-7/
               6.4251406               2.0432865              0.39468989           1.7886922e-05           8.6964717e-16   search-8/
               6.3891776               2.1156971              0.44365361           1.8081786e-05           3.0797597e-16   search-9/
               6.3630435               2.1862923              0.49123402           1.8402751e-05           2.1204471e-15   search-10/
               6.3487412               2.2641889              0.54357292           1.9278538e-05           9.4144191e-16   search-11/
               6.3479725               2.2805913              0.55458324           2.7411018e-06           6.2400587e-14   search-14/
                6.348649               2.3101948              0.57445404           4.5380683e-06           1.5620021e-14   search-15/
               6.3536775               2.3508412              0.60174924           7.4245542e-06           2.5871786e-14   search-16/
               6.3634504               2.3972698              0.63295465           1.4571814e-05           6.2961747e-16   search-17/
               6.3683398               2.4198872              0.64815732           6.3962456e-06           4.9500738e-16   search-19/
