Model: m=169 (J,K,L)=(2,4,7)
Bifurcation Point: Re_min ≈ 158.7891
Energy Core Size (99%): 30
Nonlinear Closure on Core: 0.6368
Lead Eigenvalue (at Re=200): 0.051000 + 0.000000i

Top 20 Sensitivity Triads:
 1) ( 69,  5, 39) S=3.5521e-01 ijkl=[[3, 1, 0, 0], [1, 0, 1, 0], [5, -1, -1, 0]]
 2) ( 70,  5, 39) S=2.9302e-01 ijkl=[[3, 1, 0, 2], [1, 0, 1, 0], [5, -1, -1, 0]]
 3) ( 72,  5, 39) S=2.3608e-01 ijkl=[[3, 1, 0, 6], [1, 0, 1, 0], [5, -1, -1, 0]]
 4) ( 71,  5, 39) S=1.7017e-01 ijkl=[[3, 1, 0, 4], [1, 0, 1, 0], [5, -1, -1, 0]]
 5) ( 39,  5, 69) S=1.2327e-01 ijkl=[[5, -1, -1, 0], [1, 0, 1, 0], [3, 1, 0, 0]]
 6) ( 39, 69,  5) S=1.2327e-01 ijkl=[[5, -1, -1, 0], [3, 1, 0, 0], [1, 0, 1, 0]]
 7) ( 36,  5, 73) S=1.1965e-01 ijkl=[[3, -1, 0, 3], [1, 0, 1, 0], [5, 1, -1, 1]]
 8) ( 42,  5, 69) S=1.0518e-01 ijkl=[[5, -1, -1, 6], [1, 0, 1, 0], [3, 1, 0, 0]]
 9) ( 42, 69,  5) S=1.0518e-01 ijkl=[[5, -1, -1, 6], [3, 1, 0, 0], [1, 0, 1, 0]]
10) ( 69,  5, 40) S=9.4488e-02 ijkl=[[3, 1, 0, 0], [1, 0, 1, 0], [5, -1, -1, 2]]
11) ( 36,  5, 78) S=9.2600e-02 ijkl=[[3, -1, 0, 3], [1, 0, 1, 0], [6, 1, -1, 3]]
12) ( 70,  5, 40) S=7.7945e-02 ijkl=[[3, 1, 0, 2], [1, 0, 1, 0], [5, -1, -1, 2]]
13) ( 39,  5, 70) S=7.6600e-02 ijkl=[[5, -1, -1, 0], [1, 0, 1, 0], [3, 1, 0, 2]]
14) ( 39, 70,  5) S=7.6600e-02 ijkl=[[5, -1, -1, 0], [3, 1, 0, 2], [1, 0, 1, 0]]
15) ( 38,  5, 73) S=7.4055e-02 ijkl=[[3, -1, 0, 7], [1, 0, 1, 0], [5, 1, -1, 1]]
16) ( 45,  5, 69) S=7.1765e-02 ijkl=[[6, -1, -1, 6], [1, 0, 1, 0], [3, 1, 0, 0]]
17) ( 45, 69,  5) S=7.1765e-02 ijkl=[[6, -1, -1, 6], [3, 1, 0, 0], [1, 0, 1, 0]]
18) ( 36,  1, 69) S=7.0344e-02 ijkl=[[3, -1, 0, 3], [1, 0, 0, 1], [3, 1, 0, 0]]
19) ( 40,  5, 69) S=7.0053e-02 ijkl=[[5, -1, -1, 2], [1, 0, 1, 0], [3, 1, 0, 0]]
20) ( 40, 69,  5) S=7.0053e-02 ijkl=[[5, -1, -1, 2], [3, 1, 0, 0], [1, 0, 1, 0]]
