step,Re,period,norm,shear,power
1,289.1989704725211,214.61927760440838,0.35039141471883994,1.7386419370333872,1.7386419370333872
2,289.21311260814485,214.6016348184384,0.35043150472004153,1.7386777156313689,1.7386777156313689
3,289.211025438151,214.60429096424406,0.3504261261267835,1.7386725283984785,1.7386725283984785
4,289.24146760784265,214.56656803134314,0.3505162173343217,1.7387509585485557,1.7387509585485557
5,289.2861330684752,214.51153582016445,0.3506553448679321,1.7388694323298637,1.7388694323298637
6,289.3516672923493,214.4314616908257,0.3508771122801227,1.7390518008972564,1.7390518008972564
7,289.4478206943363,214.3153894345676,0.3512529930096498,1.7393433948492354,1.7393433948492354
8,289.58889931292754,214.14807681038013,0.3520065349707956,1.7398639193389749,1.7398639193389749
9,289.7914070542425,213.74285048943509,0.35356020754520867,1.7409706737693496,1.7409706737693496
10,290.05337596272307,212.95993167273045,0.3534336555882567,1.7417188989488106,1.7417188989488106
11,290.41370617875157,211.865742899924,0.35327056187654593,1.7427435378605205,1.7427435378605205
12,290.94235174953354,210.1217094021032,0.3530335706942436,1.7442289824963968,1.7442289824963968
13,291.7244763280055,228.85251577819574,0.35268794954500843,1.7463910054601848,1.7463910054601848
14,292.78938468608425,232.42653407355488,0.352226551370162,1.749272694536128,1.749272694536128
15,294.29338969784783,224.75681367591537,0.35159205106719466,1.7532326839810606,1.7532326839810606
16,296.2950249420921,176.41654553223893,0.35077717767831174,1.7583340966826901,1.7583340966826901
17,297.87846040117995,232.57081790755316,0.350155091601728,1.7622558366408487,1.7622558366408487
18,299.973113667393,197.8313170543705,0.3493612551052902,1.7673182011115842,1.7673182011115842
19,301.86871460937203,189.64760542358508,0.3486704005180403,1.7718011884606693,1.7718011884606693
20,304.57896002791483,196.73551019446688,0.34772649567452146,1.778093145009013,1.778093145009013
21,308.28531988691105,262.2354174717984,0.34651711525665235,1.7865717131083416,1.7865717131083416
22,313.54210118777354,222.38348839417654,0.34496348594993065,1.7986396035241876,1.7986396035241876
23,320.29097542502944,186.1263847974449,0.34327774617492,1.815206326828338,1.815206326828338
24,327.39138253087833,226.27933431973835,0.3422083009831715,1.839881142226178,1.839881142226178
25,328.27725166821733,224.97445928505786,0.3423581016725437,1.8473577017463645,1.8473577017463645
26,328.3556843493303,242.87920830742658,0.34241638400082997,1.8487655685117137,1.8487655685117137
27,328.3847480534793,253.71013522413367,0.34245106913344303,1.8495053912231982,1.8495053912231982
28,328.3873811198435,254.69137798696684,0.3424542189481935,1.8495724164821632,1.8495724164821632
29,328.3883685197301,255.0593440230293,0.34245540044853784,1.8495975509542752,1.8495975509542752
30,328.38846108846946,255.09384083891013,0.3424555112231387,1.8495999073110356,1.8495999073110356
31,328.388530515024,255.11971345082057,0.34245559430509537,1.8496016745786061,1.8496016745786061
32,328.3885370237635,255.12213900818713,0.34245560209407305,1.8496018402599408,1.8496018402599408
