branch_id,step,Re,eig_real,eig_imag,period_estimate
1,1,300.0,-0.031632112600335674,0.01915576576853713,328.00491419140036
1,2,299.0,-0.03177459261797137,0.01911421014272292,328.718019748867
1,3,298.0,-0.03191834170583499,0.019073199609172274,329.4248178558364
1,4,297.0,-0.03206334273824242,0.019032755560752793,330.1248359505054
1,5,296.0,-0.03220957869975742,0.018992899456387425,330.81759431241096
1,6,295.0,-0.03235703267754979,0.01895365287310172,331.50260528915965
1,7,294.0,-0.03250568785328897,0.01891503755359482,332.17937259582453
1,8,293.0,-0.03265552749369949,0.018877075454005826,332.8473906081812
1,9,292.0,-0.03280653493978874,0.01883978879186015,333.5061436513702
1,10,291.0,-0.03295869359478439,0.018803200094175895,334.15510528581467
1,11,290.0,-0.03311198691078479,0.018767332245708174,334.7937375924307
1,12,289.0,-0.03326639837414422,0.018732208537315075,335.4214904592434
1,13,288.0,-0.03342191148960058,0.018697852714430665,336.03780087166575
1,14,287.0,-0.03357850976316378,0.01866428902562298,336.6420922090208
1,15,286.0,-0.033736176683764864,0.01863154227122217,337.23377354994614
1,16,285.0,-0.033894895703675924,0.018599637852001017,337.8122389895682
1,17,284.0,-0.03405465021770321,0.01856860181787772,338.3768669717598
1,18,283.0,-0.034215423541155934,0.01853846091663377,338.9270196395836
1,19,282.0,-0.03437719888658515,0.018509242642608243,339.46204220780515
1,20,281.0,-0.03453995933929006,0.018480975285342583,339.9812623613448
1,21,280.0,-0.03470368783159164,0.018453687978149735,340.48398968375596
1,22,279.0,-0.03486836711585419,0.018427410746561124,340.9695151204104
1,23,278.0,-0.03503397973625341,0.018402174556616104,341.4371104810873
1,24,277.0,-0.03520050799927389,0.01837801136294348,341.8860279871571
1,25,276.0,-0.03536793394291972,0.01835495415658113,342.3154998688332
1,26,275.0,-0.035536239304628556,0.018333037012471628,342.72473801832456
1,27,274.0,-0.035705405487860734,0.018312295136565196,343.11293370504904
1,28,273.0,-0.035875413527354016,0.018292764912457002,343.4792573593325
1,29,272.0,-0.0360462440530164,0.018274483947460705,343.8228584316688
1,30,271.0,-0.036217877252441535,0.01825749111803572,344.1428653344775
1,31,270.0,-0.036390292832011395,0.01824182661444883,344.4383854741199
1,32,269.0,-0.036563469976584675,0.018227531984557926,344.708505380904
1,33,268.0,-0.0367373873077304,0.01821465017658473,344.95229094527093
1,34,267.0,-0.03691202284048988,0.018203225580729652,345.1687877686419
1,35,266.0,-0.037087353938651535,0.018193304069476033,345.3570216374964
1,36,265.0,-0.03726335726851493,0.018184933036400487,345.51599912975405
1,37,264.0,-0.037440008751125436,0.018178161433314615,345.6447083622311
1,38,263.0,-0.03761728351296989,0.01817303980551583,345.7421198886348
1,39,262.0,-0.0377951558351203,0.018169620324939847,345.807187756984
1,40,261.0,-0.03797359910082265,0.018167956820962165,345.8388507358216
1,41,260.0,-0.038152585741526385,0.018168104808596704,345.83603371808687
1,42,259.0,-0.038332087181363175,0.01817012151380599,345.7976493115639
1,43,258.0,-0.03851207378009494,0.018174065895625677,345.72259962433
1,44,257.0,-0.03869251477454687,0.018179998664783002,345.60977825322533
1,45,256.0,-0.03887337821856151,0.018187982298459394,345.4580724829384
1,46,255.0,-0.03905463092153077,0.018198081050838043,345.2663657023463
1,47,254.0,-0.03923623838555137,0.018210360959042805,345.0335400441096
1,48,253.0,-0.03941816474129657,0.018224889844054088,344.75847925245426
1,49,252.0,-0.039600372682691606,0.018241737306163675,344.4400717828871
1,50,251.0,-0.039782823400511896,0.018260974714505437,344.07721413625285
1,51,250.0,-0.03996547651504982,0.018282675190172466,343.6688144280441
2,1,300.0,-0.11908352906234773,0.025960095476650395,242.03244216998155
2,2,299.0,-0.11930183531639758,0.02604739182673924,241.22128422583611
2,3,298.0,-0.11951963974385446,0.026130861077393517,240.4507562368594
2,4,297.0,-0.1197369915780202,0.026210651262339426,239.71877860995897
2,5,296.0,-0.11995392761892176,0.026286902826427046,239.02341590668124
2,6,295.0,-0.12017047411035628,0.026359748141688125,238.36287332513186
2,7,294.0,-0.12038664846362543,0.026429311301783717,237.73549130489576
2,8,293.0,-0.12060246080774728,0.02649570807816345,237.13973933604362
2,9,292.0,-0.12081791537615078,0.026559045999257944,236.57420930537708
2,10,291.0,-0.12103301174217995,0.026619424521446337,236.03760863114994
2,11,290.0,-0.12124774591678128,0.02667693526682043,235.52875337199356
2,12,289.0,-0.12146211132182205,0.02673166230805017,235.0465614436339
2,13,288.0,-0.12167609965202153,0.02678368248497706,234.5900460365679
2,14,287.0,-0.12188970163768537,0.026833065741064952,234.15830929687198
2,15,286.0,-0.12210290771935198,0.026879875470645277,233.7505363088928
2,16,285.0,-0.122315708644401,0.026924168870145083,233.36598940094706
2,17,284.0,-0.1225280959945271,0.026965997288229532,233.0040027825024
2,18,283.0,-0.12274006265191255,0.02700540657118661,232.66397751194845
2,19,282.0,-0.1229516032109279,0.027042437400912445,232.3453767879512
2,20,281.0,-0.1231627143412655,0.027077125623689642,232.047721552928
2,21,280.0,-0.12337339510757644,0.027109502568565015,231.77058639450254
2,22,279.0,-0.12358364724995731,0.02713959535456849,231.51359572949264
2,23,278.0,-0.12379347542898575,0.0271674271863698,231.27642025417595
2,24,277.0,-0.12400288743844867,0.027193017638201117,231.0587736446316
2,25,276.0,-0.12421189438842839,0.027216382926046754,230.86040949131495
2,26,275.0,-0.1244205108610222,0.027237536168195877,230.6811184528576
2,27,274.0,-0.1246287550406257,0.027256487634339913,230.52072561482663
2,28,273.0,-0.12483664882044872,0.027273244983434353,230.37908804016408
2,29,272.0,-0.12504421788669545,0.02728781349054676,230.2560924991756
2,30,271.0,-0.12525149178168238,0.027300196262940196,230.1516533677438
2,31,270.0,-0.12545850394704605,0.02731039444560757,230.06571068365267
2,32,269.0,-0.12566529174804886,0.02731840741648687,229.9982283516145
2,33,268.0,-0.1258718964800008,0.027324232971562248,229.94919248854393
2,34,267.0,-0.12607836335769668,0.02732786750005097,229.91860990133486
2,35,266.0,-0.12628474148881919,0.027329306149874083,229.90650669001838
2,36,265.0,-0.12649108383220337,0.027328542983603894,229.9129269697716
2,37,264.0,-0.12669744714189873,0.027325571125099087,229.93793170560136
2,38,263.0,-0.1269038918979899,0.027320382897049765,229.98159765389255
2,39,262.0,-0.12711048222513255,0.027312969949674443,230.04401640527118
2,40,261.0,-0.12731728579982604,0.027303323380864827,230.1252935231714
2,41,260.0,-0.1275243737474498,0.027291433848090043,230.22554777272381
2,42,259.0,-0.1277318205301225,0.027277291672458688,230.34491043418313
2,43,258.0,-0.1279397038264655,0.027260886935357515,230.4835246952388
2,44,257.0,-0.1281481044043562,0.027242209568202193,230.64154511583678
2,45,256.0,-0.12835710598777073,0.02722124943586809,230.81913715909545
2,46,255.0,-0.12856679511879437,0.02719799641448207,231.01647678113486
2,47,254.0,-0.12877726101586479,0.027172440464338088,231.23375007209322
2,48,253.0,-0.12898859542928426,0.02714457169879002,231.4711529399324
2,49,252.0,-0.1292008924949703,0.02711438045008424,231.72889082774765
2,50,251.0,-0.1294142485873781,0.02708185733320288,232.00717845434772
2,51,250.0,-0.12962876217243216,0.027046993308876013,232.30623956702917
3,1,300.0,-0.13985403597095275,0.03220397495452719,195.1058934821431
3,2,299.0,-0.1405635474122932,0.03224378658458156,194.86499486335455
3,3,298.0,-0.14127978489953247,0.032287660630770806,194.60020281530032
3,4,297.0,-0.14200272197554492,0.032335393844839605,194.31293576720475
3,5,296.0,-0.14273234476138327,0.03238679360597259,194.00454962052424
3,6,295.0,-0.1434686501582519,0.03244167844729849,193.67633266529725
3,7,294.0,-0.14421164422197563,0.03249987833099858,193.3295024426798
