      #(Re)            L2            u2            v2            w2           e3d           ecf         ubulk         wbulk     wallshear   wallshear_a   wallshear_b   dissipation
 442.745      0.405121      0.564814     0.0570357     0.0773225     0.0824853    0.00923184             0             0        2.1245       1.06225      -1.06225        2.1245
 456.881      0.406995      0.568168      0.054925     0.0738772     0.0804335     0.0084746             0             0       2.14023       1.07011      -1.07011       2.14023
 471.125      0.408995      0.571647      0.052804     0.0706058     0.0783039    0.00777345             0             0       2.15596       1.07798      -1.07798       2.15596
 485.374      0.411094      0.575169     0.0508837     0.0677436     0.0762868    0.00717835             0             0       2.17368       1.08684      -1.08684       2.17368
 499.529       0.41323      0.578637     0.0492603     0.0653551     0.0745114    0.00669787             0             0       2.19406       1.09703      -1.09703       2.19406
 513.536      0.415357      0.582005     0.0479175     0.0633785     0.0730015    0.00631291             0             0       2.21682       1.10841      -1.10841       2.21682
 527.387      0.417454      0.585266     0.0467994     0.0617227     0.0717258    0.00599987             0             0       2.24143       1.12072      -1.12072       2.24143
 542.927      0.419788      0.588842     0.0457363     0.0601372     0.0705082    0.00570829             0             0       2.27104       1.13552      -1.13552       2.27104
  560.61      0.422406      0.592807     0.0447123     0.0586002     0.0693418    0.00543318             0             0        2.3067       1.15335      -1.15335        2.3067
 580.397      0.425279      0.597115     0.0437442      0.057139     0.0682516    0.00517842             0             0       2.34855       1.17427      -1.17427       2.34855
