                     %Lz                     obs                       s                guesserr                   error     directory
                3.140106                1.946118                       0                       0            1.256035e-16  ./initial-2/
                3.137606               1.9431461                       0                       0           7.5714005e-15  ./initial-1/
                3.135106               1.9401453                       0                       0           5.6615306e-14  ./initial-0/
               3.0822199               1.8682127             0.022144397           1.3954069e-05           2.5928951e-15   search-0/
               3.0576482                1.826602             0.033081405           1.7866296e-05           9.2676596e-15   search-1/
               3.0381955                1.786408             0.042858166           1.6510136e-05           5.3701883e-15   search-2/
               3.0221453               1.7426213             0.052761732           1.5965354e-05           7.5412024e-15   search-3/
               3.0123605               1.7004095             0.061776212           1.6228949e-05           1.7737265e-14   search-4/
               3.0091555               1.6558541              0.07111087           1.7390884e-05           2.8014703e-14   search-5/
               3.0150169               1.6111228             0.081028113           1.5633907e-05           3.9031681e-14   search-6/
                3.031118                1.569345             0.091867548           1.7985906e-05           3.9661588e-15   search-7/
                3.046051               1.5457382             0.099229594           1.7117036e-05           3.7533782e-15   search-8/
               3.0636761                1.524826              0.10683336           1.3973701e-05           4.4577031e-15   search-9/
               3.0857037               1.5043927              0.11554297           1.2278377e-05           3.2634295e-15   search-10/
               3.1093509                 1.48672              0.12436488           1.0347546e-05            2.407481e-15   search-11/
               3.1395353               1.4682624              0.13517231           1.1217071e-05           4.7978824e-15   search-12/
               3.1756615               1.4501961              0.14771133           1.1949783e-05           1.6697482e-14   search-13/
               3.2176314               1.4329401              0.16195286           1.2213767e-05           1.4513202e-14   search-14/
               3.2665173               1.4163447              0.17826994            1.206351e-05           1.1932917e-14   search-15/
               3.3235145               1.4003548               0.1970639           1.1974207e-05           9.4501071e-15   search-16/
               3.3897913               1.3850116              0.21872035           1.1956335e-05           8.3064813e-15   search-17/
               3.4666879               1.3703725              0.24367769           1.1945157e-05           9.3194034e-15   search-18/
               3.5557883               1.3565053              0.27245062           1.1931441e-05            1.201521e-14   search-19/
               3.6589323               1.3435004              0.30563432            1.191965e-05           6.2733166e-15   search-20/
               3.7782537               1.3314786              0.34391677           1.1909224e-05           1.1616101e-14   search-21/
                3.916235               1.3206036              0.38809664           1.1898636e-05           1.5740261e-14   search-22/
               4.0757573               1.3111034              0.43909949           1.1888222e-05           6.2745758e-15   search-23/
               4.2601219               1.3033089              0.49798514           1.1881033e-05           8.1251637e-15   search-24/
               4.4729633               1.2977168              0.56592081           1.1886516e-05           8.2209992e-15   search-25/
               4.7177593               1.2950891              0.64402659           1.1934023e-05           7.3097541e-15   search-26/
               4.9959062               1.2965543              0.73276438           1.2114847e-05           7.0432725e-15   search-27/
               5.2740746               1.3026102              0.82152371           1.0662018e-05           1.2413045e-15   search-28/
               5.5521946               1.3133349              0.91030239           1.0079045e-05           1.6456401e-15   search-29/
               5.8302149               1.3288279              0.99909919           1.0466402e-05           7.0393875e-15   search-30/
               6.1081043               1.3490577                1.087913           1.1093044e-05           7.8110861e-15   search-31/
               6.3858458                1.373884                1.176742            1.157256e-05            6.586913e-15   search-32/
               6.6634163               1.4033113               1.2655852           1.2839729e-05           1.3563106e-14   search-33/
               6.9407619               1.4378196               1.3544433           1.6077614e-05           2.5924207e-14   search-34/
