Re,shear
500.0,1.0568077949308166
499.4269865179733,1.0568853491416421
498.0127729556999,1.0570778458778884
496.59855939342793,1.0572719087443687
495.1843458311574,1.0574675549433186
493.7701322688883,1.0576648019148942
492.3559187066207,1.0578636673411725
490.9417051443546,1.058064169150229
489.5274915820901,1.058266325520304
488.11327801982713,1.0584701548840527
486.6990644575658,1.0586756759328833
485.2848508953061,1.058882907621393
483.870637333048,1.0590918691718831
482.4564237707917,1.0593025800789848
481.042210208537,1.0595150601143764
479.62799664628415,1.0597293293315966
478.213783084033,1.0599454080709734
476.7995695217837,1.0601633169646514
475.3853559595363,1.0603830769417257
473.97114239729075,1.0606047092334951
472.55692883504713,1.060828235378832
471.14271527280545,1.0610536772296584
469.72850171056575,1.0612810569565605
468.31428814832805,1.061510397054516
466.90007458609244,1.061741720348758
465.48586102385894,1.061975050000765
464.07164746162755,1.0622104095143963
462.65743389939837,1.0624478227421568
461.2432203371714,1.0626873138916175
459.8290067749467,1.0629289075319752
458.4147932127243,1.063172628600773
457.0005796505042,1.0634185024107723
455.5863660882866,1.0636665546569912
454.17215252607133,1.0639168114239084
452.7579389638586,1.06416929919284
451.3437254016484,1.0644240448494962
449.92951183944075,1.064681075691715
448.51529827723573,1.0649404194373906
447.10108471503344,1.0652021042325919
445.6868711528339,1.0654661586496093
444.2726575906371,1.0657326112484296
443.39158880724926,1.0658998403239652
441.9773752450571,1.0661702494167036
440.5631616828679,1.0664431354880608
439.14894812068167,1.066718529252816
437.7347345584985,1.0669964619130905
436.3205209963184,1.0672769651681697
434.9063074341415,1.0675600712245783
433.4920938719679,1.0678458128064272
432.07788030979754,1.0681342231660256
430.66366674763054,1.0684253360947804
429.249453185467,1.068719185934383
427.83523962330696,1.0690158075883098
426.4210260611505,1.0693152365250813
425.0068124989977,1.0696175089525248
424.3926793476464,1.0697496676273048
422.97846578549894,1.0700560821813307
421.56425222335537,1.0703654304014711
420.1500386612157,1.0706777504589737
418.73582509908005,1.0709930811687465
417.32161153694847,1.0713114620034465
415.90739797482104,1.0716329331079733
414.4931844126979,1.071957535314375
413.078970850579,1.0722853101571954
