Lx,Lz,id,min_Re
11.25,7.333333333333333,1,146.48192922887281
11.25,7.333333333333333,2,104.20948577312657
11.25,7.333333333333333,3,279.39602697974914
11.25,7.333333333333333,4,248.57687046536142
11.25,7.333333333333333,5,266.8625842866323
6.25,3.3333333333333335,1,145.6578030935412
6.25,3.3333333333333335,2,286.82454879719575
6.25,3.3333333333333335,3,270.96635670841226
5.0,2.0,1,246.10801186627518
13.75,9.333333333333334,1,128.9286223213331
13.75,9.333333333333334,2,285.5334084858104
13.75,9.333333333333334,3,264.213725207519
13.75,9.333333333333334,4,111.22607471983642
13.75,9.333333333333334,5,246.94462753694094
13.75,9.333333333333334,6,128.92862265872273
13.75,9.333333333333334,7,111.22607473728453
13.75,9.333333333333334,8,111.2260747064535
12.5,8.333333333333334,1,295.5397852528701
12.5,8.333333333333334,2,124.69400268337387
12.5,8.333333333333334,3,296.98950968888977
12.5,8.333333333333334,4,295.53978527284113
12.5,8.333333333333334,5,107.08731794821418
12.5,8.333333333333334,6,286.59468154199004
12.5,8.333333333333334,7,290.8953021867354
12.5,8.333333333333334,8,287.4049818818531
10.0,6.333333333333333,1,244.29830579545728
10.0,6.333333333333333,2,151.53301039300794
10.0,6.333333333333333,3,244.29830534687719
10.0,6.333333333333333,4,276.0826438661305
10.0,6.333333333333333,5,289.27938399420094
8.75,5.333333333333333,1,166.82835171546054
8.75,5.333333333333333,2,123.25361414963984
8.75,5.333333333333333,3,285.19871850961397
7.5,4.333333333333333,1,202.21648597844262
7.5,4.333333333333333,2,246.7720986609852
7.5,4.333333333333333,3,116.33933919837685
7.5,4.333333333333333,4,199.09919111190766
7.5,4.333333333333333,5,129.39260135155874
5.0,2.3333333333333335,1,243.71349274289832
5.0,2.3333333333333335,2,235.95491621757193
5.0,2.3333333333333335,3,243.7134919239822
5.0,2.3333333333333335,4,235.95491595686093
5.0,2.3333333333333335,5,235.95491581829998
13.75,9.666666666666666,1,130.6885508459676
13.75,9.666666666666666,2,110.58555212892885
13.75,9.666666666666666,3,189.43726949616172
13.75,9.666666666666666,4,293.57928521040435
13.75,9.666666666666666,5,112.30665522766992
12.5,8.666666666666666,1,125.88633376750445
12.5,8.666666666666666,2,107.70664560807279
12.5,8.666666666666666,3,107.7066454549896
12.5,8.666666666666666,4,107.70664563975852
12.5,8.666666666666666,5,278.5417305147438
12.5,8.666666666666666,6,195.8433319540878
12.5,8.666666666666666,7,290.1534840682956
11.25,7.666666666666667,1,144.28987423162806
11.25,7.666666666666667,2,104.20776053479948
11.25,7.666666666666667,3,140.2925290745783
11.25,7.666666666666667,4,262.7909028861497
10.0,6.666666666666667,1,121.17820441917465
10.0,6.666666666666667,2,233.64648126072225
6.25,3.6666666666666665,1,239.7899740505635
6.25,3.6666666666666665,2,131.23798761249853
6.25,3.6666666666666665,3,251.90469366504607
7.5,4.666666666666667,1,182.10666062206153
7.5,4.666666666666667,2,288.50422176709935
7.5,4.666666666666667,3,225.6538530930568
7.5,4.666666666666667,4,276.3103673107917
8.75,5.666666666666667,1,157.02531195646222
8.75,5.666666666666667,2,122.58946086922766
8.75,5.666666666666667,3,232.11291350846548
8.75,5.666666666666667,4,247.15384690378306
5.0,2.6666666666666665,1,248.90090563401162
5.0,2.6666666666666665,2,188.9351110908943
5.0,2.6666666666666665,3,293.6543987658695
5.0,2.6666666666666665,4,244.42388942044377
5.0,2.6666666666666665,5,188.93511117122773
5.0,2.6666666666666665,6,284.43677658379534
13.75,10.0,1,151.83400382821992
13.75,10.0,2,126.90496404125079
13.75,10.0,3,214.79769653099538
13.75,10.0,4,295.0705074228097
10.0,7.0,1,121.34740470183749
10.0,7.0,2,259.49450885368026
10.0,7.0,3,222.15220309505656
10.0,7.0,4,222.15220317886548
12.5,9.0,1,108.88292125339352
12.5,9.0,2,284.3634878967404
12.5,9.0,3,284.3634880057876
12.5,9.0,4,108.80703423399174
12.5,9.0,5,279.1954495126246
12.5,9.0,6,250.55211021734527
12.5,9.0,7,250.55211033001308
11.25,8.0,1,142.91121824362244
7.5,5.0,1,167.5296826314177
7.5,5.0,2,216.26198417665844
7.5,5.0,3,164.5280060755348
6.25,4.0,1,207.7028945353168
6.25,4.0,2,267.7059520260344
6.25,4.0,3,237.36267418967807
6.25,4.0,4,237.36267435174594
8.75,6.0,1,122.11152228242051
10.0,7.333333333333333,1,141.00146682997672
10.0,7.333333333333333,2,237.48394954090836
10.0,7.333333333333333,3,267.8929855992105
10.0,7.333333333333333,4,272.3386156988652
5.0,3.0,1,162.35804627028747
5.0,3.0,2,258.8293630528452
5.0,3.0,3,261.41765597543963
5.0,3.0,4,217.36006903495408
12.5,9.333333333333334,1,146.43766300593867
12.5,9.333333333333334,2,110.41485591219597
12.5,9.333333333333334,3,267.6912490819045
12.5,9.333333333333334,4,280.3888610571676
12.5,9.333333333333334,5,277.9478978601831
8.75,6.333333333333333,1,144.76893120635717
8.75,6.333333333333333,2,191.64033481111667
8.75,6.333333333333333,3,220.51394639153338
8.75,6.333333333333333,4,242.67369443085985
6.25,4.333333333333333,1,185.34929279681572
6.25,4.333333333333333,2,225.81320731553149
6.25,4.333333333333333,3,116.47325848351599
6.25,4.333333333333333,4,116.47325847694746
11.25,8.333333333333334,1,295.2426620530458
11.25,8.333333333333334,2,142.19306110813966
11.25,8.333333333333334,3,105.9563172620828
11.25,8.333333333333334,4,190.2393610604643
11.25,8.333333333333334,5,271.4974795622629
11.25,8.333333333333334,6,227.76424373274395
11.25,8.333333333333334,7,142.83639598531295
11.25,8.333333333333334,8,227.7642437745127
7.5,5.333333333333333,1,223.91545098395773
7.5,5.333333333333333,2,157.01197114700923
7.5,5.333333333333333,3,288.6961715348125
7.5,5.333333333333333,4,204.37340328247276
10.0,7.666666666666667,1,123.28459235845273
10.0,7.666666666666667,2,183.25102388620354
10.0,7.666666666666667,3,172.76017388328563
10.0,7.666666666666667,4,288.9028485816761
12.5,9.666666666666666,1,146.97513891451467
12.5,9.666666666666666,2,112.57188553911759
12.5,9.666666666666666,3,112.88753737393878
12.5,9.666666666666666,4,267.0043637448078
12.5,9.666666666666666,5,270.4250271459806
12.5,9.666666666666666,6,112.93108150599222
8.75,6.666666666666667,1,141.27383817218308
8.75,6.666666666666667,2,298.2155330762923
8.75,6.666666666666667,3,167.5478277414257
8.75,6.666666666666667,4,276.53862847610884
5.0,3.3333333333333335,1,252.78357560538814
5.0,3.3333333333333335,2,281.5716890530427
5.0,3.3333333333333335,3,238.96897460075817
5.0,3.3333333333333335,4,212.8444553453567
11.25,8.666666666666666,1,168.58164417643152
11.25,8.666666666666666,2,109.7241413183972
11.25,8.666666666666666,3,109.72414131918543
11.25,8.666666666666666,4,274.2679652284541
11.25,8.666666666666666,5,107.77202537846439
11.25,8.666666666666666,6,262.8927516827481
6.25,4.666666666666667,1,214.2394068698558
6.25,4.666666666666667,2,169.67670586119036
7.5,5.666666666666667,1,149.54686475804942
7.5,5.666666666666667,2,280.8259997163256
7.5,5.666666666666667,3,126.05903563792351
7.5,5.666666666666667,4,285.46611811840125
7.5,5.666666666666667,5,276.50345639795495
7.5,5.666666666666667,6,280.82600002585104
7.5,5.666666666666667,7,298.0668053308691
10.0,8.0,1,138.99377596782082
10.0,8.0,2,210.78904265210724
10.0,8.0,3,106.41699949682514
10.0,8.0,4,106.41699946666287
8.75,7.0,1,139.0584291164915
8.75,7.0,2,286.98463861352894
8.75,7.0,3,266.01526000531425
8.75,7.0,4,123.49828804484841
12.5,10.0,1,134.461692751893
12.5,10.0,2,116.30800192203951
