status,reason,citation_key,source_table,root_label,object_id,Re,geometry_label,norm,E,D,H,unstable_dim,unstable_dim_H,mapped_physical_ids,mapped_literature_labels,mapped_cases
mapped,Curated direct mapping exists.,Sharma2020,Sharma,,EQ5,400,GHC,0.2186,0.1073,2.0201,Sigma,11,4,ghc_re400_alpha1p14_gamma2p5_low_shear_006,"GHC, 2008, EQ5",ghc_re400_alpha1p14_gamma2p5_low_shear
missing_direct,No curated same-parameter mapping in the current catalog.,Sharma2020,Sharma,Pi_5(EQ14),EQ2,400,GHC,0.3858,0.0780,3.0437,Sigma,8,2,,,
mapped,Curated direct mapping exists.,Sharma2020,Sharma,Pi_2(EQ5),EQ7,400,GHC,0.0936,0.1469,1.2523,Theta,3,1,ghc_re400_alpha1p14_gamma2p5_low_shear_002,"GHC, 2008, EQ7;Sharma, 2020, Pi_2(EQ5) EQ7",ghc_re400_alpha1p14_gamma2p5_low_shear
missing_direct,No curated same-parameter mapping in the current catalog.,Sharma2020,Sharma,Pi_7(EQ4),EQ9,400,GHC,0.1565,0.1290,1.4048,Theta6,5,3,,,
missing_direct,No curated same-parameter mapping in the current catalog.,Sharma2020,Sharma,,EQ10,400,GHC,0.3285,0.1080,2.3721,Theta6,10,7,,,
missing_direct,No curated same-parameter mapping in the current catalog.,Sharma2020,Sharma,,EQ11,400,GHC,0.4049,0.0803,3.4322,Theta6,13,10,,,
missing_direct,No curated same-parameter mapping in the current catalog.,Sharma2020,Sharma,Pi_5(EQ9),EQ12,400,GHC,0.2405,0.1289,1.6034,Theta6,3,2,,,
missing_direct,No curated same-parameter mapping in the current catalog.,Sharma2020,Sharma,Pi_3(EQ10),EQ13,400,GHC,0.2683,0.1242,1.7630,Theta6,4,3,,,
missing_direct,No curated same-parameter mapping in the current catalog.,Sharma2020,Sharma,Pi_7(EQ10),EQ15,400,GHC,0.3037,0.1160,2.0713,Theta6,8,6,,,
missing_direct,No curated same-parameter mapping in the current catalog.,Sharma2020,Sharma,Pi_7(EQ11),EQ14,400,GHC,0.4014,0.0759,3.2474,Theta6,10,4,,,
missing_direct,No curated same-parameter mapping in the current catalog.,Sharma2020,Sharma,Pi_10(EQ11),EQ16,400,GHC,0.4049,0.0813,3.3612,Theta6,15,9,,,
