physical_id,case,catalog_source,Re,Lx,Lz,shear,L2,groups,representative_group,representative_J,representative_K,representative_L,ode,dns,dns_ode_comparison,dns_bifurcation,dns_bifurcation_points,E3D,dissipation,D_total,wall_shear,I_total,leading_lambda_re,leading_lambda_im,n_unstable,eigen_lambda,leading_eigenvector,literature,dedup_component_id,dedup_component_size,dedup_status,dedup_members,dedup_edge_count
re300_lx10_lz6_014,re300_lx10_lz6,eqb_catalog,300.0,10.0,6.0,0.580333,0.155926,D,D,2,4,9,equilibria/re300_lx10_lz6_014/representative.asc,equilibria/re300_lx10_lz6_014/ubest.nc,equilibria/re300_lx10_lz6_014/images/dns_ode_comparison.png,equilibria/re300_lx10_lz6_014/bifurcations/dns_combined_curve.csv,88,0.0847835,0.580333,1.580333,0.580333,1.580333,0.07749335331180716,0.0,8,equilibria/re300_lx10_lz6_014/eigen/lambda.asc,equilibria/re300_lx10_lz6_014/eigen/ef1.nc,,,1,single,re300_lx10_lz6_014,0
re300_lx10_lz6_019,re300_lx10_lz6,eqb_catalog,300.0,10.0,6.0,0.830666,0.22263,D,D,2,4,9,equilibria/re300_lx10_lz6_019/representative.asc,equilibria/re300_lx10_lz6_019/ubest.nc,equilibria/re300_lx10_lz6_019/images/dns_ode_comparison.png,equilibria/re300_lx10_lz6_019/bifurcations/dns_combined_curve.csv,86,0.104332,0.693763,1.6937630000000001,0.693353,1.693353,0.03918816770533218,-0.033741380962068794,4,equilibria/re300_lx10_lz6_019/eigen/lambda.asc,equilibria/re300_lx10_lz6_019/eigen/ef1.nc,,,1,single,re300_lx10_lz6_019,0
re300_lx10_lz6_024,re300_lx10_lz6,eqb_catalog,300.0,10.0,6.0,1.12265,0.249595,D,D,2,4,8,equilibria/re300_lx10_lz6_024/representative.asc,equilibria/re300_lx10_lz6_024/ubest.nc,equilibria/re300_lx10_lz6_024/images/dns_ode_comparison.png,equilibria/re300_lx10_lz6_024/bifurcations/dns_combined_curve.csv,72,0.126493,1.12265,2.12265,1.12265,2.12265,0.05752487370356121,0.0,12,equilibria/re300_lx10_lz6_024/eigen/lambda.asc,equilibria/re300_lx10_lz6_024/eigen/ef1.nc,,,1,single,re300_lx10_lz6_024,0
re300_lx10_lz6_013,re300_lx10_lz6,eqb_catalog,300.0,10.0,6.0,0.5755,0.33369,E,E,3,5,11,equilibria/re300_lx10_lz6_013/representative.asc,equilibria/re300_lx10_lz6_013/ubest.nc,equilibria/re300_lx10_lz6_013/images/dns_ode_comparison.png,equilibria/re300_lx10_lz6_013/bifurcations/dns_combined_curve.csv,62,0.0391387,0.5755,1.5755,0.5755,1.5755,0.025981395226157833,0.0,2,equilibria/re300_lx10_lz6_013/eigen/lambda.asc,equilibria/re300_lx10_lz6_013/eigen/ef1.nc,,,1,single,re300_lx10_lz6_013,0
re300_lx10_lz6_016,re300_lx10_lz6,eqb_catalog,300.0,10.0,6.0,0.69859,0.23608,E,E,2,4,5,equilibria/re300_lx10_lz6_016/representative.asc,equilibria/re300_lx10_lz6_016/ubest.nc,equilibria/re300_lx10_lz6_016/images/dns_ode_comparison.png,equilibria/re300_lx10_lz6_016/bifurcations/dns_combined_curve.csv,98,0.077608,0.69859,1.69859,0.69859,1.69859,0.08450938627109389,0.0,12,equilibria/re300_lx10_lz6_016/eigen/lambda.asc,equilibria/re300_lx10_lz6_016/eigen/ef1.nc,,,1,single,re300_lx10_lz6_016,0
re300_lx10_lz6_018,re300_lx10_lz6,eqb_catalog,300.0,10.0,6.0,0.783748,0.218337,E,E,2,4,9,equilibria/re300_lx10_lz6_018/representative.asc,equilibria/re300_lx10_lz6_018/ubest.nc,equilibria/re300_lx10_lz6_018/images/dns_ode_comparison.png,equilibria/re300_lx10_lz6_018/bifurcations/dns_combined_curve.csv,61,,,,,,0.030402567148203857,0.0,5,equilibria/re300_lx10_lz6_018/eigen/lambda.asc,equilibria/re300_lx10_lz6_018/eigen/ef1.nc,,,1,single,re300_lx10_lz6_018,0
re300_lx10_lz6_022,re300_lx10_lz6,eqb_catalog,300.0,10.0,6.0,1.09973,0.404339,E,E,3,5,11,equilibria/re300_lx10_lz6_022/representative.asc,equilibria/re300_lx10_lz6_022/ubest.nc,equilibria/re300_lx10_lz6_022/images/dns_ode_comparison.png,equilibria/re300_lx10_lz6_022/bifurcations/dns_combined_curve.csv,52,0.102379,1.12972,2.12972,1.1127,2.1127000000000002,0.03101155942572789,-0.02497694457360819,2,equilibria/re300_lx10_lz6_022/eigen/lambda.asc,equilibria/re300_lx10_lz6_022/eigen/ef1.nc,,,1,single,re300_lx10_lz6_022,0
re300_lx10_lz6_023,re300_lx10_lz6,eqb_catalog,300.0,10.0,6.0,1.10725,0.261748,E,E,1,4,5,equilibria/re300_lx10_lz6_023/representative.asc,equilibria/re300_lx10_lz6_023/ubest.nc,equilibria/re300_lx10_lz6_023/images/dns_ode_comparison.png,equilibria/re300_lx10_lz6_023/bifurcations/dns_combined_curve.csv,83,0.0585834,0.482333,1.4823330000000001,0.48441,1.48441,0.060294041308159754,0.0,9,equilibria/re300_lx10_lz6_023/eigen/lambda.asc,equilibria/re300_lx10_lz6_023/eigen/ef1.nc,,,1,single,re300_lx10_lz6_023,0
re300_lx10_lz6_001,re300_lx10_lz6,eqb_catalog,300.0,10.0,6.0,0.130007,0.0787033,G,G,2,4,5,equilibria/re300_lx10_lz6_001/representative.asc,equilibria/re300_lx10_lz6_001/ubest.nc,equilibria/re300_lx10_lz6_001/images/dns_ode_comparison.png,equilibria/re300_lx10_lz6_001/bifurcations/dns_combined_curve.csv,67,0.0461695,0.130007,1.130007,0.130007,1.130007,0.04977443646429325,0.0,3,equilibria/re300_lx10_lz6_001/eigen/lambda.asc,equilibria/re300_lx10_lz6_001/eigen/ef1.nc,,,1,single,re300_lx10_lz6_001,0
re300_lx10_lz6_003,re300_lx10_lz6,eqb_catalog,300.0,10.0,6.0,0.211102,0.102108,G,G,2,4,5,equilibria/re300_lx10_lz6_003/representative.asc,equilibria/re300_lx10_lz6_003/ubest.nc,equilibria/re300_lx10_lz6_003/images/dns_ode_comparison.png,equilibria/re300_lx10_lz6_003/bifurcations/dns_combined_curve.csv,66,0.0549206,0.211102,1.211102,0.211102,1.211102,0.048718531303890665,0.0,3,equilibria/re300_lx10_lz6_003/eigen/lambda.asc,equilibria/re300_lx10_lz6_003/eigen/ef1.nc,,,1,single,re300_lx10_lz6_003,0
re300_lx10_lz6_004,re300_lx10_lz6,eqb_catalog,300.0,10.0,6.0,0.260169,0.118291,G,G,1,4,5,equilibria/re300_lx10_lz6_004/representative.asc,equilibria/re300_lx10_lz6_004/ubest.nc,equilibria/re300_lx10_lz6_004/images/dns_ode_comparison.png,equilibria/re300_lx10_lz6_004/bifurcations/dns_combined_curve.csv,68,0.0621388,0.260168,1.260168,0.260169,1.2601689999999999,0.0474826897459241,0.0,3,equilibria/re300_lx10_lz6_004/eigen/lambda.asc,equilibria/re300_lx10_lz6_004/eigen/ef1.nc,,,1,single,re300_lx10_lz6_004,0
re300_lx10_lz6_005,re300_lx10_lz6,eqb_catalog,300.0,10.0,6.0,0.269275,0.11686,G,G,1,3,5,equilibria/re300_lx10_lz6_005/representative.asc,equilibria/re300_lx10_lz6_005/ubest.nc,equilibria/re300_lx10_lz6_005/images/dns_ode_comparison.png,equilibria/re300_lx10_lz6_005/bifurcations/dns_combined_curve.csv,60,0.0639457,0.269275,1.269275,0.269275,1.269275,0.050888000556255975,0.0,5,equilibria/re300_lx10_lz6_005/eigen/lambda.asc,equilibria/re300_lx10_lz6_005/eigen/ef1.nc,,,1,single,re300_lx10_lz6_005,0
