label,t,I,D,E
natural step 2 Re 350.271,0.0,1.7137192228193976,1.7016513325158384,0.03792453182001198
natural step 2 Re 350.271,0.3930584397461974,1.7136093664324745,1.700888080086211,0.037913139515528334
natural step 2 Re 350.271,0.7861168794923948,1.713479958898932,1.7001133706388472,0.03790139602488636
natural step 2 Re 350.271,1.1791753192385923,1.7133317542303725,1.6993303116556482,0.03788934800389412
natural step 2 Re 350.271,1.5722337589847897,1.7131655627344367,1.6985420241331886,0.03787704269127725
natural step 2 Re 350.271,1.965292198730987,1.7129822442117462,1.6977516298562674,0.03786452773384562
natural step 2 Re 350.271,2.3583506384771846,1.7127827014014372,1.6969622387218863,0.037851851015653054
natural step 2 Re 350.271,2.7514090782233818,1.7125678735145624,1.696176936888337,0.03783906050211875
natural step 2 Re 350.271,3.1444675179695794,1.7123387304454323,1.6953987749210304,0.03782620408483951
natural step 2 Re 350.271,3.5375259577157765,1.712096266964925,1.6946307568990022,0.03781332944389474
natural step 2 Re 350.271,3.930584397461974,1.7118414976576264,1.6938758292478167,0.03780048390388281
natural step 2 Re 350.271,4.323642837208172,1.7115754524251074,1.6931368715637642,0.037787714320812134
natural step 2 Re 350.271,4.716701276954369,1.7112991716955899,1.6924166854507605,0.03777506694018109
natural step 2 Re 350.271,5.109759716700566,1.711013703618523,1.6917179874067674,0.03776258730614808
natural step 2 Re 350.271,5.5028181564467635,1.7107201001803942,1.691043398463075,0.03775032013353528
natural step 2 Re 350.271,5.895876596192961,1.7104194142202769,1.6903954369054888,0.03773830920536682
natural step 2 Re 350.271,6.288935035939159,1.7101126988521607,1.6897765118202543,0.03772659729402935
natural step 2 Re 350.271,6.681993475685356,1.7098010032978581,1.689188913612106,0.03771522602725712
natural step 2 Re 350.271,7.075051915431553,1.7094853727601937,1.688634809777179,0.03770423582227266
natural step 2 Re 350.271,7.468110355177751,1.7091668485996572,1.6881162384576756,0.037693665795438334
natural step 2 Re 350.271,7.861168794923948,1.708846464236261,1.6876351009839294,0.03768355363645534
natural step 2 Re 350.271,8.254227234670145,1.7085252475686796,1.6871931592933707,0.03767393556085033
natural step 2 Re 350.271,8.647285674416343,1.7082042208101562,1.6867920300429335,0.03766484620474988
natural step 2 Re 350.271,9.04034411416254,1.7078843968519322,1.6864331788965248,0.03765631850791768
natural step 2 Re 350.271,9.433402553908738,1.7075667829735335,1.6861179190679638,0.03764838367345968
natural step 2 Re 350.271,9.826460993654935,1.7072523801605777,1.6858474064871611,0.037641071052343975
natural step 2 Re 350.271,10.219519433401132,1.706942179802077,1.6856226352318902,0.037634408029231944
natural step 2 Re 350.271,10.61257787314733,1.7066371672605127,1.6854444370505521,0.037628419985663034
natural step 2 Re 350.271,11.005636312893527,1.7063383208461036,1.685313477958916,0.03762313018311814
natural step 2 Re 350.271,11.398694752639726,1.7060466085889148,1.6852302544602429,0.03761855964524994
natural step 2 Re 350.271,11.791753192385922,1.7057629904481688,1.6851950938792242,0.03761472712475609
natural step 2 Re 350.271,12.184811632132119,1.7054884169390623,1.685208152765689,0.037611648997725476
natural step 2 Re 350.271,12.577870071878317,1.7052238258769625,1.6852694139303142,0.03760933913810873
natural step 2 Re 350.271,12.970928511624514,1.704970142616109,1.6853786873307541,0.03760780889026448
natural step 2 Re 350.271,13.363986951370713,1.7047282777846406,1.6855356105574923,0.03760706698875833
natural step 2 Re 350.271,13.75704539111691,1.7044991240587677,1.6857396472264825,0.037607119427852824
natural step 2 Re 350.271,14.150103830863106,1.7042835548074577,1.6859900880953742,0.037607969441280864
natural step 2 Re 350.271,14.543162270609304,1.704082419819825,1.686286053619816,0.03760961745557086
natural step 2 Re 350.271,14.936220710355501,1.7038965420988066,1.686626494702982,0.037612060973763684
natural step 2 Re 350.271,15.3292791501017,1.7037267161569345,1.687010193829356,0.037615294559256746
natural step 2 Re 350.271,15.722337589847896,1.703573700901034,1.6874357694980873,0.037619309820309275
natural step 2 Re 350.271,16.115396029594095,1.703438215949435,1.6879016798133286,0.03762409534458425
natural step 2 Re 350.271,16.50845446934029,1.7033209403521101,1.6884062248172311,0.03762963667716172
natural step 2 Re 350.271,16.901512909086488,1.7032225045260265,1.6889475516099286,0.0376359163398383
natural step 2 Re 350.271,17.294571348832687,1.7031434838263968,1.6895236605617137,0.03764291382958694
natural step 2 Re 350.271,17.68762978857888,1.703084397903495,1.690132411288372,0.03765060561815493
natural step 2 Re 350.271,18.08068822832508,1.7030457053579582,1.6907715270855788,0.03765896519061657
natural step 2 Re 350.271,18.47374666807128,1.7030277927685529,1.6914386029119386,0.037667963100363404
natural step 2 Re 350.271,18.866805107817477,1.7030309743025327,1.6921311161835426,0.03767756704278234
natural step 2 Re 350.271,19.259863547563672,1.7030554899764632,1.6928464313307632,0.03768774189602711
natural step 2 Re 350.271,19.65292198730987,1.7031014942498557,1.6935818091469224,0.03769844982978368
natural step 2 Re 350.271,20.04598042705607,1.7031690529626469,1.6943344185223368,0.037709650439197315
natural step 2 Re 350.271,20.439038866802264,1.7032581436176928,1.6951013474160652,0.03772130086765161
natural step 2 Re 350.271,20.832097306548462,1.703368650143612,1.6958796098435212,0.03773335590840654
natural step 2 Re 350.271,21.22515574629466,1.7035003549854641,1.6966661574596262,0.03774576818198616
natural step 2 Re 350.271,21.61821418604086,1.7036529413589443,1.6974578969532077,0.037758488393294674
natural step 2 Re 350.271,22.011272625787054,1.7038259924537282,1.6982516968863515,0.03777146542306651
natural step 2 Re 350.271,22.404331065533253,1.7040189857880275,1.6990443994498274,0.037784646551254894
natural step 2 Re 350.271,22.79738950527945,1.70423129425347,1.6998328355640369,0.037797977726779744
natural step 2 Re 350.271,23.190447945025646,1.7044621881024862,1.7006138412478768,0.03781140384463453
natural step 2 Re 350.271,23.583506384771844,1.7047108345748805,1.701384264538299,0.037824868872038495
natural step 2 Re 350.271,23.976564824518043,1.7049762988343216,1.70214097936171,0.037838316160831546
natural step 2 Re 350.271,24.369623264264238,1.7052575492305262,1.7028809047661113,0.03785168882070627
natural step 2 Re 350.271,24.762681704010436,1.7055534586324415,1.7036010155452948,0.037864929911151986
natural step 2 Re 350.271,25.155740143756635,1.7058628088525345,1.704298352614525,0.03787798269294876
natural step 2 Re 350.271,25.54879858350283,1.7061842985133042,1.7049700369099408,0.03789079095421869
natural step 2 Re 350.271,25.941857023249028,1.7065165485457567,1.7056132892231401,0.03790329942830502
natural step 2 Re 350.271,26.334915462995227,1.7068581045628215,1.7062254364127978,0.037915453912498426
natural step 2 Re 350.271,26.727973902741425,1.7072074499215004,1.7068039233841037,0.03792720160312268
natural step 2 Re 350.271,27.12103234248762,1.7075630151877905,1.7073463277591092,0.03793849143101052
natural step 2 Re 350.271,27.51409078223382,1.7079231834692679,1.7078503745966556,0.03794927438901359
natural step 2 Re 350.271,27.907149221980017,1.7082862966885917,1.7083139417844964,0.03795950366053772
natural step 2 Re 350.271,28.300207661726212,1.7086506748015615,1.7087350705543578,0.03796913493162772
natural step 2 Re 350.271,28.69326610147241,1.7090146236951846,1.709111979252608,0.03797812669874284
natural step 2 Re 350.271,29.08632454121861,1.7093764404422946,1.709443071867494,0.03798644046669525
natural step 2 Re 350.271,29.479382980964807,1.709734426059325,1.7097269429951156,0.03799404089402229
natural step 2 Re 350.271,29.872441420711002,1.7100869025283323,1.7099623847357246,0.0380008959950658
natural step 2 Re 350.271,30.2654998604572,1.7104322210852445,1.7101483972077047,0.038006977375838975
natural step 2 Re 350.271,30.6585583002034,1.7107687667467144,1.71028419206784,0.038012260323464414
natural step 2 Re 350.271,31.051616739949594,1.7110949749525075,1.7103691947505706,0.038016723895536064
natural step 2 Re 350.271,31.444675179695793,1.711409342416432,1.7104030477384162,0.03802035101209216
natural step 2 Re 350.271,31.83773361944199,1.711710435779503,1.7103856151207486,0.03802312855719787
natural step 2 Re 350.271,32.23079205918819,1.7119968959199594,1.710316982818037,0.03802504740388349
natural step 2 Re 350.271,32.62385049893439,1.7122674517082712,1.71019745595467,0.038026102384314704
natural step 2 Re 350.271,33.01690893868058,1.712520925741741,1.7100275578432438,0.03802629227196688
natural step 2 Re 350.271,33.40996737842678,1.7127562420992972,1.70980802895428,0.03802561976713387
natural step 2 Re 350.271,33.803025818172976,1.7129724298000093,1.7095398235014594,0.03802409144914137
natural step 2 Re 350.271,34.196084257919175,1.713168627092511,1.7092241016643537,0.038021717626829515
natural step 2 Re 350.271,34.58914269766537,1.7133440867707013,1.7088622235921123,0.03801851221654623
natural step 2 Re 350.271,34.98220113741157,1.7134981808665468,1.7084557450703453,0.03801449267307555
natural step 2 Re 350.271,35.37525957715776,1.7136303991461093,1.708006408553056,0.03800967982765871
natural step 2 Re 350.271,35.76831801690396,1.713740345670855,1.7075161323143768,0.038004097683715
natural step 2 Re 350.271,36.16137645665016,1.713827745001919,1.7069869994174913,0.03799777320911298
natural step 2 Re 350.271,36.55443489639636,1.7138924423989454,1.7064212520568143,0.037990736254879566
natural step 2 Re 350.271,36.94749333614256,1.7139343926623407,1.705821276872193,0.03798301928820815
natural step 2 Re 350.271,37.340551775888756,1.713953658377697,1.7051895916124749,0.037974657162884534
natural step 2 Re 350.271,37.733610215634954,1.713950413154368,1.7045288333613953,0.037965686921652225
natural step 2 Re 350.271,38.126668655381145,1.7139249347661372,1.7038417491891718,0.037956147652215076
natural step 2 Re 350.271,38.519727095127344,1.7138775898635816,1.7031311799361668,0.03794608021460133
natural step 2 Re 350.271,38.91278553487354,1.7138088362484944,1.702400043946262,0.037935526989144014
natural step 2 Re 350.271,39.30584397461974,1.7137192211108452,1.7016513289789925,0.03792453175454333
natural step 9 Re 350.852,0.0,1.7157716572167137,1.7031492793752872,0.03794919112002141
natural step 9 Re 350.852,0.39253973651338386,1.715595804211795,1.7020213187204867,0.03793233251620761
