physical_id,case,Re,Lx,Lz,group,symmetry,shear,L2,is_trivial,source,representative_ubest,all_members
re300_lx10_lz6_016,re300_lx10_lz6,300.0,10.0,6.0,E,"<sxyz, sztxz>",0.69859,0.23608,false,overnight,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/E/jkl_2_4_5/dns_findsoln/sol004/ubest.nc,"on:sol004@J2K4L5"
re300_lx10_lz6_018,re300_lx10_lz6,300.0,10.0,6.0,E,"<sxyz, sztxz>",0.783748,0.218337,false,low_shear,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/low_shear/re300_lx10_lz6/E/jkl_2_4_9/dns_findsoln/sol004/ubest.nc,"ls:sol004@J2K4L9"
re300_lx10_lz6_021,re300_lx10_lz6,300.0,10.0,6.0,E,"<sxyz, sztxz>",0.978733,0.24704,false,overnight,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/E/jkl_2_4_9/dns_findsoln/sol003/ubest.nc,"on:sol003@J2K4L9"
re300_lx10_lz6_022,re300_lx10_lz6,300.0,10.0,6.0,E,"<sxyz, sztxz>",1.09973,0.404339,false,low_shear,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/low_shear/re300_lx10_lz6/E/jkl_3_5_11/dns_findsoln/sol002/ubest.nc,"ls:sol002@J3K5L11;ls:sol006@J1K3L5"
re300_lx10_lz6_023,re300_lx10_lz6,300.0,10.0,6.0,E,"<sxyz, sztxz>",1.10725,0.261748,false,low_shear,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/low_shear/re300_lx10_lz6/E/jkl_1_4_5/dns_findsoln/sol005/ubest.nc,"ls:sol005@J1K4L5"
re300_lx10_lz6_006,re300_lx10_lz6,300.0,10.0,6.0,F,"<sxy, sz, txz>",0.327932,0.132183,false,both,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/F/jkl_3_5_9/dns_findsoln/sol001/ubest.nc,"on:sol001@J3K5L9;ls:sol001@J3K5L9"
re300_lx10_lz6_001,re300_lx10_lz6,300.0,10.0,6.0,G,"<sxyz>",0.130007,0.0787033,false,overnight,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/G/jkl_2_4_5/dns_findsoln/sol004/ubest.nc,"on:sol004@J2K4L5"
re300_lx10_lz6_002,re300_lx10_lz6,300.0,10.0,6.0,G,"<sxyz>",0.191403,0.093204,false,both,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/G/jkl_1_3_5/dns_findsoln/sol002/ubest.nc,"on:sol002@J1K3L5;on:sol011@J1K3L5;ls:sol006@J2K4L5;ls:sol010@J1K3L5"
re300_lx10_lz6_003,re300_lx10_lz6,300.0,10.0,6.0,G,"<sxyz>",0.211102,0.102108,false,overnight,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/G/jkl_2_4_5/dns_findsoln/sol001/ubest.nc,"on:sol001@J2K4L5;on:sol006@J1K3L5"
re300_lx10_lz6_004,re300_lx10_lz6,300.0,10.0,6.0,G,"<sxyz>",0.260169,0.118291,false,both,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/G/jkl_1_4_5/dns_findsoln/sol008/ubest.nc,"on:sol008@J1K4L5;ls:sol003@J1K4L5"
re300_lx10_lz6_005,re300_lx10_lz6,300.0,10.0,6.0,G,"<sxyz>",0.269275,0.11686,false,overnight,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/G/jkl_1_3_5/dns_findsoln/sol007/ubest.nc,"on:sol007@J1K3L5"
re300_lx10_lz6_006,re300_lx10_lz6,300.0,10.0,6.0,G,"<sxyz>",0.327932,0.132183,false,low_shear,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/low_shear/re300_lx10_lz6/G/jkl_1_3_5/dns_findsoln/sol004/ubest.nc,"ls:sol004@J1K3L5"
re300_lx10_lz6_009,re300_lx10_lz6,300.0,10.0,6.0,G,"<sxyz>",0.385216,0.208333,false,low_shear,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/low_shear/re300_lx10_lz6/G/jkl_1_3_5/dns_findsoln/sol011/ubest.nc,"ls:sol011@J1K3L5"
re300_lx10_lz6_015,re300_lx10_lz6,300.0,10.0,6.0,G,"<sxyz>",0.692635,0.281618,false,low_shear,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/low_shear/re300_lx10_lz6/G/jkl_2_4_6/dns_findsoln/sol001/ubest.nc,"ls:sol001@J2K4L6;ls:sol002@J2K4L5"
re300_lx10_lz6_017,re300_lx10_lz6,300.0,10.0,6.0,G,"<sxyz>",0.726279,0.203045,false,low_shear,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/low_shear/re300_lx10_lz6/G/jkl_1_4_5/dns_findsoln/sol007/ubest.nc,"ls:sol007@J1K4L5"
re300_lx10_lz6_020,re300_lx10_lz6,300.0,10.0,6.0,G,"<sxyz>",0.871758,0.231991,false,overnight,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/G/jkl_1_4_5/dns_findsoln/sol003/ubest.nc,"on:sol003@J1K4L5"
re300_lx2pi_lzpi_012,re300_lx2pi_lzpi,300.0,6.283185307179586,3.141592653589793,A,"<sxyz, txz>",3.7039,0.419643,false,both,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx2pi_lzpi/A/jkl_3_5_11/dns_findsoln/sol001/ubest.nc,"on:sol001@J3K5L11;on:sol003@J1K3L5;ls:sol001@J3K5L11;ls:sol004@J1K3L5"
re300_lx2pi_lzpi_001,re300_lx2pi_lzpi,300.0,6.283185307179586,3.141592653589793,B,"<sxy, sz>",0.25004,0.10128,false,both,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx2pi_lzpi/B/jkl_1_4_5/dns_findsoln/sol001/ubest.nc,"on:sol001@J1K4L5;ls:sol001@J1K4L5"
re300_lx2pi_lzpi_008,re300_lx2pi_lzpi,300.0,6.283185307179586,3.141592653589793,B,"<sxy, sz>",1.2109,0.250827,false,both,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx2pi_lzpi/B/jkl_1_3_5/dns_findsoln/sol002/ubest.nc,"on:sol002@J1K3L5;ls:sol003@J1K3L5"
re300_lx2pi_lzpi_012,re300_lx2pi_lzpi,300.0,6.283185307179586,3.141592653589793,B,"<sxy, sz>",3.7039,0.419643,false,both,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx2pi_lzpi/B/jkl_1_3_5/dns_findsoln/sol003/ubest.nc,"on:sol003@J1K3L5;ls:sol002@J1K3L5"
re300_lx2pi_lzpi_001,re300_lx2pi_lzpi,300.0,6.283185307179586,3.141592653589793,C,"<sxytz, sz>",0.25004,0.10128,false,both,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx2pi_lzpi/C/jkl_3_5_11/dns_findsoln/sol001/ubest.nc,"on:sol001@J3K5L11;on:sol002@J1K4L5;ls:sol001@J3K5L11;ls:sol002@J1K4L5"
