physical_id,case,Re,Lx,Lz,shear,L2,is_trivial,source,groups,n_groups,representative_ubest
re300_lx10_lz6_005,re300_lx10_lz6,300.0,10.0,6.0,0.269275,0.11686,false,overnight,"G",1,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/G/jkl_1_3_5/dns_findsoln/sol007/ubest.nc
re300_lx10_lz6_009,re300_lx10_lz6,300.0,10.0,6.0,0.385216,0.208333,false,low_shear,"G",1,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/low_shear/re300_lx10_lz6/G/jkl_1_3_5/dns_findsoln/sol011/ubest.nc
re300_lx10_lz6_015,re300_lx10_lz6,300.0,10.0,6.0,0.692635,0.281618,false,low_shear,"G",1,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/low_shear/re300_lx10_lz6/G/jkl_2_4_6/dns_findsoln/sol001/ubest.nc
re300_lx10_lz6_017,re300_lx10_lz6,300.0,10.0,6.0,0.726279,0.203045,false,low_shear,"G",1,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/low_shear/re300_lx10_lz6/G/jkl_1_4_5/dns_findsoln/sol007/ubest.nc
re300_lx10_lz6_020,re300_lx10_lz6,300.0,10.0,6.0,0.871758,0.231991,false,overnight,"G",1,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/G/jkl_1_4_5/dns_findsoln/sol003/ubest.nc
re300_lx2pi_lzpi_012,re300_lx2pi_lzpi,300.0,6.283185307179586,3.141592653589793,3.7039,0.419643,false,both,"A,B,C,D,E,F",6,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx2pi_lzpi/A/jkl_3_5_11/dns_findsoln/sol001/ubest.nc
re300_lx2pi_lzpi_001,re300_lx2pi_lzpi,300.0,6.283185307179586,3.141592653589793,0.25004,0.10128,false,both,"B,C,D,F,G",5,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx2pi_lzpi/C/jkl_3_5_11/dns_findsoln/sol001/ubest.nc
re300_lx2pi_lzpi_008,re300_lx2pi_lzpi,300.0,6.283185307179586,3.141592653589793,1.2109,0.250827,false,both,"B",1,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx2pi_lzpi/B/jkl_1_3_5/dns_findsoln/sol002/ubest.nc
re300_lx2pi_lzpi_002,re300_lx2pi_lzpi,300.0,6.283185307179586,3.141592653589793,0.305736,0.11435,false,overnight,"D",1,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx2pi_lzpi/D/jkl_1_4_5/dns_findsoln/sol002/ubest.nc
re300_lx2pi_lzpi_006,re300_lx2pi_lzpi,300.0,6.283185307179586,3.141592653589793,0.953817,0.226596,false,overnight,"D",1,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx2pi_lzpi/D/jkl_1_3_5/dns_findsoln/sol003/ubest.nc
re300_lx2pi_lzpi_010,re300_lx2pi_lzpi,300.0,6.283185307179586,3.141592653589793,3.03859,0.386379,false,overnight,"D",1,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx2pi_lzpi/D/jkl_2_4_6/dns_findsoln/sol001/ubest.nc
re300_lx2pi_lzpi_003,re300_lx2pi_lzpi,300.0,6.283185307179586,3.141592653589793,0.451944,0.238198,false,both,"E",1,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx2pi_lzpi/E/jkl_3_5_11/dns_findsoln/sol002/ubest.nc
