                     %Re                     obs                       s                guesserr                   error     directory
                  300.02               2.8095306                       0                       0           3.2258722e-16  ./initial-2/
                     300               2.8094683                       0                       0           8.1679491e-16  ./initial-1/
                  299.98                2.809406                       0                       0           3.8545162e-16  ./initial-0/
               271.87411               2.7139479             0.099727576           1.4179179e-05            9.870523e-15   search-0/
               258.18421               2.6598753              0.14925332           1.8066225e-05           1.1800122e-14   search-1/
               244.67865                2.599843              0.19908558            1.967102e-05           2.1460867e-14   search-2/
               231.44297               2.5330441              0.24920339            1.935585e-05           1.7289335e-14   search-3/
               220.57122               2.4710245              0.29163677           1.7447803e-05           5.6604844e-15   search-4/
               210.00624                2.403266               0.3343203             1.84009e-05           6.5747879e-15   search-5/
               201.11146               2.3392321              0.37171764           1.6733044e-05           6.6847495e-15   search-6/
               192.55459               2.2700131              0.40940815           1.8836862e-05           2.0065242e-14   search-7/
               185.65349               2.2070452              0.44152512           1.7393766e-05            7.279862e-15   search-8/
               179.82772               2.1469917              0.47040443           1.6360092e-05           4.1244632e-15   search-9/
               174.36144               2.0819766              0.49985826           1.9253643e-05           4.7111756e-15   search-10/
               170.28521               2.0242566               0.5244897           1.8288279e-05           7.5575581e-14   search-11/
               167.18201               1.9697591              0.54647315           1.7322461e-05           4.5952834e-16   search-12/
               164.93525               1.9157904              0.56709101            1.717758e-05           5.4110907e-16   search-13/
                163.5801               1.8522432              0.59015662           1.8151767e-05           5.3878681e-16   search-14/
               163.53111               1.8450707               0.5927148           1.1881023e-06           4.8930692e-16   search-18/
                163.5142               1.8411173              0.59412309           9.4773606e-08            2.074798e-15   search-21/
               163.50444               1.8370186              0.59558234           1.5634031e-08           2.9957445e-16   search-23/
               163.50858               1.8290926              0.59840354           5.4055498e-08           6.1328432e-16   search-24/
               163.60795                1.813665              0.60390483           3.4689167e-07           1.1177017e-15   search-25/
               164.16869               1.7841202              0.61458579           2.5473932e-06            1.115908e-15   search-26/
               165.70679               1.7465476              0.62890843           7.3481394e-06           1.5982249e-14   search-27/
               168.46918               1.7081709              0.64538193           8.9183029e-06           7.9595978e-15   search-28/
               172.29424               1.6735881               0.6631045           1.1616826e-05           1.3764873e-15   search-29/
               176.35517               1.6469778               0.6796256           1.6803236e-05           4.5934349e-15   search-30/
               180.89391               1.6238513              0.69684913           1.8064812e-05           4.4457266e-15   search-31/
               185.74414                 1.60394              0.71450175           1.5978491e-05           1.0188877e-14   search-32/
               190.79524                1.586766               0.7324141           1.3250264e-05           7.0351745e-15   search-33/
               195.97679               1.5718568              0.75048279           1.0501011e-05           6.8431261e-15   search-34/
                202.2842               1.5564406              0.77221176           1.1448921e-05           7.8302725e-15   search-35/
               208.67484               1.5431296               0.7940344           1.0264383e-05           3.7827468e-15   search-36/
               216.32528               1.5295062              0.81999281           1.1552244e-05           1.0153954e-14   search-37/
               224.02861               1.5177453              0.84600957           1.0179504e-05           2.6199342e-15   search-38/
               233.25591               1.5056412              0.87706751            1.148203e-05           2.0982438e-15   search-39/
                242.5173               1.4951804              0.90816254           1.0140774e-05           2.3478895e-15   search-40/
               253.59591               1.4843843              0.94529063           1.1464331e-05           5.6021763e-15   search-41/
               264.69664               1.4750311              0.98244253           1.0125201e-05           6.9271696e-15   search-42/
               277.96794                1.465343               1.0268144           1.1449799e-05           2.5501467e-15   search-43/
               291.25371               1.4569222               1.0712016           1.0103111e-05           3.8223321e-15   search-44/
               307.14677               1.4481596               1.1242702           1.1426906e-05           3.9700782e-15   search-45/
               323.04944               1.4405186               1.1773488           1.0064169e-05            5.071177e-15   search-46/
               342.10915                1.432527               1.2409449           1.1390466e-05           1.7585943e-15   search-47/
               361.17537                1.425542               1.3045475           1.0003111e-05           1.8463797e-15   search-48/
               384.10227               1.4181981               1.3810152           1.1337454e-05           2.7107586e-15   search-49/
