35) (i,j,k)=( 48,  4, 22) S=-3.974731e-02 +  0.000000e+00i  ijkl(i,j,k)=[[6, 1, -1, 5], [1, 0, 1, 0], [3, -1, 0, 3]]
36) (i,j,k)=( 48, 22,  4) S=-3.974731e-02 +  0.000000e+00i  ijkl(i,j,k)=[[6, 1, -1, 5], [3, -1, 0, 3], [1, 0, 1, 0]]
37) (i,j,k)=( 23,  4, 44) S= 3.521124e-02 + -0.000000e+00i  ijkl(i,j,k)=[[3, -1, 0, 5], [1, 0, 1, 0], [5, 1, -1, 3]]
38) (i,j,k)=( 26,  4, 41) S=-3.512857e-02 +  0.000000e+00i  ijkl(i,j,k)=[[5, -1, -1, 4], [1, 0, 1, 0], [3, 1, 0, 2]]
39) (i,j,k)=( 26, 41,  4) S=-3.512857e-02 +  0.000000e+00i  ijkl(i,j,k)=[[5, -1, -1, 4], [3, 1, 0, 2], [1, 0, 1, 0]]
40) (i,j,k)=( 47,  1, 24) S= 3.153863e-02 +  0.000000e+00i  ijkl(i,j,k)=[[6, 1, -1, 3], [1, 0, 0, 1], [5, -1, -1, 0]]
41) (i,j,k)=( 42,  4, 27) S=-3.012530e-02 +  0.000000e+00i  ijkl(i,j,k)=[[3, 1, 0, 4], [1, 0, 1, 0], [6, -1, -1, 2]]
42) (i,j,k)=( 53,  4, 25) S= 2.929592e-02 +  0.000000e+00i  ijkl(i,j,k)=[[6, 1, 2, 4], [1, 0, 1, 0], [5, -1, -1, 2]]
43) (i,j,k)=( 53, 25,  4) S= 2.929592e-02 +  0.000000e+00i  ijkl(i,j,k)=[[6, 1, 2, 4], [5, -1, -1, 2], [1, 0, 1, 0]]
44) (i,j,k)=(  7, 22, 24) S= 2.905670e-02 +  0.000000e+00i  ijkl(i,j,k)=[[2, 0, 1, 1], [3, -1, 0, 3], [5, -1, -1, 0]]
45) (i,j,k)=(  7, 24, 22) S= 2.905670e-02 +  0.000000e+00i  ijkl(i,j,k)=[[2, 0, 1, 1], [5, -1, -1, 0], [3, -1, 0, 3]]
46) (i,j,k)=( 23,  2, 40) S= 2.862679e-02 +  0.000000e+00i  ijkl(i,j,k)=[[3, -1, 0, 5], [1, 0, 0, 3], [3, 1, 0, 0]]
47) (i,j,k)=( 40,  1, 22) S=-2.818713e-02 +  0.000000e+00i  ijkl(i,j,k)=[[3, 1, 0, 0], [1, 0, 0, 1], [3, -1, 0, 3]]
48) (i,j,k)=( 23,  1, 42) S= 2.543782e-02 + -0.000000e+00i  ijkl(i,j,k)=[[3, -1, 0, 5], [1, 0, 0, 1], [3, 1, 0, 4]]
49) (i,j,k)=( 13, 24, 24) S=-2.527493e-02 + -0.000000e+00i  ijkl(i,j,k)=[[2, 0, -2, 2], [5, -1, -1, 0], [5, -1, -1, 0]]
50) (i,j,k)=( 45,  4, 21) S=-2.522329e-02 +  0.000000e+00i  ijkl(i,j,k)=[[5, 1, -1, 5], [1, 0, 1, 0], [3, -1, 0, 1]]
