direction,step,Re,period,closure,relative_closure,I_min,I_max,I_span,I_mean,D_min,D_max,D_span,D_mean,E_min,E_max,E_span,E_mean,amplitude_ID,distance_from_Hopf,span_class
natural,1,341.91679026008626,19.80320548253725,1.718369409433393e-8,5.142481035180225e-8,2.2063472145605596,2.2095269855759416,0.003179771015382027,2.2079410804871316,2.177952145443016,2.1795689682621724,0.001616822819156205,2.178725111856171,0.060654609571456804,0.060754452498524326,9.984292706752274e-5,0.06070448669128611,0.003567220169657021,0.5,tiny
natural,2,341.93093240759373,19.803494555202423,3.523766453982002e-8,1.0545337656675567e-7,2.2063411966074655,2.20956623391793,0.003225037310464529,2.2079576169773145,2.177960007670168,2.1795997586777562,0.001639751007588064,2.1787435320748667,0.060654472259150945,0.060755738890485626,0.00010126663133468161,0.06070506672041404,0.003617961998249063,0.5141421475074708,tiny
natural,3,341.95179647605977,19.803879587104586,2.866111535372949e-9,8.577131960932167e-9,2.206335494791276,2.2096249968180888,0.003289502026812663,2.2079840199811334,2.1779742634613837,2.179646677287252,0.0016724138258683574,2.1787728140220084,0.06065436929973659,0.0607576647905311,0.00010329549079451245,0.060705986901685646,0.0036902292055318534,0.5350062159735103,tiny
natural,4,341.971224590774,19.80424978357011,2.5077980274231067e-8,7.504772757576948e-8,2.2063300753723025,2.209678698705042,0.003348623332739553,2.2080080384459175,2.1779871950166223,2.1796895423993465,0.0017023473827242341,2.17879949092945,0.06065426979269744,0.06075942656658962,0.00010515677389218159,0.060706826449118435,0.00375649635112771,0.5544343306877408,tiny
natural,5,341.9496480560368,19.803838615993758,2.6639997180347643e-8,7.972299815256052e-8,2.206336045507933,2.2096191175713575,0.003283072063424708,2.207981369607739,2.1779728176800157,2.1796419783951446,0.0016691607151289034,2.1787698767628245,0.06065437894646627,0.06075747087962268,0.00010309193315641285,0.060705893498720805,0.00368302316943152,0.5328577959505196,tiny
natural,6,342.0166443940633,19.80511533592274,2.8579484913224564e-9,8.552438542097966e-9,2.206319081867605,2.2098025893467437,0.0034835074791388365,2.2080641848988094,2.1780183154682113,2.179788938962381,0.0017706234941696763,2.178861902016163,0.060654089778737416,0.060763490052015506,0.00010940027327809021,0.06070878725941149,0.0039076760248671905,0.5998541339770327,tiny
natural,7,342.1154849292418,19.806998956055217,7.241984355609021e-9,2.1670676061609268e-8,2.206303597514541,2.210063763934369,0.003760166419827904,2.2081862979876625,2.178090367574696,2.1800009564237977,0.0019105888491015577,2.178997752157917,0.060653959676483946,0.06077206960776666,0.0001181099312827158,0.06071305669670306,0.004217724653781066,0.6986946691555431,tiny
natural,8,342.2613056066709,19.809778009374458,2.1572749811321446e-8,6.45489992060234e-8,2.2062974802776116,2.210432406261992,0.0041349259843803665,2.2083663314993873,2.1782052993018857,2.180305463793987,0.002100164492101264,2.1791982926625524,0.060654285748038335,0.06078420234787085,0.00012991659983251774,0.060719357095125916,0.004637704582030522,0.8445153465846147,tiny
natural,9,342.4764366753968,19.813878195275414,3.782851080278083e-9,1.1317672852042003e-8,2.2063159100099163,2.2109489085443057,0.004632998534389365,2.2086317400159396,2.178389061848078,2.1807407227754436,0.0023516609273657174,2.1794943413446997,0.06065561369822142,0.06080124156825683,0.00014562787003540717,0.060728654388163945,0.005195669787135495,1.0596464153105671,tiny
natural,10,342.78864563962406,19.81982914419416,4.406204141323257e-9,1.3180586511540062e-8,2.2063838076519255,2.2116575834772565,0.005273775825330951,2.209016662141276,2.178677170146176,2.181351518494544,0.0026743483483682162,2.179924357797695,0.06065880237257552,0.060824676044290406,0.00016587367171488898,0.06074214311059465,0.005913108365679168,1.3718553795378057,tiny
natural,11,343.24173889988293,19.828466523173066,5.0251391771480305e-9,1.5028605767538162e-8,2.2065412714467483,2.212627601567901,0.006086330121152894,2.2095749637683197,2.1791257161380697,2.1822080692010015,0.0030823530629318086,2.1805490300468837,0.06066521254775274,0.06085682993021699,0.00019161738246424587,0.060761702975719374,0.006822339389697504,1.8249486397966734,tiny
natural,12,343.89929049492326,19.841003618042368,6.18982964305027e-9,1.8505607033412936e-8,2.2068506593513786,2.213955401211942,0.007104741860563202,2.2103848570527056,2.1798186734581044,2.1834102659529586,0.00359159249485419,2.1814566147840027,0.0606769111181168,0.06090093479446607,0.000224023676349272,0.06079004120488264,0.00796096059243682,2.482500234837005,tiny
natural,13,344.85356224845276,19.859202009722452,7.570917232537949e-9,2.262348495899141e-8,2.207406955008342,2.215776741840816,0.008369786832473913,2.211559879148102,2.1808820407199025,2.1851009207804655,0.004218880060562924,2.182775450124085,0.060696991987226785,0.060961512597106186,0.0002645206098794012,0.060831040793863624,0.009372954741513966,3.4367719883665018,tiny
