                     %Re                     obs                       s                guesserr                   error     directory
                  300.02               1.5485751                       0                       0            3.769519e-16  ./initial-2/
                     300               1.5485946                       0                       0           1.6690958e-14  ./initial-1/
                  299.98               1.5486141                       0                       0           2.9486689e-16  ./initial-0/
               273.47566               1.5793587             0.090618858           1.4272769e-05           8.9024151e-15   search-0/
                260.9983               1.5986395              0.13403363           1.8335019e-05           3.6181171e-15   search-1/
               250.24312               1.6192457              0.17227397           1.6866297e-05           5.9920729e-15   search-2/
               239.70811               1.6448947              0.21110064           1.6415867e-05           4.3613897e-15   search-3/
               230.89538               1.6730184              0.24563686           1.6797661e-05           1.4304982e-14   search-4/
               223.51283               1.7046476              0.27761709           1.6332525e-05           1.9418556e-14   search-5/
               216.87835               1.7452185              0.31190168           1.8125928e-05           2.1891343e-14   search-6/
               212.09961               1.7911023              0.34554146            1.625256e-05           4.1188748e-14   search-7/
                209.0354                1.845764              0.38228718           1.4905881e-05            9.938965e-15   search-8/
               208.22207               1.8777704              0.40313227           1.8236923e-05           8.8937864e-16   search-9/
               208.29247                1.946334               0.4474076           1.2174603e-05           5.6876863e-16   search-10/
               210.03068               2.0089616              0.48826215           1.9469377e-05           1.2302815e-15   search-11/
               212.63775               2.0646841              0.52527931           1.8446965e-05           3.2659107e-16   search-12/
               216.22608               2.1222893               0.5643534           1.5888641e-05           6.2988126e-14   search-13/
               220.67343               2.1803884              0.60469336           1.4291879e-05            8.251948e-15   search-14/
               225.87537               2.2381749              0.64584079           1.3029704e-05           6.4636203e-15   search-15/
               231.74949               2.2951095              0.68749516           1.1613146e-05           2.7785139e-15   search-16/
               238.23542               2.3508227              0.72946811           1.0300811e-05           2.8587953e-15   search-17/
               246.42312               2.4132302              0.77813961           1.1970179e-05           6.8199464e-15   search-18/
               255.32676                2.473348              0.82700567           1.2038052e-05           1.2230207e-14   search-19/
               264.91497               2.5308981               0.8760216           1.1392713e-05           2.2806689e-15   search-20/
               275.16145               2.5856277              0.92517015           1.0415644e-05           2.1629916e-15   search-21/
               287.55072               2.6440204              0.98109238           1.2210349e-05           6.7023665e-15   search-22/
               300.71771               2.6982393               1.0372364           1.2597418e-05           3.9107823e-15   search-23/
               314.61472                2.748087               1.0936455            1.213937e-05           3.4681621e-15   search-24/
               329.18117                2.793459               1.1503552           1.1017587e-05           2.0456473e-15   search-25/
               346.37649               2.8394318               1.2149046           1.2228893e-05           5.6238146e-15   search-26/
               364.22676               2.8800012               1.2799175           1.1498407e-05           6.6450969e-15   search-27/
               384.96935               2.9198742                1.353698           1.2269327e-05           5.8673484e-15   search-28/
                406.2276               2.9545351               1.4280096           1.0960859e-05           3.9282585e-15   search-29/
               430.89122               2.9890707               1.5131928            1.209822e-05            1.948938e-14   search-30/
               455.87035               3.0198144               1.5987905           1.1728902e-05           9.6492289e-15   search-31/
                481.0454               3.0481208               1.6846751           1.0984774e-05            1.143168e-14   search-32/
               506.33289               3.0751758               1.7707582           1.0057656e-05           3.7530754e-15   search-33/
               535.04346                3.105657               1.8684633           1.2186499e-05             7.12447e-15   search-34/
               563.76366               3.1371878               1.9663385           1.3771742e-05           5.8755562e-15   search-35/
               592.44345               3.1705096               2.0643295           1.4449446e-05           2.9585468e-14   search-36/
               621.04883               3.2056073               2.1623373           1.3391822e-05           2.2532353e-14   search-37/
               649.57486                3.241728               2.2602431           1.1288049e-05           1.4057373e-14   search-38/
