                     %Lz                     obs                       s                guesserr                   error     directory
               6.6009213                1.597299                       0                       0           7.4308184e-14  ./initial-2/
               6.6109213                1.602183                       0                       0           4.6138623e-14  ./initial-1/
               6.6209213                1.607288                       0                       0            9.798565e-14  ./initial-0/
               6.7246941               1.6857872             0.054975447           1.2627761e-05           2.7270262e-14   search-0/
               6.7497457               1.7275954              0.08134365           1.6344219e-05           2.4258787e-14   search-1/
               6.7546281               1.7416336             0.090136653           1.1275022e-05           3.2553208e-15   search-2/
               6.7524942               1.8442636              0.15419384           1.0322946e-05           1.4852705e-16   search-3/
               6.7240594               1.9212642               0.2024457           1.7923321e-05           5.1022039e-15   search-4/
               6.6926481               1.9862842              0.24330503           1.6845272e-05           1.2453466e-15   search-5/
               6.6545124               2.0642866              0.29233066           1.8924999e-05           4.4111779e-16   search-6/
               6.6246191               2.1388681              0.33909973           1.9286607e-05           7.7470052e-16   search-7/
               6.6080809               2.2049808               0.3804396           1.6483719e-05           9.2296169e-15   search-8/
                6.604148               2.2401391              0.40239168           6.3987634e-06           3.5513222e-14   search-10/
               6.6037373               2.2692643              0.42057025           8.7050305e-06           6.6610351e-16   search-11/
               6.6071963               2.3071145              0.44420017           7.2483927e-06            9.175318e-15   search-12/
               6.6151687               2.3460726              0.46854567           1.0105192e-05              5.1394e-14   search-13/
               6.6276156               2.3904311              0.49629593           1.5590548e-05           7.4757744e-16   search-14/
               6.6395187               2.4512623              0.53430626           1.9593727e-05           2.6475385e-14   search-15/
