                     %Re                     obs                       s                guesserr                   error     directory
                   300.1               1.4738628                       0                       0            4.070913e-16  ./initial-2/
                     300               1.4739239                       0                       0           1.8854742e-14  ./initial-1/
                   299.9               1.4739851                       0                       0           5.5212629e-16  ./initial-0/
               270.78923               1.4980375             0.098734402           1.4194888e-05           1.4869977e-14   search-0/
               256.98532               1.5148619              0.14614213           1.8318551e-05           1.9658086e-14   search-1/
               244.95584                1.533091              0.18810443           1.6665018e-05           1.3050099e-14   search-2/
                233.1037               1.5545768              0.23021512           1.4739053e-05           6.0616187e-15   search-3/
               221.47182               1.5789685              0.27237199           1.6649491e-05           3.8299129e-15   search-4/
               210.07335               1.6055049              0.31441666           1.8768082e-05           9.4045134e-15   search-5/
               200.27643               1.6296996              0.35096661           1.6632112e-05           3.4357542e-15   search-6/
               190.58361               1.6542073              0.38730355           1.7593012e-05            1.850183e-15   search-7/
               182.11423               1.6756477              0.41906206           1.6529122e-05           2.3743701e-15   search-8/
               173.64688               1.6968878              0.45075256           1.8919373e-05           3.9050424e-15   search-9/
               166.50222               1.7146943              0.47745708           1.7383376e-05           2.1874361e-15   search-10/
               159.34886               1.7327194              0.50425478           1.9955087e-05           5.4404613e-15   search-11/
               153.49526               1.7481428              0.52639562           1.7966462e-05           9.7742594e-15   search-12/
               148.40567               1.7628195              0.54606731           1.6590415e-05           5.5391692e-15   search-13/
               143.42072               1.7797603              0.56627158           1.9508103e-05           8.8616601e-14   search-14/
               139.56898               1.7967274              0.58351567           1.8249162e-05           4.2960947e-14   search-15/
               136.51355               1.8161287              0.60015879           1.6675224e-05           8.4871878e-14   search-16/
               134.10845               1.8441575              0.62079608           1.7420727e-05           1.0666079e-15   search-17/
               133.56277               1.8581724              0.63047708           6.0403622e-06           2.8444892e-15   search-19/
               133.39694               1.8665386              0.63618006           8.1157282e-06           7.1122997e-16   search-20/
               133.41067               1.8878165              0.65061636           4.5794811e-06           9.1159245e-14   search-21/
               134.04591               1.9125953              0.66756062            1.094953e-05           4.7735992e-16   search-22/
               135.34974               1.9403642              0.68689556           1.6646684e-05           1.8502228e-16   search-23/
               137.27069               1.9700165              0.70800789           1.7398952e-05           7.5300525e-14   search-24/
               139.71075               2.0006174              0.73030579            1.545668e-05           3.2881884e-14   search-25/
               142.57329               2.0315281              0.75334617           1.2507571e-05           1.7443183e-14   search-26/
               146.22435               2.0663749               0.7799369           1.2224514e-05           1.6334159e-14   search-27/
               150.24767               2.1008668              0.80690879           1.0466174e-05           1.7302116e-14   search-28/
               155.41525               2.1409585              0.83910484           1.1624345e-05           3.5931387e-14   search-29/
               160.98002               2.1802119              0.87155988           1.0524623e-05           5.5435737e-15   search-30/
               167.89051               2.2246769              0.90951651           1.1868274e-05           1.7163615e-14   search-31/
               175.23488               2.2679198              0.94772757           1.1047222e-05           1.2490806e-14   search-32/
               183.96411               2.3151741              0.99102329           1.2315438e-05           8.5477731e-15   search-33/
               193.12633               2.3610287               1.0346192           1.2155974e-05           5.2766596e-15   search-34/
               202.66232               2.4055866               1.0784859            1.218529e-05           1.1484406e-14   search-35/
               212.51612               2.4489477               1.1225805           1.2425835e-05           8.2492219e-15   search-36/
               222.63893               2.4912454               1.1668761           1.2687849e-05           5.8499335e-15   search-37/
               232.98629                2.532677               1.2113711           1.2496762e-05           6.1305833e-15   search-38/
               243.51307               2.5734986               1.2560736           1.2048619e-05           8.3363516e-15   search-39/
               254.17131               2.6139766                1.300978           1.1849182e-05           1.1114747e-14   search-40/
               264.91365               2.6543326               1.3460542           1.1755525e-05           6.7905905e-15   search-41/
               275.69941                2.694714               1.3912559           1.1295696e-05           3.9053757e-15   search-42/
               286.49869               2.7351965                1.436535           1.0414952e-05            4.767472e-15   search-43/
               298.86761               2.7817474               1.4884712           1.2030082e-05           6.8527345e-15   search-44/
               311.21717               2.8284867               1.5404342           1.1920479e-05            4.819333e-15   search-45/
               323.54101               2.8754416               1.5924187           1.1108559e-05             8.35138e-15   search-46/
               335.83398               2.9226531               1.6444291           1.0080428e-05           7.3136793e-15   search-47/
               349.87172               2.9770968                1.704044           1.2055967e-05           1.4208046e-14   search-48/
               363.85323               3.0319125               1.7636692           1.2839818e-05           1.7153799e-14   search-49/
