id,norm,shear
1,0.33685562713165323,1.1763173605710744
2,0.35604794112414356,2.2351711141528394
3,0.3214099697103994,1.9362177868261223
4,0.4194661986628187,2.7432679236905626
5,0.4345985567971257,1.3446576238982877
6,0.3379666251504508,1.7430465573318679
7,0.2971956302012287,1.3997158529242815
8,0.33975669432648725,1.5395125352348324
9,0.32545612343299657,1.8931536101479116
10,0.2937547072385857,1.8811198358934895
11,0.42048652477651166,1.9007674181639902
12,0.42657659289320426,2.099717950452386
13,0.4402008265268531,2.7770584154933484
14,0.35538263494877315,1.8657564912459161
15,0.39939378496963235,2.5406537583412185
16,0.6039126593063201,2.0268811824509334
