                     %Lz                     obs                       s                guesserr                   error     directory
               2.8245086               2.0190764                       0                       0           7.1018017e-14  ./initial-2/
               2.8220086               2.0147142                       0                       0           1.4321352e-14  ./initial-1/
               2.8195086               2.0103058                       0                       0            3.000685e-16  ./initial-0/
                2.769522               1.9091347             0.055609234           1.2944641e-05           6.0482956e-15   search-0/
               2.7474321               1.8504959             0.085748731           1.7430896e-05           4.2214593e-14   search-1/
               2.7317064               1.7939729              0.11435191           1.6648436e-05            2.785329e-16   search-2/
               2.7210819                1.715345               0.1535599           1.8129177e-05           3.9261526e-14   search-3/
               2.7209427               1.7105903              0.15592044           5.7986875e-07           8.3555536e-16   search-8/
               2.7208605               1.7045956              0.15889604           8.5520963e-08           1.4447312e-14   search-10/
               2.7210074               1.6929857              0.16465881           1.1403937e-07           2.0981444e-15   search-11/
               2.7225131               1.6705795              0.17579289           7.8476865e-07           2.4847368e-15   search-12/
               2.7299022                1.630143              0.19603356           5.3260425e-06            3.487019e-14   search-13/
               2.7439982               1.5912257              0.21598546           9.5400967e-06           7.3040423e-14   search-14/
               2.7648578               1.5554171              0.23523477           1.0062776e-05           2.6974357e-14   search-15/
               2.7977432               1.5178262              0.25723305           1.1953779e-05           1.1967698e-14   search-16/
               2.8402784               1.4842984              0.27968576           1.4400706e-05           7.4770135e-15   search-17/
               2.8918759               1.4550399              0.30303536            1.863876e-05           4.2210939e-15   search-18/
               2.9431097               1.4330509              0.32421855           1.6779745e-05           6.3962625e-15   search-19/
                2.998552               1.4142501              0.34596851           1.4444668e-05           6.3048204e-15   search-20/
               3.0568693               1.3982951              0.36809914           1.1572132e-05           5.9048653e-15   search-21/
               3.1268294               1.3827954               0.3940563            1.183689e-05           3.0000412e-15   search-22/
               3.2075159               1.3684545               0.4235209           1.2275546e-05           7.9894041e-15   search-23/
               3.2895561               1.3567067              0.45317147           1.0128741e-05           7.9699754e-15   search-24/
               3.3922355               1.3449772              0.49001952           1.0951862e-05            4.343252e-15   search-25/
                3.512575               1.3343723              0.53298636            1.181149e-05           6.0867072e-15   search-26/
               3.6498052               1.3253816              0.58181924           1.2142848e-05           1.9078548e-15   search-27/
               3.8074987               1.3181672              0.63781375           1.1996969e-05           2.3649439e-15   search-28/
               3.9895839               1.3130912              0.70238616           1.1905984e-05           8.4890111e-15   search-29/
               4.1996265               1.3107696              0.77682527           1.1903256e-05            1.192967e-14   search-30/
               4.4407038               1.3121238              0.86225545           1.1966777e-05           7.3454429e-15   search-31/
               4.7127993               1.3184258              0.95872527           1.2219004e-05           1.2865093e-14   search-32/
               4.9847519               1.3297817               1.0552584           1.1201825e-05           5.4646721e-15   search-33/
               5.2563829               1.3464817               1.1518692           1.1170506e-05           3.0499171e-15   search-34/
               5.5274735               1.3689926               1.2485798           1.2090688e-05             4.55202e-15   search-35/
               5.7977425               1.3979349                1.345423           1.3657337e-05           1.9521801e-14   search-36/
               6.0668172               1.4343825               1.4424727           1.6695272e-05           3.0096614e-14   search-37/
               6.2906265               1.4724401               1.5239998           1.7539184e-05           4.1613461e-14   search-38/
                6.474385               1.5118256               1.5919871           1.7829111e-05           5.1127647e-14   search-39/
               6.6232757               1.5531472               1.6485939           1.8016546e-05           8.8419915e-14   search-40/
               6.7397744               1.5970277               1.6952693           1.8596396e-05           2.1475911e-16   search-41/
               6.8260207               1.6444313               1.7338392           1.9425528e-05           3.4913019e-16   search-42/
                6.878142               1.6899791               1.7630321           1.6608692e-05           4.6048404e-16   search-43/
               6.9125355               1.7501599               1.7952934           1.7979834e-05           8.6240671e-15   search-44/
               6.9191597               1.7848156               1.8126542           6.6147462e-06            3.974697e-14   search-46/
               6.9150933               1.8434083               1.8417722           7.1409254e-06           3.6842524e-15   search-47/
               6.8920112               1.9183273               1.8798471           1.2058192e-05           4.5399024e-15   search-48/
               6.8597858               1.9928052               1.9185376           1.9140445e-05           1.2517912e-15   search-49/
               6.8282835               2.0648217               1.9559854           1.9176043e-05           3.3108807e-16   search-50/
               6.8025495               2.1391614                1.993994           1.8334876e-05           1.8524267e-15   search-51/
               6.7890659               2.2176007               2.0332193           1.6607099e-05            1.163211e-14   search-52/
               6.7886415               2.2264115               2.0375951           1.2631815e-06           1.5203129e-15   search-56/
