Lx,Lz,alpha,gamma,id,norm,shear,dissipation,residual
11.25,7.333333333333333,0.5585053606381855,0.85679799643358,1,0.09523728775753681,1.0543497448533645,1.0858084233606586,9.244109082414281e-11
11.25,7.333333333333333,0.5585053606381855,0.85679799643358,2,0.25214137550942445,1.4570068050597234,1.649867384611232,1.2774827458169283e-9
11.25,7.333333333333333,0.5585053606381855,0.85679799643358,3,0.34597948884073726,1.6799454707204826,1.6908470697808893,7.909141488233537e-12
11.25,7.333333333333333,0.5585053606381855,0.85679799643358,4,0.33971020685859943,1.9500221017812032,2.1515173694505947,6.916740552272342e-13
11.25,7.333333333333333,0.5585053606381855,0.85679799643358,5,0.22857525618039545,1.1476814510806177,1.211601825653673,3.376617699179168e-8
6.25,3.3333333333333335,1.0053096491487339,1.8849555921538759,1,0.1048877909191021,1.126970514824004,1.2194901244998246,6.19794360918103e-9
6.25,3.3333333333333335,1.0053096491487339,1.8849555921538759,2,0.12311181530957625,1.3287162201455387,1.3526345903355042,3.668071447675246e-13
6.25,3.3333333333333335,1.0053096491487339,1.8849555921538759,3,0.17817374507751668,1.177154530964812,1.2063927871608657,4.7914503673083237e-8
5.0,2.0,1.2566370614359172,3.141592653589793,1,0.12620354618187768,1.0653770115113768,1.0722451446122374,8.74244832652984e-14
13.75,9.333333333333334,0.4569589314312426,0.6731984257692414,1,0.09895638889008358,1.0395137930707752,1.0657855885916176,1.194854377990041e-9
13.75,9.333333333333334,0.4569589314312426,0.6731984257692414,2,0.3289488652651106,1.5424770899669054,1.6295376904289989,7.014218091294219e-12
13.75,9.333333333333334,0.4569589314312426,0.6731984257692414,3,0.31867127092681086,1.571721681717206,1.7543976427162595,3.087030792104605e-11
13.75,9.333333333333334,0.4569589314312426,0.6731984257692414,4,0.1325458936349833,1.071719037657826,1.1162116883498343,7.219025470909188e-12
13.75,9.333333333333334,0.4569589314312426,0.6731984257692414,5,0.44197982984089373,1.4104061040288536,1.4470282007872275,3.5952821930585278e-12
13.75,9.333333333333334,0.4569589314312426,0.6731984257692414,6,0.398121147194377,1.9064138222786347,2.042220797397783,9.401754860113113e-9
13.75,9.333333333333334,0.4569589314312426,0.6731984257692414,7,0.2816508649128789,1.6115343611533635,1.5373453590300854,1.952111798810341e-12
13.75,9.333333333333334,0.4569589314312426,0.6731984257692414,8,0.2596296702857578,1.4240806455775994,1.536257445223805,2.0384178572437992e-12
12.5,8.333333333333334,0.5026548245743669,0.7539822368615503,1,0.13464386897202632,1.0631317120159216,1.0981126763146316,7.836047348080103e-9
12.5,8.333333333333334,0.5026548245743669,0.7539822368615503,2,0.09379323280668123,1.0410311701057928,1.0700939704814803,4.132349654473586e-10
12.5,8.333333333333334,0.5026548245743669,0.7539822368615503,3,0.2782189515574378,1.5047957262902356,1.6329618723210326,6.308492135753274e-10
12.5,8.333333333333334,0.5026548245743669,0.7539822368615503,4,0.17484552596759786,1.0875117239510115,1.1319344782137464,3.056587710472952e-8
12.5,8.333333333333334,0.5026548245743669,0.7539822368615503,5,0.25491190980379147,1.4400297022701323,1.5864946287409436,7.542104285455461e-10
12.5,8.333333333333334,0.5026548245743669,0.7539822368615503,6,0.42528736683518054,1.950342784479178,2.1074090085704733,1.0006902975383937e-13
12.5,8.333333333333334,0.5026548245743669,0.7539822368615503,7,0.3442298664620561,1.6573872128185556,1.8819522616366453,7.653636235729665e-9
12.5,8.333333333333334,0.5026548245743669,0.7539822368615503,8,0.26957332225474695,1.5851998628974915,1.5421307233685702,5.04336875255226e-9
10.0,6.333333333333333,0.6283185307179586,0.9920818906073031,1,0.16102728995826465,1.1108149663619074,1.1612736952835205,1.6552081968006546e-10
10.0,6.333333333333333,0.6283185307179586,0.9920818906073031,2,0.09079174767907774,1.0620215597273095,1.0949352598504583,9.42989836459918e-8
10.0,6.333333333333333,0.6283185307179586,0.9920818906073031,3,0.23734496653629159,1.1897250604290728,1.2619568666674903,4.9411170863879765e-9
10.0,6.333333333333333,0.6283185307179586,0.9920818906073031,4,0.2490066044335904,1.223642187000446,1.2720232248772032,3.7929721054892284e-12
10.0,6.333333333333333,0.6283185307179586,0.9920818906073031,5,0.3656069861215388,2.24015807880435,2.183715981081617,5.847155818569458e-10
8.75,5.333333333333333,0.7180783208205241,1.1780972450961724,1,0.08852779513447745,1.078788591053767,1.1131069569962944,2.7851570174238094e-8
8.75,5.333333333333333,0.7180783208205241,1.1780972450961724,2,0.12985019167090883,1.1133373172180374,1.2205778009544626,1.5743032502565534e-11
8.75,5.333333333333333,0.7180783208205241,1.1780972450961724,3,0.23389735960992536,1.4483398324760552,1.6942829983054226,2.1230153137607273e-8
7.5,4.333333333333333,0.8377580409572781,1.4499658401183662,1,0.09140543585612303,1.123352704521081,1.157211447584842,6.787092895574878e-13
7.5,4.333333333333333,0.8377580409572781,1.4499658401183662,2,0.18298388260505818,1.1500029321330663,1.1698734371871902,3.346365091134189e-10
7.5,4.333333333333333,0.8377580409572781,1.4499658401183662,3,0.16721689300513873,1.2210734457512231,1.4331379445919277,5.421096931745813e-9
7.5,4.333333333333333,0.8377580409572781,1.4499658401183662,4,0.1940353926948329,1.315023055610926,1.580095584779016,1.8427133030378348e-11
7.5,4.333333333333333,0.8377580409572781,1.4499658401183662,5,0.31430161697925973,2.1006982185215577,2.3263935231917605,3.923035818352949e-11
5.0,2.3333333333333335,1.2566370614359172,2.6927937030769655,1,0.12356530188773521,1.0549941920446426,1.058580271786402,1.8570342272523335e-8
5.0,2.3333333333333335,1.2566370614359172,2.6927937030769655,2,0.10753949938335694,1.2925865487879202,1.3375341135008387,6.270687829100522e-8
5.0,2.3333333333333335,1.2566370614359172,2.6927937030769655,3,0.28562402356808825,1.2744725986316727,1.281669487431635,2.6975067136588118e-12
5.0,2.3333333333333335,1.2566370614359172,2.6927937030769655,4,0.13772345905386907,1.4658135599019941,1.4699255058413927,4.4769461134968984e-12
5.0,2.3333333333333335,1.2566370614359172,2.6927937030769655,5,0.23947789481263548,1.9515288938117064,1.9894703694357059,1.5671238727639906e-8
