Lx,Lz
5.0,2.0
5.0,2.4210526315789473
5.0,2.8421052631578947
5.0,3.263157894736842
5.0,3.6842105263157894
5.0,4.105263157894737
5.0,4.526315789473684
5.0,4.947368421052632
5.0,5.368421052631579
5.0,5.7894736842105265
5.0,6.2105263157894735
5.0,6.631578947368421
5.0,7.052631578947368
5.0,7.473684210526316
5.0,7.894736842105263
5.0,8.31578947368421
5.0,8.736842105263158
5.0,9.157894736842104
5.0,9.578947368421053
5.0,10.0
5.526315789473684,2.0
5.526315789473684,2.4210526315789473
5.526315789473684,2.8421052631578947
5.526315789473684,3.263157894736842
5.526315789473684,3.6842105263157894
5.526315789473684,4.105263157894737
5.526315789473684,4.526315789473684
5.526315789473684,4.947368421052632
5.526315789473684,5.368421052631579
5.526315789473684,5.7894736842105265
5.526315789473684,6.2105263157894735
5.526315789473684,6.631578947368421
5.526315789473684,7.052631578947368
5.526315789473684,7.473684210526316
5.526315789473684,7.894736842105263
5.526315789473684,8.31578947368421
5.526315789473684,8.736842105263158
5.526315789473684,9.157894736842104
5.526315789473684,9.578947368421053
5.526315789473684,10.0
6.052631578947368,2.0
6.052631578947368,2.4210526315789473
6.052631578947368,2.8421052631578947
6.052631578947368,3.263157894736842
6.052631578947368,3.6842105263157894
6.052631578947368,4.105263157894737
6.052631578947368,4.526315789473684
6.052631578947368,4.947368421052632
6.052631578947368,5.368421052631579
6.052631578947368,5.7894736842105265
6.052631578947368,6.2105263157894735
6.052631578947368,6.631578947368421
6.052631578947368,7.052631578947368
6.052631578947368,7.473684210526316
6.052631578947368,7.894736842105263
6.052631578947368,8.31578947368421
6.052631578947368,8.736842105263158
6.052631578947368,9.157894736842104
6.052631578947368,9.578947368421053
6.052631578947368,10.0
6.578947368421052,2.0
6.578947368421052,2.4210526315789473
6.578947368421052,2.8421052631578947
6.578947368421052,3.263157894736842
6.578947368421052,3.6842105263157894
6.578947368421052,4.105263157894737
6.578947368421052,4.526315789473684
6.578947368421052,4.947368421052632
6.578947368421052,5.368421052631579
6.578947368421052,5.7894736842105265
6.578947368421052,6.2105263157894735
6.578947368421052,6.631578947368421
6.578947368421052,7.052631578947368
6.578947368421052,7.473684210526316
6.578947368421052,7.894736842105263
6.578947368421052,8.31578947368421
6.578947368421052,8.736842105263158
6.578947368421052,9.157894736842104
6.578947368421052,9.578947368421053
6.578947368421052,10.0
7.105263157894737,2.0
7.105263157894737,2.4210526315789473
7.105263157894737,2.8421052631578947
7.105263157894737,3.263157894736842
7.105263157894737,3.6842105263157894
7.105263157894737,4.105263157894737
7.105263157894737,4.526315789473684
7.105263157894737,4.947368421052632
7.105263157894737,5.368421052631579
7.105263157894737,5.7894736842105265
7.105263157894737,6.2105263157894735
7.105263157894737,6.631578947368421
7.105263157894737,7.052631578947368
7.105263157894737,7.473684210526316
7.105263157894737,7.894736842105263
7.105263157894737,8.31578947368421
7.105263157894737,8.736842105263158
7.105263157894737,9.157894736842104
7.105263157894737,9.578947368421053
7.105263157894737,10.0
7.631578947368421,2.0
7.631578947368421,2.4210526315789473
7.631578947368421,2.8421052631578947
7.631578947368421,3.263157894736842
7.631578947368421,3.6842105263157894
7.631578947368421,4.105263157894737
7.631578947368421,4.526315789473684
7.631578947368421,4.947368421052632
7.631578947368421,5.368421052631579
7.631578947368421,5.7894736842105265
7.631578947368421,6.2105263157894735
7.631578947368421,6.631578947368421
7.631578947368421,7.052631578947368
7.631578947368421,7.473684210526316
7.631578947368421,7.894736842105263
7.631578947368421,8.31578947368421
7.631578947368421,8.736842105263158
7.631578947368421,9.157894736842104
7.631578947368421,9.578947368421053
7.631578947368421,10.0
8.157894736842104,2.0
8.157894736842104,2.4210526315789473
8.157894736842104,2.8421052631578947
8.157894736842104,3.263157894736842
8.157894736842104,3.6842105263157894
8.157894736842104,4.105263157894737
8.157894736842104,4.526315789473684
8.157894736842104,4.947368421052632
8.157894736842104,5.368421052631579
8.157894736842104,5.7894736842105265
8.157894736842104,6.2105263157894735
8.157894736842104,6.631578947368421
8.157894736842104,7.052631578947368
8.157894736842104,7.473684210526316
8.157894736842104,7.894736842105263
8.157894736842104,8.31578947368421
8.157894736842104,8.736842105263158
8.157894736842104,9.157894736842104
8.157894736842104,9.578947368421053
8.157894736842104,10.0
8.68421052631579,2.0
8.68421052631579,2.4210526315789473
8.68421052631579,2.8421052631578947
8.68421052631579,3.263157894736842
8.68421052631579,3.6842105263157894
8.68421052631579,4.105263157894737
8.68421052631579,4.526315789473684
8.68421052631579,4.947368421052632
8.68421052631579,5.368421052631579
8.68421052631579,5.7894736842105265
8.68421052631579,6.2105263157894735
8.68421052631579,6.631578947368421
8.68421052631579,7.052631578947368
8.68421052631579,7.473684210526316
8.68421052631579,7.894736842105263
8.68421052631579,8.31578947368421
8.68421052631579,8.736842105263158
8.68421052631579,9.157894736842104
8.68421052631579,9.578947368421053
8.68421052631579,10.0
9.210526315789474,2.0
9.210526315789474,2.4210526315789473
