                     %Re                     obs                       s                guesserr                   error     directory
                  400.02               1.2615208                       0                       0           6.7116641e-14  ./initial-2/
                     400                1.261529                       0                       0           2.0057165e-15  ./initial-1/
                  399.98               1.2615373                       0                       0           8.1897833e-14  ./initial-0/
               360.43099               1.2811349              0.10013591           1.2157371e-05           8.2314536e-15   search-0/
                339.9059               1.2947278              0.15256775            1.759491e-05           2.2690455e-14   search-1/
                322.0098               1.3093739              0.19878978            1.670149e-05           1.9151369e-14   search-2/
               304.29932               1.3273821              0.24531025            1.563742e-05            4.252638e-15   search-3/
               286.89099               1.3498337               0.2923294           1.8987931e-05           3.2564524e-14   search-4/
               272.51257               1.3733891              0.33283575           1.7272875e-05           2.2017479e-14   search-5/
               258.70674                1.402097              0.37417714           1.7102483e-05           1.1408243e-14   search-6/
               245.77878               1.4367738               0.4166055           1.6395943e-05            5.706422e-15   search-7/
               234.10777                1.477643              0.46020441           1.4257997e-05           4.4843578e-16   search-8/
               224.07234               1.5237059              0.50450648            1.308916e-05           3.6560641e-15   search-9/
               215.87531               1.5727002              0.54841866           1.7676066e-05           2.0486608e-14   search-10/
               210.13184               1.6160966              0.58569488            1.664267e-05           8.7521958e-15   search-11/
               205.50392               1.6589374              0.62157116           1.4043154e-05           8.8387753e-15   search-12/
               201.75861               1.7008402              0.65608146           1.1083586e-05           6.3472116e-15   search-13/
               198.25236               1.7483698              0.69476397           1.1719764e-05           1.3268019e-14   search-14/
               195.47738               1.7941283              0.73169365           1.0071226e-05           4.3292545e-14   search-15/
               192.86145               1.8470614              0.77415977           1.1239073e-05           7.2691477e-15   search-16/
               190.62198                1.904134              0.81974568           1.2043648e-05           5.0892762e-15   search-17/
               188.80262               1.9639237                0.867358           1.2236641e-05           1.2989133e-14   search-18/
               187.36773               2.0267494              0.91728827           1.1965926e-05           4.1644097e-14   search-19/
               186.30395               2.0922132              0.96924882           1.1717605e-05            2.116613e-16   search-20/
                185.6068               2.1581061               1.0215105            1.141104e-05           1.6193983e-15   search-21/
               185.26078               2.2157206                1.067189           1.0768029e-05           4.9638701e-16   search-22/
               185.24261               2.3476078               1.1717346           1.2068425e-05           8.8611559e-15   search-23/
                185.9742               2.4643193               1.2642685           1.9311193e-05           9.9794152e-16   search-24/
               187.17609               2.5724871               1.3500646           1.7028768e-05           1.8330414e-16   search-25/
               188.88177                2.684288               1.4387904           1.3894757e-05           2.6624629e-14   search-26/
               191.05798                2.798263               1.5293008           1.2350601e-05           7.8097293e-15   search-27/
               193.67474               2.9135811                1.620946           1.1220952e-05           1.3748402e-15   search-28/
               196.70735               3.0296938               1.7132989           1.0108715e-05           5.4916043e-16   search-29/
               200.43892               3.1559092               1.8137824            1.054075e-05           4.3279428e-16   search-30/
               204.62068                3.282336               1.9145434           1.0185031e-05           1.2005478e-15   search-31/
               209.20637               3.4078085               2.0146626           9.4200975e-06           1.3151119e-15   search-32/
               214.21503               3.5329824               2.1146735           8.6436415e-06           1.2118004e-15   search-33/
               219.65077               3.6578882               2.2146131           8.0880223e-06           8.5451823e-16   search-34/
               225.52067                3.782535               2.3145031           7.7040842e-06            4.712486e-16   search-35/
               231.83452               3.9069157               2.4143538           7.4310316e-06           2.4582418e-16   search-36/
               238.60498               4.0310107               2.5141682           7.2303297e-06           3.0728626e-16   search-37/
               245.84813               4.1547886               2.6139424           7.0729227e-06           4.6227007e-16   search-38/
               253.58461               4.2782064               2.7136679           6.9421535e-06           1.6102168e-15   search-39/
               261.84118               4.4012072               2.8133302           6.8378966e-06           1.7050274e-15   search-40/
               270.65322               4.5237144               2.9129078           6.7827685e-06           2.7715128e-15   search-41/
               280.06848               4.6456204               3.0123668           6.8343124e-06           8.1710793e-16   search-42/
               290.15332               4.7667629               3.1116496            7.112385e-06           1.2448494e-15   search-43/
               301.00409               4.8868744               3.2106497           7.8639729e-06           4.6229576e-15   search-44/
               312.77004                5.005461               3.3091467           9.6222475e-06           7.1184143e-15   search-45/
               325.50384               5.1197675               3.4051859           1.3287407e-05            5.003213e-15   search-46/
               337.56737               5.2130383               3.4850351           1.6755039e-05           2.5573929e-14   search-47/
               348.00748               5.2790912               3.5435392           1.8944371e-05           5.5735095e-14   search-48/
                355.6213               5.3154926               3.5781068           1.6626904e-05           8.3032308e-14   search-49/
