567,1018,968,369,88,0,0,0,0,0,0,0,0,0,0
1459,1380,1264,870,621,395,225,18,31,55,0,0,0,0,0
1417,1582,1171,1075,541,406,241,97,1,0,2,0,0,0,0
1035,1031,990,979,796,343,233,111,0,0,0,0,0,0,0
894,504,855,818,722,635,467,60,0,0,0,0,0,0,0
488,375,565,593,563,482,383,257,0,0,0,0,0,0,0
322,333,394,338,340,349,328,283,141,0,0,0,0,0,0
217,228,409,309,293,293,274,234,134,12,0,0,0,0,0
167,166,302,263,243,249,225,158,78,10,0,0,0,0,0
82,134,187,268,220,208,175,90,29,1,0,0,0,0,0
0,91,143,232,198,155,95,36,7,0,0,0,0,0,0
0,77,114,165,137,88,44,10,3,0,0,0,0,0,0
0,56,85,97,85,34,18,2,0,0,0,0,0,0,0
0,41,46,48,41,12,2,1,0,0,0,0,0,0,0
0,17,20,28,14,4,1,0,0,0,0,0,0,0,0
