1147,1821,1184,1014,564,0,0,0,0,0,0,0,0,0,0
1247,1464,1502,1635,1603,1268,1225,1381,496,397,0,0,0,0,0
1093,1819,1510,2011,1468,1419,1125,1061,1017,1020,975,889,400,261,0
1007,1453,1094,1618,1704,1234,1249,1080,897,908,894,849,824,753,639
910,1100,909,1129,1281,1374,1368,910,796,746,747,683,637,600,525
783,714,768,838,1015,1058,1026,955,618,584,561,492,431,393,344
744,551,647,594,743,785,795,746,589,371,336,301,233,201,148
635,387,561,453,525,536,532,493,368,197,164,137,105,75,46
296,311,434,355,346,379,342,271,174,84,53,43,22,11,8
207,240,245,285,265,241,195,123,50,25,13,4,1,1,1
0,184,170,218,192,162,105,45,12,2,0,0,0,0,0
0,132,141,151,123,84,46,10,1,0,1,0,0,0,0
0,93,83,84,63,34,13,3,3,0,0,0,0,0,0
0,53,58,44,29,13,3,0,0,0,0,0,0,0,0
0,25,30,15,11,3,1,0,0,0,0,0,0,0,0
