                     %Re                     obs                       s                guesserr                   error     directory
                  300.02               1.2500211                       0                       0           9.3093546e-15  ./initial-2/
                     300                 1.25004                       0                       0            1.951845e-14  ./initial-1/
                  299.98               1.2500589                       0                       0           7.4294967e-14  ./initial-0/
               273.31903               1.2804331             0.092200206           1.3981834e-05           2.4253074e-15   search-0/
               260.36757               1.3001345              0.13815868           1.8128106e-05           2.0220296e-14   search-1/
               247.64769               1.3241571               0.1847101           1.9795106e-05            1.380793e-15   search-2/
               235.32905               1.3535878              0.23204308           1.8987459e-05           2.8336179e-14   search-3/
               225.14146                1.384415              0.27401154           1.6807995e-05           1.8926035e-15   search-4/
               215.64461                1.420739               0.3169824           1.5413618e-05           3.2140975e-15   search-5/
               207.09287               1.4625368              0.36092133               1.351e-05            5.606469e-15   search-6/
               199.71309               1.5089161              0.40543764            1.214958e-05           6.0713472e-15   search-7/
               193.62603               1.5581168              0.44971909           1.3216573e-05           3.0738868e-14   search-8/
               188.78944               1.6081347              0.49285792           1.5010291e-05           5.7435988e-14   search-9/
               185.03196               1.6574538               0.5342523           1.4687341e-05            2.453438e-14   search-10/
               182.13977               1.7052689              0.57369935           1.2526185e-05           8.5692966e-15   search-11/
               179.68889                1.756716              0.61565872           1.2261663e-05           6.9857234e-15   search-12/
               177.88283               1.8054885               0.6551372           1.0068612e-05           4.9178194e-15   search-13/
               176.32928               1.8611368              0.69995458           1.1071898e-05           2.8199612e-14   search-14/
               175.18579                1.919331               0.7466642            1.178965e-05           1.8183998e-16   search-15/
               174.46438               1.9764223              0.79239908           1.1712029e-05           2.2137965e-16   search-16/
               174.11667               2.0252009              0.83143792           1.0824024e-05           1.9676781e-16   search-17/
               174.10532               2.1392332              0.92266086           1.2010855e-05           1.6626415e-15   search-18/
               174.86695               2.2405794                1.003775           1.9461221e-05           4.8371994e-16   search-19/
                176.0944                 2.33417               1.0787568           1.7338655e-05           3.6346377e-14   search-20/
               177.82467               2.4316179               1.1569256           1.4402285e-05           4.5521666e-15   search-21/
               180.01498               2.5315664               1.2372145           1.2997924e-05           1.0877799e-15   search-22/
               182.62391               2.6332158               1.3189952           1.1941232e-05           4.0562202e-16   search-23/
               185.61426               2.7360053               1.4018261           1.0796139e-05           3.3449669e-16   search-24/
                189.4236               2.8533365                1.496543           1.2180992e-05           2.6085217e-16   search-25/
                193.6489               2.9712864               1.5919453           1.2045014e-05           4.3200538e-16   search-26/
               198.26401               3.0895759               1.6878162            1.121806e-05           6.0576557e-16   search-27/
               203.24909               3.2079721               1.7839767           1.0091568e-05           4.4821686e-16   search-28/
               208.81139               3.3310271               1.8841484           9.8598331e-06           3.4161782e-16   search-29/
               214.74003                 3.45366               1.9842223           9.3463086e-06           2.4039065e-16   search-30/
               221.03546               3.5758818               2.0842231           8.8093279e-06           3.8812382e-16   search-31/
               227.70182                3.697697               2.1841737           8.3170249e-06           6.1046255e-16   search-32/
               234.74576               3.8191005               2.2840913           7.9614794e-06           4.4405307e-16   search-33/
               242.17568                3.940076               2.3839874           7.7097012e-06           6.7348149e-16   search-34/
                250.0014               4.0605966               2.4838673           7.5432991e-06           1.2342253e-15   search-35/
               258.23421               4.1806229                 2.58373           7.4536946e-06           2.4485307e-16   search-36/
               266.88759               4.3001017               2.6835676            7.433247e-06           6.5292136e-16   search-37/
               275.97867               4.4189624               2.7833652           7.4702112e-06           1.5108027e-15   search-38/
                285.5306               4.5371103               2.8830994           7.5576769e-06            5.869562e-16   search-39/
               295.57633               4.6544153               2.9827359           7.7238442e-06           6.9297158e-16   search-40/
               306.16438               4.7706894               3.0822229           8.0891462e-06           2.2553449e-15   search-41/
               317.36831               4.8856437               3.1814776            8.956687e-06           2.6676584e-15   search-42/
               329.21209               4.9979659               3.2796229           1.0792167e-05           2.9577612e-15   search-43/
               341.81665               5.1064507               3.3760435           1.4599076e-05           2.0801026e-15   search-44/
               353.43148               5.1951247                3.456858           1.6880442e-05           1.2805385e-14   search-45/
               363.81193               5.2636511               3.5216841           1.7665479e-05           6.6414619e-15   search-46/
               373.10465               5.3147327               3.5729614            1.780746e-05           4.1837546e-15   search-47/
               381.48693               5.3509455               3.6132097           1.7863628e-05           1.4248478e-14   search-48/
               389.16859               5.3748088               3.6451482           1.7733837e-05           1.4983966e-14   search-49/
