group,ix,iz,target_Lx,target_Lz,point_Lx,point_Lz,point_source,point_label,point_tag,point_ubest,min_Re,status,re_out_dir
E,8,2,10.00000000,2.57142857,10.00000000,2.57588909,existing_grid_geom,i08_j02,to_i08_j01_Lz:search-5,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/alpha_gamma_grid/eqb_alpha_gamma_grid/dns_space_map/grid_map/E/geom/i08_j02/to_i08_j01_Lz/search-5/ubest.nc,299.90000000,failed,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/alpha_gamma_grid/eqb_alpha_gamma_grid/dns_space_map/grid_map/E/re_fix_m01/i08_j02
E,9,2,10.71428571,2.57142857,10.66507522,2.57142857,existing_grid_geom,i11_j02,to_i12_j02_Lx:search-9,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/alpha_gamma_grid/eqb_alpha_gamma_grid/dns_space_map/grid_map/E/geom/i11_j02/to_i12_j02_Lx/search-9/ubest.nc,263.12519000,ok,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/alpha_gamma_grid/eqb_alpha_gamma_grid/dns_space_map/grid_map/E/re_fix_m01/i09_j02
E,10,2,11.42857143,2.57142857,11.47095756,2.57142857,existing_grid_geom,i11_j02,to_i12_j02_Lx:search-6,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/alpha_gamma_grid/eqb_alpha_gamma_grid/dns_space_map/grid_map/E/geom/i11_j02/to_i12_j02_Lx/search-6/ubest.nc,279.20506000,ok,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/alpha_gamma_grid/eqb_alpha_gamma_grid/dns_space_map/grid_map/E/re_fix_m01/i10_j02
E,11,2,12.14285714,2.57142857,12.22018650,2.57142857,existing_grid_geom,i11_j02,to_i12_j02_Lx:search-2,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/alpha_gamma_grid/eqb_alpha_gamma_grid/dns_space_map/grid_map/E/geom/i11_j02/to_i12_j02_Lx/search-2/ubest.nc,294.42414000,ok,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/alpha_gamma_grid/eqb_alpha_gamma_grid/dns_space_map/grid_map/E/re_fix_m01/i11_j02
E,12,2,12.85714286,2.57142857,,,,,,,,missing,
E,13,2,13.57142857,2.57142857,,,,,,,,missing,
E,14,2,14.28571429,2.57142857,,,,,,,,missing,
E,15,2,15.00000000,2.57142857,,,,,,,,missing,
E,1,3,5.00000000,3.14285714,5.00000000,3.13742570,existing_grid_geom,i01_j03,to_i01_j04_Lz:search-0,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/alpha_gamma_grid/eqb_alpha_gamma_grid/dns_space_map/grid_map/E/geom/i01_j03/to_i01_j04_Lz/search-0/ubest.nc,185.85473000,ok,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/alpha_gamma_grid/eqb_alpha_gamma_grid/dns_space_map/grid_map/E/re_fix_m01/i01_j03
E,2,3,5.71428571,3.14285714,5.71695527,3.14285714,existing_grid_geom,i02_j03,to_i01_j03_Lx:initial-0,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/alpha_gamma_grid/eqb_alpha_gamma_grid/dns_space_map/grid_map/E/geom/i02_j03/to_i01_j03_Lx/initial-0/ubest.nc,166.40211000,ok,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/alpha_gamma_grid/eqb_alpha_gamma_grid/dns_space_map/grid_map/E/re_fix_m01/i02_j03
E,3,3,6.42857143,3.14285714,6.42857143,3.09334574,existing_grid_geom,i03_j03,to_i03_j02_Lz:initial-2,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/alpha_gamma_grid/eqb_alpha_gamma_grid/dns_space_map/grid_map/E/geom/i03_j03/to_i03_j02_Lz/initial-2/ubest.nc,166.81685000,ok,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/alpha_gamma_grid/eqb_alpha_gamma_grid/dns_space_map/grid_map/E/re_fix_m01/i03_j03
