step,Re,rank,eig_real,eig_imag
1,300.0,1,0.025899025854753645,-0.08985776878443293
1,300.0,2,0.025899025854753645,0.08985776878443293
1,300.0,3,0.02022923055104203,0.0
1,300.0,4,-0.026240385130571156,-0.7254082178179523
1,300.0,5,-0.026240385130571156,0.7254082178179523
1,300.0,6,-0.034125511048798074,-0.017546123814245872
1,300.0,7,-0.034125511048798074,0.017546123814245872
1,300.0,8,-0.03582537319565326,-0.23485228816333342
1,300.0,9,-0.03582537319565326,0.23485228816333342
1,300.0,10,-0.05000740243786936,-1.2085205821586296
1,300.0,11,-0.05000740243786936,1.2085205821586296
1,300.0,12,-0.06492863892902709,-0.8334677098861552
1,300.0,13,-0.06492863892902709,0.8334677098861552
1,300.0,14,-0.06775867723165437,-0.5785020344807016
1,300.0,15,-0.06775867723165437,0.5785020344807016
1,300.0,16,-0.06824447898327017,-0.14923232370850043
1,300.0,17,-0.06824447898327017,0.14923232370850043
1,300.0,18,-0.07364110889364958,-0.3114958811424271
1,300.0,19,-0.07364110889364958,0.3114958811424271
1,300.0,20,-0.07920467257034498,-0.042703266188379246
1,300.0,21,-0.07920467257034498,0.042703266188379246
1,300.0,22,-0.08250300274244761,-0.4476456025397007
1,300.0,23,-0.08250300274244761,0.4476456025397007
1,300.0,24,-0.08613017270156959,-0.16629994406839985
2,301.0,1,0.0267329484799981,-0.08949059544125655
2,301.0,2,0.0267329484799981,0.08949059544125655
2,301.0,3,0.01957268715328124,0.0
2,301.0,4,-0.0255065943000935,-0.7233922846045873
2,301.0,5,-0.0255065943000935,0.7233922846045873
2,301.0,6,-0.03410680116347929,-0.017909606506123225
2,301.0,7,-0.03410680116347929,0.017909606506123225
2,301.0,8,-0.03566525186879391,-0.23326401598008079
2,301.0,9,-0.03566525186879391,0.23326401598008079
2,301.0,10,-0.04911982925435293,-1.207330023996489
2,301.0,11,-0.04911982925435293,1.207330023996489
2,301.0,12,-0.06412907450049343,-0.8316945118708176
2,301.0,13,-0.06412907450049343,0.8316945118708176
2,301.0,14,-0.06676182924362112,-0.14915527782073157
2,301.0,15,-0.06676182924362112,0.14915527782073157
2,301.0,16,-0.06705301168234157,-0.5766040717238555
2,301.0,17,-0.06705301168234157,0.5766040717238555
2,301.0,18,-0.07305467795956348,-0.31029744879208915
2,301.0,19,-0.07305467795956348,0.31029744879208915
2,301.0,20,-0.07969842117109871,-0.042592138063103156
2,301.0,21,-0.07969842117109871,0.042592138063103156
2,301.0,22,-0.08259759448389092,-0.4467069120748428
2,301.0,23,-0.08259759448389092,0.4467069120748428
2,301.0,24,-0.08748078191573974,-0.16786291216012394
3,302.0,1,0.027566797436369916,-0.08908944212797446
3,302.0,2,0.027566797436369916,0.08908944212797446
3,302.0,3,0.018939336665641734,0.0
3,302.0,4,-0.024787432345802052,-0.7213225572677049
3,302.0,5,-0.024787432345802052,0.7213225572677049
3,302.0,6,-0.03411279651397914,-0.018261941428883058
3,302.0,7,-0.03411279651397914,0.018261941428883058
3,302.0,8,-0.03552174254353252,-0.23163410536528076
3,302.0,9,-0.03552174254353252,0.23163410536528076
3,302.0,10,-0.04823273222487859,-1.2060883004322178
3,302.0,11,-0.04823273222487859,1.2060883004322178
3,302.0,12,-0.06333762391957082,-0.8298532593172493
3,302.0,13,-0.06333762391957082,0.8298532593172493
3,302.0,14,-0.06546127078074143,-0.14907340854657938
3,302.0,15,-0.06546127078074143,0.14907340854657938
3,302.0,16,-0.06637471819776491,-0.5746920277031536
3,302.0,17,-0.06637471819776491,0.5746920277031536
3,302.0,18,-0.07247481613562876,-0.3090806292624069
3,302.0,19,-0.07247481613562876,0.3090806292624069
3,302.0,20,-0.08023537440290657,-0.04244222320828861
3,302.0,21,-0.08023537440290657,0.04244222320828861
3,302.0,22,-0.08273207752905216,-0.4457534639985792
3,302.0,23,-0.08273207752905216,0.4457534639985792
3,302.0,24,-0.08864349051503617,-0.1694933861359079
4,303.0,1,0.028399265448415985,-0.08865476416690737
4,303.0,2,0.028399265448415985,0.08865476416690737
4,303.0,3,0.018331490985092107,0.0
4,303.0,4,-0.024083972638158396,-0.7192001239280217
4,303.0,5,-0.024083972638158396,0.7192001239280217
4,303.0,6,-0.03414255887527835,-0.01860119709394203
4,303.0,7,-0.03414255887527835,0.01860119709394203
4,303.0,8,-0.035394256901711496,-0.22996405387483201
4,303.0,9,-0.035394256901711496,0.22996405387483201
4,303.0,10,-0.04734642086932914,-1.2047957151980921
4,303.0,11,-0.04734642086932914,1.2047957151980921
4,303.0,12,-0.06255355738178617,-0.8279444242130292
