seed_label,seed_kind,rank_within_seed,phase_index,phase_time,best_T,closure,relative_closure,I_span,D_span,I_mean,D_mean,I_min,I_max,D_min,D_max,span_class,min_span
near_equilibrium_direct,near_equilibrium,6,150,149.0,51.763932022500214,1.4895285475963852e-7,4.6081611647263926e-7,1.3418850719482123e-5,9.484543747717566e-6,2.2457532357521415,2.223223522668583,2.2457465172439877,2.245759936094707,2.2232188563584545,2.2232283409022022,tiny,9.484543747717566e-6
near_equilibrium_direct,near_equilibrium,7,126,125.0,51.763932022500214,2.5417516073478317e-7,7.863420141108809e-7,1.3579094312099471e-5,9.650026153273927e-6,2.2457531929471943,2.2232235941429868,2.2457463581164614,2.2457599372107735,2.223218696599214,2.2232283466253673,tiny,9.650026153273927e-6
near_equilibrium_direct,near_equilibrium,2,130,129.0,51.94427190999916,2.6125143602909405e-7,8.082369788992843e-7,1.358477266988345e-5,9.661002860816836e-6,2.2457531446980696,2.2232235439777286,2.2457463548589716,2.2457599396316414,2.223218682558908,2.223228343561769,tiny,9.661002860816836e-6
projected_gibson_orbit1,projected_dns,1,164,163.0,52.05572809000084,0.0009852750467559776,0.0029997773981739373,0.0659543967844467,0.05472109150629123,2.2464514651065186,2.226427756416238,2.2148961639627864,2.280850560747233,2.190560948300136,2.245282039806427,small,0.05472109150629123
projected_gibson_orbit1,projected_dns,2,168,167.0,52.16718427000252,0.0010364058476089095,0.003202322190446124,0.06593733091056642,0.05472766029938336,2.2463084881243343,2.226362553963522,2.2149084267534995,2.280845757664066,2.190546808387987,2.2452744686873705,small,0.05472766029938336
guarded_large_loop,large_loop_candidate,1,164,163.0,52.05572809000084,0.0014813022186028924,0.004474870624261067,0.08595601954746313,0.07697022827600097,2.245408321019509,2.2263818640646096,2.2035917833672167,2.28954780291468,2.1756327172843184,2.2526029455603194,small,0.07697022827600097
ms_large_loop_T57,large_loop_candidate,1,165,164.0,52.05572809000084,0.001626216514718709,0.0049002444255208935,0.09089375215528284,0.08284004731253969,2.244697072228767,2.2258742251228067,2.2002745929176952,2.291168345072978,2.1713575028125596,2.2541975501250993,small,0.08284004731253969
ms_large_loop_T57,large_loop_candidate,4,135,134.0,52.16718427000252,0.002292377719955451,0.007382189038561892,0.10020766895249089,0.09405849045896719,2.2451459197001475,2.2264759600444375,2.1953578991870426,2.2955655681395335,2.164719950365006,2.2587784408239733,small,0.09405849045896719
ms_large_loop_T57,large_loop_candidate,5,113,112.0,51.94427190999916,0.0028238989370704304,0.008501233162035078,0.10298254055621658,0.09574134194997086,2.243566964062217,2.2261377112688234,2.1925834324984184,2.295565973054635,2.1630369144527153,2.258778256402686,small,0.09574134194997086
random_symmetry_2,random,1,27,26.0,14.111456180001682,0.03402872659812844,0.13153051872155552,0.12616892173881222,0.11104750936278562,1.6833688110434761,1.5721031673955985,1.6120233590274478,1.73819228076626,1.497680600442562,1.6087281098053476,medium,0.11104750936278562
random_symmetry_1,random,1,54,53.0,14.111456180001682,0.035748701513349954,0.12700659372031115,0.1312796480176448,0.12413178410672221,1.8304492444911646,1.7018188273882517,1.7472819442395873,1.878561592257232,1.6278441428464183,1.7519759269531405,medium,0.12413178410672221
random_symmetry_2,random,2,31,30.0,14.111456180001682,0.03849266970895602,0.14777283696068583,0.15195596120243682,0.16203691786612318,1.643880138955694,1.5330547877804968,1.5609338116358256,1.7128897728382624,1.4404641430772074,1.6025010609433306,medium,0.15195596120243682
random_symmetry_1,random,2,58,57.0,14.111456180001682,0.03965300774907784,0.13978217062793058,0.1770365361411559,0.15980536308628257,1.786164729447753,1.6607704558123821,1.6897067515576547,1.8667432876988106,1.5750370688359558,1.7348424319222384,medium,0.15980536308628257
random_symmetry_2,random,5,35,34.0,14.111456180001682,0.044910603880314884,0.17537296487562098,0.17137532590536608,0.18973220197303653,1.5979031913830153,1.4826873509983438,1.5075434350208425,1.6789187609262086,1.3839969675000638,1.5737291694731004,medium,0.17137532590536608
random_symmetry_1,random,5,62,61.0,14.111456180001682,0.04498179043346324,0.16028805493660966,0.1965378840559806,0.1760573863605599,1.7327535862017218,1.6130637824494332,1.632134048008494,1.8286719320644746,1.520177707175141,1.696235093535701,medium,0.1760573863605599
random_symmetry_1,random,7,66,65.0,14.111456180001682,0.04781257603698333,0.17489234920143557,0.20005684402249835,0.18585384672201988,1.6763101312584943,1.5615669885471926,1.576782674445017,1.7768395184675154,1.4674991105874045,1.6533529573094243,medium,0.18585384672201988
random_symmetry_1,random,6,56,55.0,18.11145618000168,0.048378773462658425,0.170760637229381,0.2156527667427237,0.20122177678499553,1.7833436315603908,1.6587606105226211,1.6607714883135445,1.8764242550562682,1.5475595445517243,1.7487813213367198,medium,0.20122177678499553
