seed_label,seed_kind,rank_within_seed,phase_index,phase_time,best_T,closure,relative_closure,I_span,D_span,I_mean,D_mean,I_min,I_max,D_min,D_max,span_class
near_equilibrium_direct,near_equilibrium,6,150,149.0,51.763932022500214,1.4895285475963852e-7,4.6081611647263926e-7,1.3418850719482123e-5,9.484543747717566e-6,2.2457532357521415,2.223223522668583,2.2457465172439877,2.245759936094707,2.2232188563584545,2.2232283409022022,tiny
near_equilibrium_direct,near_equilibrium,1,154,153.0,51.83281572999748,1.9041681648416332e-7,5.890911346183284e-7,1.3420958504983815e-5,9.48192320082697e-6,2.2457532582919972,2.223223538139513,2.245746516926398,2.245759937884903,2.2232188559171404,2.2232283378403412,tiny
near_equilibrium_direct,near_equilibrium,7,126,125.0,51.763932022500214,2.5417516073478317e-7,7.863420141108809e-7,1.3579094312099471e-5,9.650026153273927e-6,2.2457531929471943,2.2232235941429868,2.2457463581164614,2.2457599372107735,2.223218696599214,2.2232283466253673,tiny
near_equilibrium_direct,near_equilibrium,2,130,129.0,51.94427190999916,2.6125143602909405e-7,8.082369788992843e-7,1.358477266988345e-5,9.661002860816836e-6,2.2457531446980696,2.2232235439777286,2.2457463548589716,2.2457599396316414,2.223218682558908,2.223228343561769,tiny
near_equilibrium_direct,near_equilibrium,3,158,157.0,51.83281572999748,2.6435590902915165e-7,8.178333316303178e-7,1.3420542894326815e-5,9.486346024267789e-6,2.2457532704431737,2.2232235649000587,2.2457465161990338,2.245759936741928,2.2232188573889067,2.223228343734931,tiny
near_equilibrium_direct,near_equilibrium,4,104,103.0,51.94427190999916,2.903686881786206e-7,8.983099546497071e-7,1.3951120813260331e-5,9.64210138842958e-6,2.245753300991857,2.223223640957667,2.2457463532821196,2.245760304402933,2.2232186918932495,2.223228333994638,tiny
near_equilibrium_direct,near_equilibrium,5,134,133.0,51.83281572999748,2.9818022047445443e-7,9.224867066313236e-7,1.3582830175273841e-5,9.646893436965343e-6,2.2457531300331643,2.2232235012903767,2.2457463544984924,2.2457599373286676,2.2232186942969676,2.2232283411904046,tiny
near_equilibrium_direct,near_equilibrium,8,108,107.0,51.83281572999748,3.225118479287995e-7,9.977479582098307e-7,1.3949558318682165e-5,9.643251527968744e-6,2.24575331768111,2.2232236560976375,2.2457463539796874,2.245760303538006,2.2232186927559923,2.2232283360075202,tiny
projected_gibson_orbit1,projected_dns,1,164,163.0,52.05572809000084,0.0009852750467559776,0.0029997773981739373,0.0659543967844467,0.05472109150629123,2.2464514651065186,2.226427756416238,2.2148961639627864,2.280850560747233,2.190560948300136,2.245282039806427,small
projected_gibson_orbit1,projected_dns,2,168,167.0,52.16718427000252,0.0010364058476089095,0.003202322190446124,0.06593733091056642,0.05472766029938336,2.2463084881243343,2.226362553963522,2.2149084267534995,2.280845757664066,2.190546808387987,2.2452744686873705,small
projected_gibson_orbit1,projected_dns,3,160,159.0,51.875388202501895,0.0012385170355821106,0.0037213398789556025,0.06594771545644829,0.054723048144409425,2.246633513357639,2.2265505828128505,2.214896221629279,2.280843937085727,2.1905522099740633,2.2452752581184727,small
guarded_large_loop,large_loop_candidate,1,164,163.0,52.05572809000084,0.0014813022186028924,0.004474870624261067,0.08595601954746313,0.07697022827600097,2.245408321019509,2.2263818640646096,2.2035917833672167,2.28954780291468,2.1756327172843184,2.2526029455603194,small
guarded_large_loop,large_loop_candidate,3,168,167.0,52.236067977499786,0.0015302203609731974,0.004702262618690622,0.08597339717135366,0.07695880023150092,2.245271590764003,2.226336777872341,2.203581648921901,2.2895550460932546,2.175650966197878,2.2526097664293787,small
projected_gibson_orbit1,projected_dns,4,135,134.0,52.05572809000084,0.0015506105944407952,0.004893015272162757,0.06859514475063877,0.057760234265332056,2.24691804971239,2.227196594304065,2.2149011285801685,2.2834962733308073,2.190551403135153,2.248311637400485,small
projected_gibson_orbit1,projected_dns,5,139,138.0,52.236067977499786,0.0015576447965086262,0.004809324030624769,0.06859832671192612,0.057747936719244386,2.2473384235826463,2.227434029576936,2.2148943646597736,2.2834926913716997,2.190561959505252,2.2483098962244963,small
ms_large_loop_T57,large_loop_candidate,1,165,164.0,52.05572809000084,0.001626216514718709,0.0049002444255208935,0.09089375215528284,0.08284004731253969,2.244697072228767,2.2258742251228067,2.2002745929176952,2.291168345072978,2.1713575028125596,2.2541975501250993,small
ms_large_loop_T57,large_loop_candidate,3,169,168.0,52.236067977499786,0.0016892916734785916,0.005179007671155799,0.09089334421973394,0.0828273647678257,2.244625299681206,2.2259347164039034,2.2002773800672513,2.291170724286985,2.171375404127068,2.254202768894894,small
