id,cx,cz,norm,shear
1.0,-0.010837230510275018,-2.911153533077715e-13,0.11486748293607114,1.4253447054122081
2.0,-0.14135378287230774,-2.0100109565018945e-15,0.13273713760682318,1.5730424726850973
3.0,-0.025854693037562673,2.8960336048727017e-10,0.1148674605054038,1.4253446040506292
4.0,0.15178933073317016,2.7593189697390705e-13,0.14182731143043165,1.497026886939295
5.0,0.07395643453522584,6.485867742488505e-14,0.10403661976935887,1.4322353366641591
6.0,0.17710232478624355,-3.064047051289875e-11,0.14182729975985348,1.497026818810873
7.0,0.10470875108894216,-1.7517964662423136e-16,0.13013383861654498,1.5818694594797895
8.0,-0.2058320150189082,1.3628053602723825e-12,0.11486748293368841,1.42534470535134
9.0,-0.18061507409938637,-1.7211951869312365e-11,0.11486747953972198,1.4253446927804179
10.0,0.009142319169445435,-1.208539763340629e-10,0.13273714546205423,1.5730424854903808
11.0,-0.06759394099955357,8.164001932427788e-10,0.18254814239125947,1.7983348171612914
12.0,-0.11658864201084651,5.241818972234412e-13,0.11486748288203895,1.4253447050847905
13.0,-0.1970809191568891,-1.5951145627629449e-9,0.11486742977905984,1.425344505405468
14.0,0.060956137971806046,4.5647398531690866e-12,0.11486748169469596,1.4253446953938291
15.0,0.09093228426091038,-1.205259896974648e-10,0.11486737238010337,1.425344269426999
16.0,-0.12093754387154881,-1.0766149976848009e-12,0.10778251573653627,1.4459175947521046
17.0,-0.13642123740336995,8.648674555367133e-11,0.10403661022880821,1.432235277636972
18.0,-0.0018547628700788213,-1.5981835262778103e-12,0.16136881938964587,1.7408260861414442
19.0,-0.0018017008977616598,2.7330881896596817e-11,0.10403664224246358,1.4322353874927742
20.0,0.013416430629276364,-1.5491959928500948e-14,0.1148674829717476,1.425344705543428
21.0,0.03558559023486089,-4.657273413893383e-10,0.13701721398816988,1.4967531574244264
22.0,-0.09864268349494211,2.85000551595987e-11,0.16136881963550315,1.7408260869791323
23.0,-0.15394163393614213,-1.3171523202495519e-13,0.11486748290316882,1.4253447052910055
24.0,0.12057018795815062,-1.1713535352164167e-13,0.11486748290356855,1.4253447052873376
25.0,0.0706039618209665,-2.9020950507171174e-12,0.10403662172759393,1.4322353411763933
26.0,0.01934799967997431,-3.554362105004712e-15,0.14182731162167894,1.4970268880835844
27.0,-0.08748010333152739,-4.748194578497642e-13,0.14182731083203623,1.4970268834688003
28.0,-0.09745579393338683,6.106724416187383e-16,0.11486748296983887,1.4253447055357316
29.0,-0.10275158115652781,1.6560678788010481e-10,0.11486747628041229,1.4253446719089653
30.0,-0.06379088179558227,6.753304755218915e-10,0.11486744219582891,1.4253445163032714
31.0,-0.09246370302941034,4.230636058075394e-15,0.1418273116086593,1.4970268880099111
32.0,-0.036654118826988775,-3.037159712399006e-14,0.104036620104764,1.4322353375438535
33.0,-0.24102516914446637,-1.474219418084826e-14,0.11486748297241571,1.425344705544974
34.0,0.14254272169972038,-1.228503179999439e-13,0.11486748296615991,1.425344705523253
35.0,-0.039324671745170695,-1.758358498100752e-11,0.14182728803383315,1.4970267503686636
36.0,0.09763616139295793,-7.446929253806019e-11,0.13013383792947422,1.58186943330224
37.0,-0.13708644111278795,1.332470427398511e-13,0.1825481440476769,1.7983348263596373
38.0,-0.022503024687532056,-1.3029564656773742e-11,0.11486748188433205,1.425344701273358
39.0,-0.04149622220535718,-3.171026382013266e-12,0.10403669434492444,1.4322355168824352
40.0,-0.054066304150053784,1.3935481352137692e-9,0.1148674399058952,1.4253445325936573
41.0,-0.15278926885757899,1.105150296091693e-14,0.11486748296944906,1.4253447055333073
42.0,-0.014806166922405928,3.6946984647268755e-11,0.10403662032572734,1.432235255314584
