      #(Re)            L2            u2            v2            w2           e3d           ecf         ubulk         wbulk     wallshear   wallshear_a   wallshear_b   dissipation
  300.02      0.226609      0.303564     0.0586716     0.0843212      0.100583     0.0105524             0             0      0.953879      0.476939     -0.476939      0.953879
     300      0.226596      0.303545     0.0586694     0.0843179      0.100584     0.0105516             0             0      0.953817      0.476908     -0.476908      0.953816
  299.98      0.226583      0.303527     0.0586671     0.0843146      0.100586     0.0105508             0             0      0.953754      0.476877     -0.476877      0.953754
 297.977      0.225192      0.301595     0.0584495     0.0839482      0.100795     0.0104636             0             0      0.948199      0.474099     -0.474099      0.948199
 296.948      0.224393      0.300486     0.0583509     0.0837137      0.101017     0.0104128             0             0      0.946467      0.473234     -0.473234      0.946467
 296.387       0.22389      0.299787     0.0583159     0.0835503      0.101256     0.0103814             0             0      0.946725      0.473363     -0.473363      0.946725
 296.225      0.223719      0.299548     0.0583159     0.0834892      0.101381     0.0103712             0             0      0.947381       0.47369      -0.47369      0.947381
 296.078      0.223507       0.29925     0.0583406     0.0834044      0.101625     0.0103599             0             0      0.949337      0.474668     -0.474668      0.949337
 296.306      0.223428      0.299122     0.0585045     0.0833258      0.102267      0.010366             0             0      0.957064      0.478532     -0.478532      0.957064
 297.062      0.223778      0.299577     0.0587734     0.0833831      0.102964     0.0104071             0             0      0.967708      0.483854     -0.483854      0.967708
  297.82      0.224215      0.300154     0.0590141     0.0834872      0.103495     0.0104528             0             0      0.976677      0.488339     -0.488339      0.976677
 298.905      0.224893      0.301052     0.0593423     0.0836655      0.104156     0.0105214             0             0      0.988548      0.494274     -0.494274      0.988548
 300.461      0.225907      0.302399     0.0597934     0.0839483      0.105004     0.0106226             0             0       1.00458      0.502292     -0.502292       1.00458
 302.479      0.227242      0.304177     0.0603529     0.0843323         0.106     0.0107544             0             0       1.02435      0.512176     -0.512176       1.02435
 305.026      0.228905      0.306395     0.0610197     0.0848159      0.107143     0.0109171             0             0       1.04807      0.524035     -0.524035       1.04807
 308.214      0.230911      0.309076      0.061796     0.0853955       0.10844     0.0111111             0             0       1.07619      0.538094     -0.538094       1.07619
 312.151       0.23325      0.312213     0.0626724     0.0860558      0.109879     0.0113334             0             0        1.1089      0.554452     -0.554452        1.1089
 316.941      0.235892      0.315771     0.0636314     0.0867719      0.111436     0.0115783             0             0       1.14622       0.57311      -0.57311       1.14622
  322.67      0.238798      0.319703     0.0646516     0.0875144       0.11308     0.0118386             0             0       1.18801      0.594004     -0.594004       1.18801
 329.385      0.241923      0.323954     0.0657105     0.0882549      0.114774     0.0121068             0             0       1.23399      0.616997     -0.616997       1.23399
  336.34      0.244919      0.328053     0.0666908     0.0889091      0.116325     0.0123525             0             0       1.27915      0.639574     -0.639574       1.27915
 344.803      0.248339      0.332752     0.0677723     0.0895976      0.118005     0.0126208             0             0       1.33184      0.665922     -0.665922       1.33184
 353.451      0.251683      0.337362     0.0688028     0.0902324       0.11956     0.0128757             0             0       1.38439      0.692196     -0.692196       1.38439
 363.447      0.255529      0.342661     0.0699873     0.0909686      0.121263     0.0131735             0             0       1.44578      0.722889     -0.722889       1.44578
 373.389      0.259799      0.348483     0.0714031     0.0919376      0.123143     0.0135509             0             0       1.51438      0.757188     -0.757188       1.51438
  382.72      0.268916      0.360347     0.0754162     0.0953613      0.127776     0.0147814             0             0       1.65694      0.828468     -0.828468       1.65694
 383.642       0.27177      0.363967     0.0768378     0.0966572       0.12932     0.0152467             0             0       1.70095      0.850476     -0.850476       1.70095
 383.784      0.272279       0.36461     0.0770928     0.0968908      0.129594     0.0153311             0             0        1.7088        0.8544       -0.8544        1.7088
 384.983      0.276927      0.370483     0.0794311     0.0990431      0.132075     0.0161188             0             0       1.78087      0.890435     -0.890435       1.78087
 386.276      0.281707      0.376521     0.0818276      0.101265      0.134561     0.0169504             0             0       1.85576      0.927878     -0.927878       1.85575
 387.928      0.286924      0.383111     0.0844154      0.103686      0.137186     0.0178768             0             0       1.93856      0.969282     -0.969282       1.93856
 390.188      0.292821      0.390567     0.0872948       0.10642      0.140036     0.0189455             0             0       2.03377       1.01689      -1.01689       2.03377
 392.827      0.298529      0.397793     0.0900266      0.109067      0.142672     0.0200004             0             0       2.12784       1.06392      -1.06392       2.12784
 395.859      0.304065       0.40481     0.0926132      0.111638      0.145106     0.0210403             0             0       2.22116       1.11058      -1.11058       2.22116
 399.291      0.309424      0.411616     0.0950459      0.114127      0.147342     0.0220586             0             0       2.31376       1.15688      -1.15688       2.31376
 403.127      0.314593      0.418201     0.0973135      0.116517      0.149379     0.0230461             0             0       2.40552       1.20276      -1.20276       2.40552
 407.372      0.319554      0.424545      0.099402      0.118785       0.15121     0.0239906             0             0       2.49613       1.24806      -1.24806       2.49613
  412.04      0.324278       0.43062      0.101297      0.120904      0.152831      0.024879             0             0        2.5851       1.29255      -1.29255       2.58509
 417.162       0.32874      0.436394      0.102989      0.122852      0.154237     0.0256993             0             0        2.6719       1.33595      -1.33595        2.6719
 422.784      0.332917      0.441841      0.104474      0.124616       0.15543      0.026444             0             0       2.75616       1.37808      -1.37808       2.75616
 428.967      0.336798      0.446941      0.105755      0.126199      0.156421     0.0271103             0             0       2.83766       1.41883      -1.41883       2.83766
 435.766      0.340379      0.451682      0.106844      0.127609      0.157224     0.0276996             0             0        2.9164        1.4582       -1.4582        2.9164
 443.216      0.343664      0.456063      0.107754       0.12886      0.157863     0.0282157             0             0       2.99257       1.49629      -1.49629       2.99257
 451.321      0.346664      0.460098      0.108501       0.12996      0.158362     0.0286622             0             0       3.06644       1.53322      -1.53322       3.06644
 460.042        0.3494       0.46381      0.109102       0.13091      0.158746     0.0290407             0             0       3.13824       1.56912      -1.56912       3.13824
 469.314      0.351892       0.46723      0.109573      0.131704      0.159033     0.0293522             0             0       3.20801       1.60401      -1.60401       3.20801
 479.069      0.354164      0.470388      0.109931      0.132341      0.159237     0.0295989             0             0       3.27571       1.63786      -1.63786       3.27571
