Lx,Lz,alpha,gamma,id,norm,shear,dissipation,residual
5.0,2.3333333333333335,1.2566370614359172,2.6927937030769655,3,0.10753952917950002,1.2925868270498864,1.337534250014108,1.231651180467617e-13
5.0,2.6666666666666665,1.2566370614359172,2.356194490192345,3,0.10752576692669054,1.2082683428213241,1.3006680587844923,2.938636758369219e-13
5.0,3.0,1.2566370614359172,2.0943951023931953,3,0.1421906097656689,1.2633640059359053,1.4527237267479047,3.432235998215897e-8
5.0,3.3333333333333335,1.2566370614359172,1.8849555921538759,3,0.26088417967826244,1.853507402075354,2.229182748835885,7.660655911565018e-11
5.0,3.6666666666666665,1.2566370614359172,1.71359599286716,3,0.3015561717919803,2.1383571837207658,2.489649694497638,3.647686080266288e-11
5.0,4.0,1.2566370614359172,1.5707963267948966,3,0.32510457914857327,2.325779802508036,2.6288092075357454,9.598917715762042e-14
5.0,4.333333333333333,1.2566370614359172,1.4499658401183662,3,0.34223595877059404,2.478077109803034,2.7234887370190646,1.1773810511239268e-8
5.0,4.666666666666667,1.2566370614359172,1.3463968515384828,3,0.35608507193064526,2.6074046388600363,2.7948488865098833,2.7454439654933712e-9
5.0,5.0,1.2566370614359172,1.2566370614359172,3,0.3677248558285305,2.712837717267649,2.849567896846569,9.448480311987167e-10
5.0,5.333333333333333,1.2566370614359172,1.1780972450961724,3,0.37748155358448254,2.7914338594556627,2.8894515155162566,4.204498545896914e-10
5.0,5.666666666666667,1.2566370614359172,1.1087974071493387,3,0.3855231332140159,2.843190535993373,2.9154814298201135,1.959618494396605e-10
5.0,6.0,1.2566370614359172,1.0471975511965976,3,0.3921216149181207,2.8722560315093926,2.929515558123808,3.7551666073767044e-11
5.0,6.333333333333333,1.2566370614359172,0.9920818906073031,3,0.397689098714738,2.8855926772471374,2.934404393658888,2.1218757854600064e-12
5.0,6.666666666666667,1.2566370614359172,0.9424777960769379,3,0.40273702505171294,2.891393113025928,2.933543614930132,1.1946561949669858e-10
5.0,7.0,1.2566370614359172,0.8975979010256552,3,0.4079831486699225,2.900269969409758,2.9312099482877176,1.4865290173398393e-13
5.416666666666667,2.3333333333333335,1.1599726720946928,2.6927937030769655,3,0.10620929737243287,1.290471223208267,1.3251748460732626,8.206715732469124e-8
5.416666666666667,2.6666666666666665,1.1599726720946928,2.356194490192345,3,0.09987737854569773,1.1876221705028827,1.2587922808983307,7.022571856534554e-8
5.416666666666667,3.0,1.1599726720946928,2.0943951023931953,3,0.11059595643791247,1.1684220072003495,1.2780888410703277,4.227765109714473e-13
5.416666666666667,3.3333333333333335,1.1599726720946928,1.8849555921538759,3,0.19772208174198475,1.4374776563775886,1.7596096691151353,5.729964258221798e-10
5.416666666666667,3.6666666666666665,1.1599726720946928,1.71359599286716,3,0.2784273616543954,1.9033415559244418,2.3033377008767975,3.1916087308781203e-9
5.416666666666667,4.0,1.1599726720946928,1.5707963267948966,3,0.30882837999030294,2.121562317945617,2.491810001473766,2.4335077843455073e-12
5.416666666666667,4.333333333333333,1.1599726720946928,1.4499658401183662,3,0.3283463232318907,2.2803005984999754,2.603450860612069,9.475080454996784e-15
5.416666666666667,4.666666666666667,1.1599726720946928,1.3463968515384828,3,0.34313111882146324,2.410761408051111,2.6816542197793973,7.520063479488774e-9
5.416666666666667,5.0,1.1599726720946928,1.2566370614359172,3,0.3552319690621004,2.518749113505229,2.7400245097264513,1.866295393611096e-9
5.416666666666667,5.333333333333333,1.1599726720946928,1.1780972450961724,3,0.36543230921252456,2.604034980024215,2.783475532678798,6.023491294736798e-10
5.416666666666667,5.666666666666667,1.1599726720946928,1.1087974071493387,3,0.3740776595076886,2.666551139963298,2.8141502665905116,2.395284548699881e-10
5.416666666666667,6.0,1.1599726720946928,1.0471975511965976,3,0.38142688461509316,2.708507695185409,2.833778956246947,1.044736273225254e-10
5.416666666666667,6.333333333333333,1.1599726720946928,0.9920818906073031,3,0.3877770582074437,2.734240781257783,2.8444430284798923,1.999839509479962e-9
5.416666666666667,6.666666666666667,1.1599726720946928,0.9424777960769379,3,0.39346895496730294,2.74909606082247,2.8485319338318513,5.262425885106366e-11
5.416666666666667,7.0,1.1599726720946928,0.8975979010256552,3,0.39886379225574153,2.758536056917146,2.848523172777196,7.52841134962927e-12
5.416666666666667,7.333333333333333,1.1599726720946928,0.85679799643358,3,0.40436179667889904,2.7682321626954964,2.847038742874883,5.004991670118884e-10
5.416666666666667,7.666666666666667,1.1599726720946928,0.8195459096321199,3,0.41062143591975897,2.786955132608873,2.8480400719817496,3.016247715567874e-13
5.833333333333333,2.3333333333333335,1.0771174812307862,2.6927937030769655,3,0.10743906375375412,1.2986228336833303,1.3262847934016784,6.678344713185641e-13
5.833333333333333,2.6666666666666665,1.0771174812307862,2.356194490192345,3,0.09653705620316871,1.1805026098963793,1.239591103918068,2.3097841840561316e-8
5.833333333333333,3.0,1.0771174812307862,2.0943951023931953,3,0.10023701805027319,1.1444383018586863,1.2271243631601139,3.70326660681981e-8
5.833333333333333,3.3333333333333335,1.0771174812307862,1.8849555921538759,3,0.12054408212465667,1.161227855488579,1.292593739894873,2.7404097933806084e-13
5.833333333333333,3.6666666666666665,1.0771174812307862,1.71359599286716,3,0.24220329523016465,1.6251546230689078,2.023170299878985,3.387775525534124e-8
5.833333333333333,4.0,1.0771174812307862,1.5707963267948966,3,0.28961594613876707,1.9230433869627923,2.334388601870164,1.3910324413950107e-10
5.833333333333333,4.333333333333333,1.0771174812307862,1.4499658401183662,3,0.3136001491553723,2.098653856443008,2.477871859860173,1.3843769296199954e-13
5.833333333333333,4.666666666666667,1.0771174812307862,1.3463968515384828,3,0.3301436393318489,2.2330771812958523,2.5683191556904363,2.4082236203830822e-8
5.833333333333333,5.0,1.0771174812307862,1.2566370614359172,3,0.3430604686834277,2.3429786509351205,2.632268228689668,5.01805811920314e-9
5.833333333333333,5.333333333333333,1.0771174812307862,1.1780972450961724,3,0.3537855400716622,2.432159700827166,2.679236677961348,1.3310066765382862e-9
5.833333333333333,5.666666666666667,1.0771174812307862,1.1087974071493387,3,0.36295867349766575,2.5017935309958217,2.7133687674567906,4.3279193928217827e-10
5.833333333333333,6.0,1.0771174812307862,1.0471975511965976,3,0.3709405811004716,2.553574357313969,2.7370557108964935,1.6696536759837624e-10
5.833333333333333,6.333333333333333,1.0771174812307862,0.9920818906073031,3,0.3780182236884044,2.590422523198088,2.7522876324916945,1.6351717664075503e-10
5.833333333333333,6.666666666666667,1.0771174812307862,0.9424777960769379,3,0.38447168249972313,2.6161097688822794,2.7610531746770297,1.058842902230711e-10
5.833333333333333,7.0,1.0771174812307862,0.8975979010256552,3,0.39058169389648045,2.6346459499921657,2.7653557851391963,3.306996548343045e-11
5.833333333333333,7.333333333333333,1.0771174812307862,0.85679799643358,3,0.39662837503233517,2.6499499687614176,2.767189361450579,6.758379056239071e-12
5.833333333333333,7.666666666666667,1.0771174812307862,0.8195459096321199,3,0.40291822713620484,2.666108087871851,2.7687025082035848,2.353519708695068e-10
5.833333333333333,8.0,1.0771174812307862,0.7853981633974483,3,0.40992701603699117,2.6890947042316924,2.7730521894015876,8.888929487398355e-9
