      #(t)            L2            u2            v2            w2           e3d           ecf         ubulk         wbulk     wallshear   wallshear_a   wallshear_b   dissipation
 42.5428      0.355141      0.495768     0.0529902     0.0604751     0.0462032    0.00646519             0             0       1.24616      0.623082     -0.623082       1.22926
 43.5322       0.35774      0.499977     0.0510096     0.0581034      0.044162    0.00597798             0             0       1.25369      0.626843     -0.626843       1.23907
 44.5215      0.359799      0.503356     0.0490721     0.0559946      0.042454    0.00554346             0             0       1.25836      0.629181     -0.629181       1.24557
 45.5109      0.361327      0.505919     0.0471883     0.0541659     0.0411287    0.00516069             0             0       1.26038      0.630192     -0.630192       1.24882
 46.5003      0.362337      0.507689     0.0453686     0.0526362     0.0402328    0.00482888             0             0       1.25996      0.629981     -0.629981       1.24893
 47.4896      0.362848      0.508694     0.0436227      0.051425     0.0398042    0.00454747             0             0       1.25731      0.628656     -0.628656       1.24603
  48.479      0.362883      0.508971     0.0419599     0.0505515     0.0398661    0.00431609             0             0       1.25264      0.626321     -0.626321       1.24032
 49.4684      0.362468      0.508558     0.0403893     0.0500334     0.0404236    0.00413463             0             0       1.24615      0.623075     -0.623075         1.232
 50.4577      0.361633      0.507497     0.0389196     0.0498852     0.0414639    0.00400326             0             0       1.23802      0.619012     -0.619012       1.22131
 51.4471      0.360409      0.505833       0.03756     0.0501173     0.0429597     0.0039225             0             0       1.22844       0.61422      -0.61422       1.20853
 52.4365      0.358832      0.503615     0.0363204      0.050735     0.0448756    0.00389321             0             0       1.21757      0.608783     -0.608783       1.19393
 53.4258      0.356937       0.50089     0.0352113     0.0517389     0.0471738    0.00391675             0             0       1.20556      0.602779     -0.602779       1.17782
 54.4152      0.354761       0.49771     0.0342441     0.0531256     0.0498205    0.00399498             0             0       1.19257      0.596285     -0.596285       1.16052
 55.4046      0.352343      0.494126     0.0334305     0.0548892     0.0527882    0.00413043             0             0       1.17875      0.589376     -0.589376       1.14239
 56.3939      0.349723       0.49019     0.0327824     0.0570234      0.056058    0.00432635             0             0       1.16425      0.582124     -0.582124       1.12376
 57.3833      0.346943      0.485955     0.0323107     0.0595223     0.0596186    0.00458688             0             0       1.14921      0.574605     -0.574605         1.105
 58.3727      0.344045      0.481473     0.0320253     0.0623816     0.0634653    0.00491709             0             0       1.13378      0.566891     -0.566891       1.08648
  59.362       0.34107      0.476796     0.0319347     0.0655987     0.0675974    0.00532301             0             0       1.11812      0.559059     -0.559059       1.06855
