                     %Lz                     obs                       s                guesserr                   error     directory
               2.8245086               2.1819185                       0                       0           5.3815584e-14  ./initial-2/
               2.8220086               2.1783309                       0                       0           1.8621036e-15  ./initial-1/
               2.8195086               2.1747174                       0                       0           5.3323755e-14  ./initial-0/
               2.7604842               2.0808728             0.025876064           1.3962301e-05           4.4420837e-15   search-0/
               2.7315947                2.027422             0.038807611           1.7741656e-05           7.1465758e-15   search-1/
               2.7043595               1.9702227             0.051811697           1.9586099e-05           1.3701057e-14   search-2/
               2.6822375               1.9160629             0.063408264           1.6341432e-05            4.896172e-15   search-3/
               2.6629509               1.8581112             0.075118338            1.936422e-05           8.3416854e-15   search-4/
               2.6502536               1.8067686             0.084986957           1.7692588e-05           7.2603987e-15   search-5/
               2.6422382               1.7526239             0.095071606           1.9253084e-05           3.5467362e-14   search-6/
               2.6408256               1.7035685               0.1042687           1.6468595e-05           1.7256838e-14   search-7/
               2.6462872               1.6553083              0.11394217           1.3764478e-05           2.2426071e-14   search-8/
               2.6592458               1.6104499              0.12428476            1.634332e-05           1.7598246e-15   search-9/
                2.674326               1.5788108              0.13296784           1.9045444e-05           1.4477059e-14   search-10/
                2.692695               1.5511572              0.14197149           1.9068871e-05           1.7264785e-15   search-11/
                2.713403               1.5273421              0.15117712           1.5793812e-05            1.922654e-15   search-12/
               2.7357363                1.506858              0.16051057            1.253862e-05           5.6714717e-15   search-13/
               2.7626674                 1.48679              0.17129109           1.2020432e-05           3.8844972e-15   search-14/
               2.7943413               1.4675604              0.18356954           1.2206116e-05           8.3907075e-15   search-15/
               2.8269021               1.4512276              0.19591042            1.000431e-05           6.9909614e-15   search-16/
                2.868144               1.4340892              0.21128068           1.0937282e-05           2.5273337e-15   search-17/
               2.9167355               1.4175522              0.22915036           1.1867848e-05           2.4060295e-15   search-18/
               2.9722457               1.4021314              0.24936256           1.2229597e-05           1.4983897e-14   search-19/
               3.0360507               1.3877093              0.27242539           1.2089496e-05            1.134753e-14   search-20/
               3.1096758               1.3742642              0.29889345           1.2000454e-05           6.3153882e-15   search-21/
               3.1945885                1.361874              0.32929666           1.1981334e-05           5.4415156e-15   search-22/
               3.2924968               1.3506442              0.36424932            1.196302e-05           9.7179292e-15   search-23/
               3.4054503               1.3407147              0.40448621           1.1938029e-05           1.9353348e-14   search-24/
               3.5358534               1.3322861              0.45086734           1.1913572e-05           2.3292332e-15   search-25/
               3.6865052               1.3256494              0.50439284           1.1891272e-05           2.3147841e-15   search-26/
               3.8606307               1.3212304              0.56621452           1.1873662e-05           4.6428525e-15   search-27/
               4.0617734               1.3196619              0.63759913           1.1873051e-05           1.4978475e-14   search-28/
               4.2931535               1.3218834              0.71970287           1.1930739e-05           8.3272979e-15   search-29/
               4.5552186               1.3291892              0.81270535           1.2168775e-05           7.3986506e-15   search-30/
               4.8172472               1.3415655              0.90572912           1.1013258e-05           3.0357444e-15   search-31/
                5.079173               1.3593545              0.99877255           1.0835652e-05           2.7870679e-15   search-32/
               5.3409287               1.3832182               1.0918358           1.1820093e-05           7.7673505e-15   search-33/
                5.602427               1.4142549                1.184921           1.3988098e-05           3.3797214e-14   search-34/
               5.8634983               1.4546084               1.2780344           1.8679462e-05           5.2566561e-14   search-35/
               6.0650235               1.4954525               1.3501476           1.9332719e-05           3.9106181e-16   search-36/
               6.2211494               1.5374555               1.4063442           1.9304774e-05           2.3467717e-16   search-37/
               6.3399366               1.5817437               1.4496152           1.9599677e-05           3.2140985e-16   search-38/
               6.4152949               1.6224494               1.4777755           1.6772801e-05           3.5164046e-16   search-39/
               6.4713107               1.6704533               1.5001112           1.9026396e-05           5.9171708e-16   search-40/
               6.4987157               1.7147039               1.5134756           1.7491617e-05           3.7156472e-16   search-41/
               6.5085861               1.7563366               1.5226061           1.6746608e-05           2.6580963e-16   search-42/
               6.5067021                1.799589               1.5312055           1.7303358e-05           3.4379236e-16   search-43/
               6.4911583               1.8559393               1.5434324           1.1849612e-05           8.2997734e-15   search-44/
               6.4693744               1.9056266               1.5556138           1.7140695e-05           8.7784878e-14   search-45/
