case,source_J,source_K,source_L,target_J,target_K,target_L,Re,T,closure,relative_closure,I_min,I_max,I_span,I_mean,D_min,D_max,D_span,D_mean,E_min,E_max,E_span,E_mean,span_class,x0_source_path,source_field_path,x0_target_path
target_at_source_period,2,3,7,3,5,9,285.91486006421275,86.72275925408482,0.14822019063639724,0.6003799946395809,1.5677209413851063,2.38154387364762,0.8138229322625139,2.0042898287980195,1.581719497997123,2.918891997515082,1.337172499517959,2.063045888350205,0.03230229534237748,0.07200312998493419,0.03970083464255671,0.04911473703842383,large,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_3_7/clean_po_pipeline_j2_target270_long/ode_refinement/x0_refined.asc,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_3_7/clean_po_pipeline_j2_target270_long/resolution_lift_2_3_7_to_3_5_9/u_source_lifted.nc,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_3_7/clean_po_pipeline_j2_target270_long/resolution_lift_2_3_7_to_3_5_9/x0_target_projected.asc
target_best_period_scan,2,3,7,3,5,9,285.91486006421275,65.04206944056361,0.11428097396889253,0.46290596607829004,1.567719676412719,2.381576108572294,0.8138564321595751,1.90995919564139,1.581719497997123,2.9190033086065297,1.3372838106094067,2.0256381863009087,0.03229934672484629,0.06870324344258609,0.0364038967177398,0.045416840219919354,large,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_3_7/clean_po_pipeline_j2_target270_long/ode_refinement/x0_refined.asc,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_3_7/clean_po_pipeline_j2_target270_long/resolution_lift_2_3_7_to_3_5_9/u_source_lifted.nc,/home/ebenq/Dev/julia/CloudAtlas.jl/notebooks/periodic_orbits/eqb_hopf_outputs_2_3_7/clean_po_pipeline_j2_target270_long/resolution_lift_2_3_7_to_3_5_9/x0_target_projected.asc
