T,closure,relative_closure
60.70593147785937,0.12888551817827792,0.5220630629386902
61.57315907040022,0.12384307819740442,0.5016381796910779
62.44038666294107,0.11996022006318777,0.48591029312044226
63.307614255481916,0.11707011499931434,0.47420364738408155
64.17484184802277,0.11517104431922062,0.4665112807784292
65.04206944056361,0.11428097396889253,0.46290596607829004
65.90929703310447,0.11433597241033905,0.46312874250192754
66.77652462564531,0.1151959387445578,0.46661211801852664
67.64375221818617,0.11670387488732725,0.4727201569397128
68.51097981072701,0.11872752444585338,0.4809171421539658
69.37820740326785,0.12115791228740294,0.49076165951031653
70.24543499580871,0.12388427856753938,0.5018050657131142
71.11266258834955,0.12677231881362547,0.5135033477084302
71.97989018089041,0.12967096996507693,0.5252446101862231
72.84711777343125,0.1324427813930018,0.5364720962870999
73.7143453659721,0.13499021021871163,0.5467906992935976
74.58157295851295,0.13726398028920436,0.5560008214562582
75.4488005510538,0.1392572842606719,0.5640748889808406
76.31602814359465,0.14099218058596952,0.571102251730883
77.1832557361355,0.14250257675264924,0.5772202552131437
78.05048332867634,0.14381947614696977,0.5825544815955841
78.91771092121719,0.14496363550092542,0.587189007997455
79.78493851375804,0.14594553678786376,0.5911662926498192
80.65216610629889,0.1467686786270144,0.5945005070429797
81.51939369883974,0.14743299129691134,0.5971913687635002
82.38662129138058,0.14793753838379198,0.5992350847782766
83.25384888392144,0.1482826930537115,0.6006331666319457
84.12107647646228,0.1484720379432765,0.6014001261351953
84.98830406900312,0.14851408382488085,0.601570436981942
85.85553166154398,0.1484233610975543,0.6012029559369363
86.72275925408482,0.1482201906364013,0.6003799946395973
87.58998684662568,0.14792914480939592,0.5992010858060093
88.45721443916652,0.1475771244743722,0.5977751939221362
89.32444203170736,0.14719210787275788,0.5962156475187692
90.19166962424822,0.14680307671357734,0.5946398397677428
91.05889721678906,0.14644109113718545,0.5931735827248888
91.92612480932992,0.1461412337182732,0.5919589816993052
92.79335240187076,0.14594504097013491,0.5911642842929002
93.6605799944116,0.14590303928245085,0.5909941524578356
94.52780758695246,0.14607711236281773,0.5916992520438558
95.3950351794933,0.1465425105241425,0.5935843916081873
96.26226277203416,0.14738923570827486,0.5970141325856338
97.129490364575,0.1487223806693933,0.602414163183176
97.99671795711585,0.15066094499336719,0.6102665025536674
98.8639455496567,0.1533347609321212,0.6210970485952279
99.73117314219755,0.15687936209081652,0.6354547930801034
100.5984007347384,0.16142879226436363,0.653882693162271
101.46562832727925,0.1671063828732057,0.6768803145029717
102.33285591982009,0.17401339121557602,0.7048578094296956
103.20008351236095,0.18221515492347598,0.7380798342418462
104.06731110490179,0.191724317141992,0.7765976012023861
104.93453869744263,0.20248112136248286,0.8201690608834766
105.80176628998349,0.21433206642875388,0.8681724422366683
106.66899388252433,0.2270098830920661,0.9195251457224772
107.53622147506519,0.24011800255948723,0.9726208316866859
108.40344906760603,0.25312046554751993,1.025288546021277
109.27067666014688,0.2653407086833763,1.074787804367246
110.13790425268773,0.27598664680246554,1.1179101903487318
111.00513184522858,0.2842176987544488,1.1512508499821592
111.87235943776943,0.289246762531867,1.171621551644089
112.73958703031028,0.2905384147702894,1.1768535120177106
