physical_id,case,group,direction,step,Re,input
re300_lx2pi_lzpi_012,re300_lx2pi_lzpi,A,plus,10,391.7157,5.3806582
re300_lx2pi_lzpi_012,re300_lx2pi_lzpi,A,plus,11,400.18449,5.3929963
re300_lx2pi_lzpi_012,re300_lx2pi_lzpi,A,plus,12,408.74779,5.3961606
re300_lx2pi_lzpi_012,re300_lx2pi_lzpi,A,plus,13,417.34557,5.3935977
re300_lx2pi_lzpi_012,re300_lx2pi_lzpi,A,plus,14,425.94418,5.389033
re300_lx2pi_lzpi_012,re300_lx2pi_lzpi,A,plus,15,434.53942,5.3850175
re300_lx2pi_lzpi_012,re300_lx2pi_lzpi,A,plus,16,443.13577,5.3827979
re300_lx2pi_lzpi_012,re300_lx2pi_lzpi,A,plus,17,451.73477,5.3827716
re300_lx2pi_lzpi_012,re300_lx2pi_lzpi,A,plus,18,461.73103,5.3854368
re300_lx2pi_lzpi_012,re300_lx2pi_lzpi,A,plus,19,471.72573,5.3906556
re300_lx2pi_lzpi_012,re300_lx2pi_lzpi,A,plus,20,483.25939,5.3992833
re300_lx2pi_lzpi_012,re300_lx2pi_lzpi,A,plus,21,494.78584,5.4100924
re300_lx2pi_lzpi_012,re300_lx2pi_lzpi,A,plus,22,508.07227,5.4245666
