Lx,Lz,alpha,gamma,id,residual
5.0,4.333333333333333,1.2566370614359172,1.4499658401183662,3,NaN
5.0,4.666666666666667,1.2566370614359172,1.3463968515384828,3,NaN
5.0,5.0,1.2566370614359172,1.2566370614359172,3,NaN
5.0,5.333333333333333,1.2566370614359172,1.1780972450961724,3,NaN
5.0,6.0,1.2566370614359172,1.0471975511965976,3,NaN
5.0,6.333333333333333,1.2566370614359172,0.9920818906073031,3,NaN
5.0,6.666666666666667,1.2566370614359172,0.9424777960769379,3,NaN
5.0,7.0,1.2566370614359172,0.8975979010256552,3,NaN
5.0,7.333333333333333,1.2566370614359172,0.85679799643358,3,NaN
5.0,7.666666666666667,1.2566370614359172,0.8195459096321199,3,NaN
5.0,8.0,1.2566370614359172,0.7853981633974483,3,NaN
5.0,8.333333333333334,1.2566370614359172,0.7539822368615503,3,NaN
5.416666666666667,4.0,1.1599726720946928,1.5707963267948966,3,NaN
5.416666666666667,4.333333333333333,1.1599726720946928,1.4499658401183662,3,NaN
5.416666666666667,4.666666666666667,1.1599726720946928,1.3463968515384828,3,NaN
5.416666666666667,5.0,1.1599726720946928,1.2566370614359172,3,NaN
5.416666666666667,5.333333333333333,1.1599726720946928,1.1780972450961724,3,NaN
5.416666666666667,5.666666666666667,1.1599726720946928,1.1087974071493387,3,NaN
5.416666666666667,6.0,1.1599726720946928,1.0471975511965976,3,NaN
5.416666666666667,6.333333333333333,1.1599726720946928,0.9920818906073031,3,NaN
5.416666666666667,6.666666666666667,1.1599726720946928,0.9424777960769379,3,NaN
5.416666666666667,7.0,1.1599726720946928,0.8975979010256552,3,NaN
5.416666666666667,7.333333333333333,1.1599726720946928,0.85679799643358,3,NaN
5.416666666666667,7.666666666666667,1.1599726720946928,0.8195459096321199,3,NaN
5.416666666666667,8.0,1.1599726720946928,0.7853981633974483,3,NaN
5.416666666666667,8.333333333333334,1.1599726720946928,0.7539822368615503,3,NaN
5.416666666666667,8.666666666666666,1.1599726720946928,0.7249829200591831,3,NaN
5.833333333333333,3.6666666666666665,1.0771174812307862,1.71359599286716,3,NaN
5.833333333333333,4.0,1.0771174812307862,1.5707963267948966,3,NaN
5.833333333333333,4.333333333333333,1.0771174812307862,1.4499658401183662,3,NaN
5.833333333333333,4.666666666666667,1.0771174812307862,1.3463968515384828,3,NaN
5.833333333333333,5.0,1.0771174812307862,1.2566370614359172,3,NaN
5.833333333333333,5.333333333333333,1.0771174812307862,1.1780972450961724,3,NaN
5.833333333333333,5.666666666666667,1.0771174812307862,1.1087974071493387,3,NaN
