branch_id,Re_left,Re_right,real_left,real_right,Re_cross_linear,imag_cross_linear,period_cross_linear
4,347.0,348.0,0.05354540034574027,-0.08421178620851853,347.38869406152287,0.033641933982741415,186.76647158284393
5,349.0,350.0,-0.0003272638969780031,9.40138784557632e-5,349.77683636797843,0.15967859637397233,39.348951267483386
9,347.0,348.0,-0.03346743270592032,0.018052321927975006,347.6496038838644,0.39303640675515106,15.986267936481028
10,347.0,348.0,0.01771218430056043,-0.19992450227357106,347.0813841847134,0.4762318323048309,13.193543314336424
