                     %Lz                     obs                       s                guesserr                   error     directory
               3.1262132               1.4759501                       0                       0           2.2013548e-16  ./initial-2/
               3.1162132               1.4821813                       0                       0           1.0938603e-14  ./initial-1/
               3.1062132               1.4888738                       0                       0           2.0398903e-16  ./initial-0/
               3.0525199               1.5374228             0.042549989           1.1918498e-05           1.9373907e-15   search-0/
                3.027249                1.577016             0.070466578           1.9501924e-05           1.1435255e-14   search-1/
               3.0150743               1.6108944             0.093655246           1.8643257e-05           2.1117885e-15   search-2/
               3.0109666               1.6322752              0.10814055           1.1956136e-05           2.5737873e-15   search-3/
               3.0115132               1.6946992              0.15025725           1.1544472e-05           1.2390101e-15   search-4/
               3.0241026                1.748919              0.18706069            1.994811e-05            7.750847e-16   search-5/
               3.0426543               1.7964631               0.2196856           1.8440008e-05           1.8444011e-16   search-6/
               3.0681528               1.8453166              0.25364663           1.5500634e-05           6.7202306e-14   search-7/
               3.0999625                1.894437              0.28832368           1.4241977e-05           5.4662333e-15   search-8/
                3.137606               1.9431461              0.32333667           1.3516153e-05           7.5934983e-15   search-9/
               3.1808018               1.9909056              0.35841416           1.2774436e-05           5.3386978e-15   search-10/
               3.2294857               2.0372532               0.3933695           1.2249189e-05           2.8396056e-15   search-11/
                3.283798               2.0817568              0.42808713           1.1994311e-05           1.1389776e-15   search-12/
               3.3440497               2.1239896              0.46252152           1.1948498e-05           1.0132408e-14   search-13/
               3.4106577               2.1635346              0.49670795           1.1998337e-05             1.58709e-15   search-14/
               3.4840312               2.2000309              0.53077717           1.2066972e-05           3.0931999e-15   search-15/
               3.5643868               2.2332742              0.56495284           1.2222896e-05           3.7893183e-15   search-16/
               3.6515055               2.2633533               0.5994986           1.2705825e-05           3.9426794e-15   search-17/
               3.7445491               2.2907319              0.63460846           1.3619386e-05           7.6117629e-15   search-18/
               3.8421313               2.3161582              0.67031382           1.4527276e-05           1.3695252e-14   search-19/
