Lx,Lz,id,min_Re
13.75,9.333333333333334,1,128.92862261385406
13.75,9.333333333333334,2,111.22607472082635
13.75,9.333333333333334,3,128.9286226524061
12.5,8.333333333333334,1,124.69400250551548
12.5,8.333333333333334,2,124.69400252923761
12.5,8.333333333333334,3,107.08731788288966
11.25,7.333333333333333,1,122.01816377856692
11.25,7.333333333333333,2,122.01816392614332
11.25,7.333333333333333,3,104.20948584321174
10.0,6.333333333333333,1,121.52905974819001
10.0,6.333333333333333,2,121.52905961168054
10.0,6.333333333333333,3,103.32910946393757
8.75,5.333333333333333,1,123.25361398199047
8.75,5.333333333333333,2,123.2536137995495
8.75,5.333333333333333,3,106.03854787518812
7.5,4.333333333333333,1,116.3393392259875
7.5,4.333333333333333,2,122.75880880272246
6.25,3.3333333333333335,1,145.65780292314707
6.25,3.3333333333333335,2,145.65780301376572
13.75,9.666666666666666,1,130.68855093996032
13.75,9.666666666666666,2,112.30665502385375
13.75,9.666666666666666,3,130.68855084650437
12.5,8.666666666666666,1,125.88633352686176
12.5,8.666666666666666,2,107.70664559363843
12.5,8.666666666666666,3,125.88633392909637
11.25,7.666666666666667,1,122.49294335854792
11.25,7.666666666666667,2,122.49294296478121
11.25,7.666666666666667,3,104.20776048348212
10.0,6.666666666666667,1,121.17820436079477
10.0,6.666666666666667,2,121.17820417224402
10.0,6.666666666666667,3,102.41583235540693
8.75,5.666666666666667,1,122.58946044696046
8.75,5.666666666666667,2,122.58946046507197
8.75,5.666666666666667,3,103.57023227651557
6.25,3.6666666666666665,1,131.23798771833037
6.25,3.6666666666666665,2,131.2379878602011
7.5,4.666666666666667,1,125.11537245786148
7.5,4.666666666666667,2,125.11537240844766
7.5,4.666666666666667,3,110.58848533630449
13.75,10.0,1,132.7823426033929
13.75,10.0,2,132.78234263034278
13.75,10.0,3,113.80460622412727
5.0,2.3333333333333335,1,235.954916321134
5.0,2.3333333333333335,2,235.95491576246974
5.0,2.3333333333333335,3,235.95491609167794
12.5,9.0,1,127.4820603625099
12.5,9.0,2,108.80703420053281
12.5,9.0,3,127.48206028155198
11.25,8.0,1,123.45220612908423
11.25,8.0,2,123.4522061285561
11.25,8.0,3,104.78283030612096
10.0,7.0,1,121.34740457574543
10.0,7.0,2,121.3474046503985
10.0,7.0,3,102.24671347937738
8.75,6.0,1,122.11152240934574
8.75,6.0,2,102.20754267501715
8.75,6.0,3,122.11152240884233
6.25,4.0,1,121.97764488174433
6.25,4.0,2,128.908849798929
7.5,5.0,1,125.80599892808225
7.5,5.0,2,125.80599882237554
7.5,5.0,3,106.91083877216965
12.5,9.333333333333334,1,129.45655462239057
12.5,9.333333333333334,2,129.45655456867712
12.5,9.333333333333334,3,110.41485582543683
11.25,8.333333333333334,1,124.87280417724782
11.25,8.333333333333334,2,105.95631734008047
11.25,8.333333333333334,3,124.87280447599967
10.0,7.333333333333333,1,122.05074892519875
10.0,7.333333333333333,2,102.8239521393966
10.0,7.333333333333333,3,122.05074893305641
5.0,2.6666666666666665,1,188.9351111096272
5.0,2.6666666666666665,2,244.4238892663328
5.0,2.6666666666666665,3,188.9351110812116
8.75,6.333333333333333,1,122.02972210090445
8.75,6.333333333333333,2,122.02972231510522
8.75,6.333333333333333,3,275.74423230310066
8.75,6.333333333333333,4,101.87997528633333
12.5,9.666666666666666,1,131.7887145405306
12.5,9.666666666666666,2,285.31491769223976
12.5,9.666666666666666,3,131.78871471682154
12.5,9.666666666666666,4,112.57188562086256
11.25,8.666666666666666,1,126.7324298055353
11.25,8.666666666666666,2,289.41801214462816
11.25,8.666666666666666,3,126.73242945134454
11.25,8.666666666666666,4,107.77202544849759
6.25,4.333333333333333,1,132.15254556287505
6.25,4.333333333333333,2,132.15254564805198
7.5,5.333333333333333,1,104.9654658751917
7.5,5.333333333333333,2,126.00182305633186
7.5,5.333333333333333,3,126.0018229692936
7.5,5.333333333333333,4,286.7025955986052
10.0,7.666666666666667,1,123.28459258003234
10.0,7.666666666666667,2,123.28459230703004
10.0,7.666666666666667,3,104.18720098695883
8.75,6.666666666666667,1,122.46889688986693
8.75,6.666666666666667,2,122.4688967917883
8.75,6.666666666666667,3,102.59730084926926
5.0,3.0,1,162.3580463483046
5.0,3.0,2,288.8316807606521
5.0,3.0,3,288.83168061974516
12.5,10.0,1,134.46169310277068
12.5,10.0,2,115.33830490892291
12.5,10.0,3,134.46169285617054
12.5,10.0,4,264.5699276442755
11.25,9.0,1,129.01203812421696
11.25,9.0,2,129.01203790632482
11.25,9.0,3,261.7546202548544
11.25,9.0,4,110.29970623785465
7.5,5.666666666666667,1,126.05903545890938
7.5,5.666666666666667,2,104.6334910794748
7.5,5.666666666666667,3,104.63349101128567
7.5,5.666666666666667,4,126.05903535974939
10.0,8.0,1,125.03818521152593
10.0,8.0,2,106.41699950722935
10.0,8.0,3,125.03818517156486
10.0,8.0,4,278.3636251037228
10.0,8.0,5,278.3636250371765
6.25,4.666666666666667,1,134.69337689602483
6.25,4.666666666666667,2,134.6933768411088
8.75,7.0,1,123.49828781133179
8.75,7.0,2,104.4468865836679
8.75,7.0,3,123.4982878241934
11.25,9.333333333333334,1,131.69736268613397
11.25,9.333333333333334,2,234.22429904905744
11.25,9.333333333333334,3,131.69736279252936
10.0,8.333333333333334,1,127.30021842825026
10.0,8.333333333333334,2,236.87642157644166
10.0,8.333333333333334,3,127.30021843326435
10.0,8.333333333333334,4,236.87642153527747
7.5,6.0,1,126.30655117151278
7.5,6.0,2,105.9848371441613
7.5,6.0,3,126.30655138910828
8.75,7.333333333333333,1,125.15159494511424
8.75,7.333333333333333,2,107.60238131986002
8.75,7.333333333333333,3,125.15159484078211
8.75,7.333333333333333,4,265.69269840851433
8.75,7.333333333333333,5,265.69269829128564
6.25,5.0,1,136.7444565845951
6.25,5.0,2,282.93645109638084
6.25,5.0,3,136.74445648653122
11.25,9.666666666666666,1,134.77988561139196
11.25,9.666666666666666,2,126.4530647245159
11.25,9.666666666666666,3,134.7798858541478
11.25,9.666666666666666,4,117.93573104746014
14.166666666666666,3.0,1,292.1764101500357
14.166666666666666,3.0,2,292.1764101204189
10.0,8.666666666666666,1,130.0629374715126
10.0,8.666666666666666,2,130.06293735866026
10.0,8.666666666666666,3,114.05224988194003
10.0,8.666666666666666,4,191.92931496516994
