                     %Re                     obs                       s                guesserr                   error     directory
                   300.1               2.0563401                       0                       0           7.5372534e-16  ./initial-2/
                     300               2.0563558                       0                       0            3.799422e-16  ./initial-1/
                   299.9               2.0563717                       0                       0           6.3527659e-16  ./initial-0/
               270.26532               2.0639449             0.099184328           1.4312116e-05           9.4431066e-15   search-0/
               256.26992               2.0715482              0.14598195           1.8313083e-05            4.920051e-14   search-1/
               244.38375               2.0842253              0.18607925           1.7400678e-05           2.2216606e-16   search-2/
               234.34289               2.1115475              0.22208964           1.7183039e-05           3.6352483e-16   search-3/
               231.58362               2.1307243              0.23518783           6.3078546e-06           1.7243757e-16   search-5/
               230.30406               2.1486543              0.24489441           2.9346819e-06           4.4188126e-16   search-7/
               229.76881               2.1659057              0.25347134            1.738061e-06           1.5141336e-14   search-9/
                230.3134               2.2133708              0.27662475           4.9014919e-06           2.6926744e-16   search-10/
               233.76144               2.2784602              0.31029967           1.3217251e-05           2.1209789e-14   search-11/
               238.53384               2.3381094              0.34338267           1.9908195e-05           3.8615095e-15   search-12/
                243.7754               2.3935448              0.37550747           1.6952601e-05           4.0350676e-16   search-13/
               249.61543               2.4522582               0.4100644           1.4988553e-05           9.2055964e-14   search-14/
               255.66445               2.5160758              0.44707373           1.8984175e-05           2.7804974e-16   search-15/
               259.51928               2.5610786              0.47245186           1.6606332e-05           6.0664579e-14   search-16/
               263.13565               2.6072417              0.49793266           1.9712548e-05           6.8716018e-14   search-17/
               266.02856               2.6464521              0.51930019           1.7033575e-05           9.7408673e-15   search-18/
               268.79405               2.6855517              0.54043099           1.6757011e-05           1.9634115e-14   search-19/
               271.46469               2.7278029              0.56282326           1.9858565e-05           1.2691039e-15   search-20/
               272.19601               2.7438543              0.57100078           6.1782638e-06           7.6017704e-15   search-22/
               272.36283               2.7497039              0.57389928           1.2192017e-06           6.1942847e-16   search-25/
                272.4281               2.7543087              0.57614909           3.6549596e-07           5.6393228e-16   search-28/
               272.39028               2.7595071              0.57868023           2.6276642e-06           5.3080648e-16   search-29/
               271.97594               2.7662365              0.58223221           5.1978892e-06            7.031297e-15   search-30/
               270.84987               2.7705026              0.58652098           7.8230684e-06           1.9242132e-15   search-31/
               268.20057               2.7695645              0.59536375           6.9788461e-06           3.2529777e-15   search-32/
               266.24559               2.7659744              0.60211014           1.8703225e-05           8.1288128e-16   search-33/
               263.91313               2.7602802              0.61036342           1.0729472e-05           2.3698738e-16   search-34/
               259.78064               2.7480954              0.62535876           1.1757729e-05           2.5107422e-16   search-35/
               254.95603               2.7319151              0.64326249           1.1195668e-05           3.0612493e-16   search-36/
                248.8905               2.7097889              0.66616578           1.0319096e-05           3.2166208e-14   search-37/
               240.99771               2.6790564              0.69642363           1.0042372e-05           7.1908459e-14   search-38/
               231.15752               2.6385417              0.73468664           1.0658458e-05           2.0150792e-14   search-39/
               219.81105               2.5893376              0.77944164           1.1776606e-05           1.1898526e-14   search-40/
               208.64062               2.5383274              0.82418279           1.2461453e-05           7.5176139e-15   search-41/
               197.64271               2.4851368              0.86904934           1.4281602e-05           4.2450168e-15   search-42/
               186.84889               2.4289474              0.91422852           1.7091583e-05           1.3424348e-14   search-43/
                 177.697               2.3765111              0.95398863           1.6755193e-05           1.3308871e-14   search-44/
               169.84708               2.3255919              0.99001403           1.6374237e-05           5.2933667e-14   search-45/
               163.38905               2.2758508               1.0223947           1.6885612e-05            1.705696e-16   search-46/
               158.57722               2.2275291               1.0508456           1.8393807e-05           7.8050264e-16   search-47/
               155.93744               2.1837464               1.0738836           1.6933553e-05           9.9229636e-14   search-48/
