physical_id,case,group,direction,step,Re,input
re300_lx10_lz6_009,re300_lx10_lz6,G,minus,1,300.02,1.3851939
re300_lx10_lz6_009,re300_lx10_lz6,G,minus,2,300.0,1.3852162
re300_lx10_lz6_009,re300_lx10_lz6,G,minus,3,299.98,1.3852386
re300_lx10_lz6_009,re300_lx10_lz6,G,minus,4,276.42898,1.4170465
re300_lx10_lz6_009,re300_lx10_lz6,G,minus,5,265.44923,1.437151
re300_lx10_lz6_009,re300_lx10_lz6,G,minus,6,256.17894,1.4584051
re300_lx10_lz6_009,re300_lx10_lz6,G,minus,7,247.23649,1.4846849
re300_lx10_lz6_009,re300_lx10_lz6,G,minus,8,240.07585,1.5124758
re300_lx10_lz6_009,re300_lx10_lz6,G,minus,9,234.29684,1.5427882
re300_lx10_lz6_009,re300_lx10_lz6,G,minus,10,229.40322,1.5798169
re300_lx10_lz6_009,re300_lx10_lz6,G,minus,11,225.87046,1.6241528
re300_lx10_lz6_009,re300_lx10_lz6,G,minus,12,224.21094,1.6685252
re300_lx10_lz6_009,re300_lx10_lz6,G,minus,13,224.33942,1.739513
re300_lx10_lz6_009,re300_lx10_lz6,G,minus,14,225.94427,1.7898301
re300_lx10_lz6_009,re300_lx10_lz6,G,minus,15,228.31702,1.8372288
re300_lx10_lz6_009,re300_lx10_lz6,G,minus,16,231.50882,1.8866834
re300_lx10_lz6_009,re300_lx10_lz6,G,minus,17,235.39543,1.9372275
re300_lx10_lz6_009,re300_lx10_lz6,G,minus,18,239.86217,1.9882812
re300_lx10_lz6_009,re300_lx10_lz6,G,minus,19,244.81192,2.0394766
re300_lx10_lz6_009,re300_lx10_lz6,G,minus,20,250.16692,2.0905993
re300_lx10_lz6_009,re300_lx10_lz6,G,minus,21,256.76733,2.1493315
re300_lx10_lz6_009,re300_lx10_lz6,G,minus,22,263.75611,2.207785
re300_lx10_lz6_009,re300_lx10_lz6,G,minus,23,271.07482,2.2659431
re300_lx10_lz6_009,re300_lx10_lz6,G,minus,24,279.85609,2.332602
re300_lx10_lz6_009,re300_lx10_lz6,G,minus,25,288.95091,2.3988649
re300_lx10_lz6_009,re300_lx10_lz6,G,minus,26,298.31191,2.4647181
re300_lx10_lz6_009,re300_lx10_lz6,G,minus,27,309.43393,2.5403925
re300_lx10_lz6_009,re300_lx10_lz6,G,minus,28,320.82862,2.615408
re300_lx10_lz6_009,re300_lx10_lz6,G,minus,29,332.47523,2.6896834
re300_lx10_lz6_009,re300_lx10_lz6,G,minus,30,346.35102,2.7751747
re300_lx10_lz6_009,re300_lx10_lz6,G,minus,31,360.55706,2.8594215
re300_lx10_lz6_009,re300_lx10_lz6,G,minus,32,375.10146,2.9423099
re300_lx10_lz6_009,re300_lx10_lz6,G,minus,33,392.04168,3.0346627
re300_lx10_lz6_009,re300_lx10_lz6,G,minus,34,409.44947,3.1250956
re300_lx10_lz6_009,re300_lx10_lz6,G,minus,35,427.3297,3.2138573
re300_lx10_lz6_009,re300_lx10_lz6,G,minus,36,445.64955,3.3017148
re300_lx10_lz6_009,re300_lx10_lz6,G,minus,37,464.30108,3.3897742
re300_lx10_lz6_009,re300_lx10_lz6,G,minus,38,483.10306,3.4786092
re300_lx10_lz6_009,re300_lx10_lz6,G,minus,39,501.89795,3.5674112
re300_lx10_lz6_009,re300_lx10_lz6,G,minus,40,520.69278,3.6541555
re300_lx10_lz6_009,re300_lx10_lz6,G,minus,41,542.17527,3.7462781
re300_lx10_lz6_009,re300_lx10_lz6,G,minus,42,564.44128,3.8278164
re300_lx10_lz6_009,re300_lx10_lz6,G,minus,43,588.12744,3.8923221
re300_lx10_lz6_009,re300_lx10_lz6,G,minus,44,608.04046,3.925379
re300_lx10_lz6_009,re300_lx10_lz6,G,minus,45,625.63085,3.9391697
re300_lx10_lz6_009,re300_lx10_lz6,G,minus,46,643.95354,3.9427009
re300_lx10_lz6_009,re300_lx10_lz6,G,minus,47,662.52236,3.9418913
re300_lx10_lz6_009,re300_lx10_lz6,G,minus,48,681.10661,3.9433848
re300_lx10_lz6_009,re300_lx10_lz6,G,minus,49,699.68887,3.9515065
re300_lx10_lz6_009,re300_lx10_lz6,G,minus,50,718.19072,3.9670249
re300_lx10_lz6_009,re300_lx10_lz6,G,minus,51,736.47267,3.9877202
re300_lx10_lz6_009,re300_lx10_lz6,G,minus,52,757.36455,4.0138858
re300_lx10_lz6_009,re300_lx10_lz6,G,minus,53,780.77291,4.0409315
re300_lx10_lz6_009,re300_lx10_lz6,G,plus,1,299.98,1.3852386
re300_lx10_lz6_009,re300_lx10_lz6,G,plus,2,300.0,1.3852162
re300_lx10_lz6_009,re300_lx10_lz6,G,plus,3,300.02,1.3851939
re300_lx10_lz6_009,re300_lx10_lz6,G,plus,4,324.36993,1.3619165
re300_lx10_lz6_009,re300_lx10_lz6,G,plus,5,339.30591,1.3506336
re300_lx10_lz6_009,re300_lx10_lz6,G,plus,6,354.32945,1.340913
re300_lx10_lz6_009,re300_lx10_lz6,G,plus,7,372.73397,1.3307151
re300_lx10_lz6_009,re300_lx10_lz6,G,plus,8,393.55944,1.3209171
re300_lx10_lz6_009,re300_lx10_lz6,G,plus,9,414.42871,1.3125179
re300_lx10_lz6_009,re300_lx10_lz6,G,plus,10,439.4478,1.3038815
re300_lx10_lz6_009,re300_lx10_lz6,G,plus,11,467.81736,1.2955343
re300_lx10_lz6_009,re300_lx10_lz6,G,plus,12,496.20983,1.2883568
re300_lx10_lz6_009,re300_lx10_lz6,G,plus,13,526.18127,1.2817676
