                     %Lx                     obs                       s                guesserr                   error     directory
               12.210186               1.8358093                       0                       0           4.2659844e-14  ./initial-2/
               12.220186               1.8327569                       0                       0            4.004447e-16  ./initial-1/
               12.230186               1.8296652                       0                       0           9.1990578e-14  ./initial-0/
               12.438713               1.7471394             0.050028061           1.3042499e-05           4.8734459e-16   search-0/
               12.474405               1.7214956             0.064321613           6.5048136e-06           2.0762195e-15   search-2/
               12.489993                1.701022             0.075565126           2.5636919e-06           3.2723996e-15   search-4/
               12.491278               1.6769509             0.088699362           5.6230459e-06           6.3010758e-16   search-5/
                12.45796               1.6441951              0.10677853           6.3513903e-06             3.03942e-16   search-6/
               12.365789               1.6087384              0.12754297           8.2636419e-06           4.1776691e-14   search-7/
               12.209923               1.5750998              0.14989379           9.6132918e-06           6.4111001e-15   search-8/
               11.995318               1.5446556              0.17406685           1.6393372e-05           9.2238447e-15   search-9/
               11.771367               1.5213612              0.19636923           1.7002354e-05           1.0527425e-14   search-10/
               11.522509               1.5010004              0.21956693           1.4804137e-05           4.8919124e-14   search-11/
               11.257419               1.4833742                0.243296           1.1521557e-05           9.7241146e-15   search-12/
               10.934487               1.4657745               0.2714128           1.1756638e-05           1.6105598e-14   search-13/
               10.560097               1.4492067              0.30335564           1.2310393e-05           8.5515363e-15   search-14/
               10.177714               1.4355133              0.33552637           1.0479913e-05            7.186785e-15   search-15/
               9.7114759               1.4223592               0.3743487           1.1390253e-05            5.219866e-15   search-16/
               9.2399947               1.4124668              0.41330658           1.0078438e-05           2.7045121e-15   search-17/
               8.6798526               1.4048592              0.45933158           1.1667391e-05           1.0278972e-15   search-18/
               8.1163178               1.4018664              0.50547556           1.1570037e-05           3.4261673e-15   search-19/
