% Ny a b nu datacount wallunits? ustar
% 49 -1 1 0.0025000000000000001 1 0 0.057617960194007584
% <uu> <uv> <uw> <vv> <vw> <ww> <utot> <utot-Ubase> Ubase
0 2.5037089277034067e-35 2.5599075634806263e-31 2.2515055047400955e-34 3.2281970407736167e-35 8.2912129763458246e-35 1 5.4410094702493449e-19 1
3.818923226539539e-07 -2.2482516742169641e-10 -3.1664294439343067e-18 3.1467217966404764e-13 -4.5683450383812079e-22 4.6125482920494387e-08 0.99715679625807352 -0.00070212698052978494 0.99785892323860326
6.0940314492441416e-06 -1.4239926506953638e-08 -1.2701102477653528e-17 7.769299196141766e-11 -1.7466649956426297e-21 7.0686315192007272e-07 0.98863936907546424 -0.0028054922983460984 0.99144486137381038
3.0727852214695872e-05 -1.5942229412633938e-07 -2.8735008093382195e-17 1.8763447113379347e-09 -3.3037064310759554e-21 3.3345935012729075e-06 0.97448439480974036 -0.0063008855934899794 0.98078528040323032
9.6645201023481953e-05 -8.7431702458150671e-07 -5.1526272003253384e-17 1.727926597606059e-08 -3.0128851497554764e-21 9.5713939139169003e-06 0.95475407500629217 -0.011171751282776168 0.96592582628906831
0.00023469740577763964 -3.2322842009748335e-06 -8.1427222053391963e-17 9.3069854964887284e-08 2.0631477405086244e-21 2.0729574155554407e-05 0.92953985790006666 -0.017390271595038968 0.94693012949510558
0.00048386882481599169 -9.2822666965170521e-06 -1.1923812056688978e-16 3.5525892295039026e-07 1.3236028589541981e-20 3.7339157956167151e-05 0.89897117372233781 -0.024908358788948926 0.92387953251128674
0.00089038877120273252 -2.2321793129221427e-05 -1.6594233682691727e-16 1.06610141784833e-06 3.8494776696263391e-20 5.8992389479558644e-05 0.8632311689953257 -0.033641572537362517 0.89687274153268826
0.0015053524439541111 -4.6985969612418809e-05 -2.2268610459019902e-16 2.6789703463000287e-06 6.3088896212910204e-20 8.4477915742131644e-05 0.82257996668087796 -0.043445437103560761 0.86602540378443871
0.0023795964872703745 -8.9032631055487431e-05 -2.913150191753842e-16 5.8760727472420937e-06 9.2735965135514635e-20 0.00011211801099590528 0.77738336902979521 -0.054086243272749926 0.83146961230254512
0.0035548722337443994 -0.00015473907578604336 -3.7287305517441766e-16 1.1578711836218622e-05 1.2098321381110373e-19 0.00014021917861385815 0.7281415223239649 -0.065211817967270283 0.79335334029123517
0.0050515068194455504 -0.00024991995207955943 -4.6804535665562708e-16 2.0922582373323896e-05 2.3072307161951692e-19 0.00016758130784884695 0.67550890177241785 -0.076330905706559538 0.75183980747897738
0.006854553282722331 -0.00037873113829178719 -5.7691267620456255e-16 3.5187654860879425e-05 5.699467600163402e-19 0.00019402124954576324 0.62029572733601224 -0.086811053850535308 0.70710678118654757
0.0089021590337616252 -0.00054258825719934135 -6.9811287271900159e-16 5.5666042007819246e-05 1.4655563379940583e-18 0.0002208070346975631 0.56344343304424083 -0.095902382055827962 0.65934581510006884
0.011080538175200216 -0.00073955799741468216 -8.2747031910594573e-16 8.3446708864947549e-05 3.3249767768746146e-18 0.00025079556758363119 0.50597342249124311 -0.1027880065174776 0.60876142900872066
0.013229125479848614 -0.00096429294033327246 -9.5562993572625998e-16 0.00011909614529065162 6.3380153480357248e-18 0.00028808129159305264 0.44891569297426265 -0.10665454004533942 0.55557023301960207
0.015157844489254002 -0.0012079779115200912 -1.061395159641849e-15 0.00016222625123669309 1.0215798774514456e-17 0.00033740256985710637 0.3932245734019596 -0.10677542659804037 0.49999999999999994
0.016676993675779364 -0.0014573160209631507 -1.1146179971968687e-15 0.00021099616538544847 1.2958307581721486e-17 0.00040466430164858404 0.33967731947617058 -0.1026113707428305 0.44228869021900108
0.017638190033413659 -0.0016922155515321404 -1.0816786872315904e-15 0.00026175771847411662 1.0686905736901913e-17 0.00050100126384932579 0.28873582630088046 -0.093947606064209349 0.38268343236508978
0.017977029385384626 -0.001884126147657461 -9.2757350712259135e-16 0.00030933537610053997 -2.1341467646703438e-18 0.00065058032628646355 0.24036091087710815 -0.081078554426053315 0.32143946530316148
0.017733031089547983 -0.0019999783660234276 -6.1861560176870187e-16 0.00034850698308492954 -3.0374556312394078e-17 0.00089243185047805458 0.19383551841814278 -0.064983526684377971 0.25881904510252074
0.017029593539536876 -0.0020171515037715696 -1.1426250060153403e-16 0.00037637513721116666 -7.42064372716191e-17 0.0012555405882572707 0.1477709405170439 -0.047319381499084268 0.19509032201612816
0.016063938735617341 -0.0019474431118452513 5.6772149721147196e-16 0.00039362024554065277 -1.2493195716460579e-16 0.0017027839189897327 0.10053408139949951 -0.029992110820552059 0.13052619222005157
0.015170421963504507 -0.0018502087577269815 1.22704097453599e-15 0.00040282904581112974 -1.6612292889203531e-16 0.0020956486853608053 0.051128822296106699 -0.014274306934036359 0.065403129230143062
0.014795274029844801 -0.0018051013133163723 1.5076121853265151e-15 0.00040576354259515502 -1.821508984148822e-16 0.0022547457226232445 -3.5140602770745104e-16 -3.5140602770745104e-16 0
