id,cx,cz,norm,shear
1.0,0.2365280856828823,0.0,0.20762249046176098,1.0941472483943693
2.0,-0.18959015084558034,0.0,0.13705696625256603,1.040631691089544
3.0,-0.01992872272120533,0.0,0.10095074995762895,1.055206596144016
4.0,0.019928792388710755,0.0,0.10095105910083674,1.0552069414544911
5.0,0.03155044592719223,0.0,0.3584462596207024,2.2275206615541183
6.0,0.189590539522162,0.0,0.13705634234707056,1.040631335385054
7.0,-0.2365280963746437,0.0,0.2076224741786087,1.0941472370392753
8.0,0.24052568632146853,0.0,0.20346067677525762,1.2118901283848236
9.0,-0.012658737579687347,0.0,0.3730158057027611,2.2399858334877614
10.0,-0.10077038811562204,0.0,0.44109089311891786,1.6024652147722482
