Lx,Lz,alpha,gamma,min_Re,count
8.6842,5.3684,0.72351919,1.17040185,105.53962646,4
14.4737,5.3684,0.43411051,1.17040185,138.87067134,3
6.0526,4.5263,1.03809690,1.38815043,126.71530023,4
11.8421,7.0526,0.53058033,0.89090340,106.58495438,4
10.7895,7.4737,0.58234258,0.84070612,103.40012600,4
12.3684,4.5263,0.50800308,1.38815043,144.05659179,3
10.7895,2.8421,0.58234258,2.21075448,258.25553020,2
5.5263,5.7895,1.13696059,1.08527253,142.73372878,2
6.0526,10.0000,1.03809690,0.62831853,280.03405307,1
7.1053,3.6842,0.88429557,1.70544088,133.86756662,4
12.3684,10.0000,0.50800308,0.62831853,115.77489085,6
11.3158,3.6842,0.55525772,1.70544088,173.07922992,1
5.5263,7.4737,1.13696059,0.84070612,196.14062828,1
12.8947,3.6842,0.48726882,1.70544088,191.15322212,2
10.2632,6.6316,0.61220529,0.94746144,103.04111470,4
8.6842,9.5789,0.72351919,0.65594017,150.20267567,8
9.7368,8.3158,0.64530290,0.75557196,111.42181870,8
9.7368,9.1579,0.64530290,0.68609455,124.60850969,7
5.5263,2.8421,1.13696059,2.21075448,175.40098733,1
10.2632,4.9474,0.61220529,1.26999743,118.45953156,3
7.6316,8.3158,0.82331167,0.75557196,142.33923713,7
14.4737,9.5789,0.43411051,0.65594017,110.49275625,5
7.6316,9.1579,0.82331167,0.68609455,169.66336917,7
9.2105,8.3158,0.68217635,0.75557196,117.79932162,7
9.2105,9.1579,0.68217635,0.68609455,130.85839647,7
10.7895,5.3684,0.58234258,1.17040185,114.88683857,5
9.7368,7.8947,0.64530290,0.79587385,110.77720489,7
8.1579,6.2105,0.77019641,1.01170362,111.48241879,2
7.1053,3.2632,0.88429557,1.92546743,156.15707564,1
7.6316,7.8947,0.82331167,0.79587385,194.18363623,5
11.3158,3.2632,0.55525772,1.92546743,208.73566465,2
12.8947,3.2632,0.48726882,1.92546743,231.63384869,2
13.9474,6.2105,0.45049151,1.01170362,122.79353874,4
9.2105,7.8947,0.68217635,0.79587385,110.50566231,10
9.7368,8.7368,0.64530290,0.71916323,118.38533205,8
5.5263,5.3684,1.13696059,1.17040185,138.30791203,2
5.5263,2.4211,1.13696059,2.59517794,228.71743244,1
