# ODE vs DNS comparison for re400_lx2pi_lzpi
# Box: Lx=6.2831853, Lz=3.1415927, Re=400
# generated: 2026-03-10 20:20:47

group, sol_id, dns_shear, dns_L2, ode(JKL), ode_shear, ode_norm, delta_shear, delta_L2
A, 1, 8.4137e-13, 2.23707e-13, (2,4,6), 1.599975444558188, 0.3470432517314025, -1.5999754445573466, -0.3470432517311788
A, 2, 8.26677e-13, 4.53974e-13, (2,4,5), 1.2684106929020043, 0.1979022356551615, -1.2684106929011776, -0.19790223565470752
A, 3, 0.192372, 0.0859584, (1,3,5), 1.3516893131092096, 0.22646397207902455, -1.1593173131092096, -0.14050557207902453
B, 1, 0.192372, 0.0859584, (1,4,5), 1.098650549272768, 0.09169918768933594, -0.9062785492727681, -0.005740787689335933
B, 2, 9.59106e-13, 3.61109e-13, (2,4,5), 1.6597916009996188, 0.1508297306860906, -1.6597916009986597, -0.1508297306857295
B, 3, 0.76576, 0.198195, (1,3,5), 1.7083644129923448, 0.2524675597666941, -0.9426044129923448, -0.054272559766694095
C, 2, 9.4644e-14, 3.46832e-13, (2,4,5), 1.1110828033876419, 0.11954353519695848, -1.1110828033875473, -0.11954353519661165
C, 3, 2.10692e-13, 3.51149e-13, (2,4,5), 1.6565715071808502, 0.15811467126716636, -1.6565715071806395, -0.15811467126681522
C, 4, 0.192372, 0.0859584, (1,4,5), 1.096688695388675, 0.12811889253431358, -0.904316695388675, -0.04216049253431357
C, 5, 4.39284, 0.43619, (1,3,5), 4.330221465747012, 0.4730949601678685, 0.06261853425298725, -0.036904960167868484
D, 1, 0.192372, 0.0859584, (1,4,5), 1.0986505492727672, 0.09169918768933588, -0.9062785492727672, -0.005740787689335877
D, 3, 1.23126, 0.239933, (1,3,5), 2.860546277604759, 0.3136407399165533, -1.629286277604759, -0.07370773991655327
E, 1, 0.413657, 0.231055, (3,5,9), 1.4661426437337792, 0.4131960956018126, -1.0524856437337793, -0.18214109560181257
E, 2, 0.965829, 0.205098, (2,4,6), 2.2360474724974813, 0.3233579637267221, -1.2702184724974812, -0.1182599637267221
E, 3, 0.413657, 0.231055, (1,3,5), 1.358542682919911, 0.32651449087379925, -0.944885682919911, -0.09545949087379924
E, 7, 0.413657, 0.231055, (1,3,5), 1.5022160839960998, 0.4107464942430784, -1.0885590839961, -0.1796914942430784
F, 1, 0.192372, 0.0859584, (1,4,5), 1.0986505492727672, 0.09169918768933596, -0.9062785492727672, -0.0057407876893359605
F, 3, 4.39284, 0.43619, (1,3,5), 4.330221465068005, 0.47309496009500895, 0.06261853493199432, -0.03690496009500893
G, 1, 0.192372, 0.0859584, (1,4,5), 1.0966886953886628, 0.12811889253431868, -0.9043166953886628, -0.04216049253431868
G, 2, 0.192372, 0.0859584, (1,4,5), 1.0986505492727714, 0.09169918768933719, -0.9062785492727714, -0.005740787689337182
G, 3, 0.192372, 0.0859584, (1,3,5), 1.088454363119904, 0.12261610017991544, -0.896082363119904, -0.03665770017991543
G, 4, 1.06487e-12, 3.38635e-13, (1,4,5), 1.4042205353406105, 0.24294934264484458, -1.4042205353395456, -0.24294934264450593
G, 5, 1.20072e-14, 7.82798e-13, (1,3,5), 1.308512163630044, 0.11627528546105967, -1.308512163630032, -0.11627528546027686
G, 6, 5.49766e-13, 1.12744e-13, (1,3,5), 1.4743744545619322, 0.24425171589495356, -1.4743744545613824, -0.24425171589484082
