case,Re,Lx,Lz,group,unique_id,shear,L2,multiplicity,members
re300_lx2pi_lzpi,300.0,6.283185307179586,3.141592653589793,A,u001,3.7039,0.419643,2,sol001@J3K5L11;sol003@J1K3L5
re300_lx2pi_lzpi,300.0,6.283185307179586,3.141592653589793,B,u001,0.25004,0.10128,1,sol001@J1K4L5
re300_lx2pi_lzpi,300.0,6.283185307179586,3.141592653589793,B,u002,1.2109,0.250827,1,sol002@J1K3L5
re300_lx2pi_lzpi,300.0,6.283185307179586,3.141592653589793,B,u003,3.7039,0.419643,1,sol003@J1K3L5
re300_lx2pi_lzpi,300.0,6.283185307179586,3.141592653589793,C,u001,0.25004,0.10128,2,sol001@J3K5L11;sol002@J1K4L5
re300_lx2pi_lzpi,300.0,6.283185307179586,3.141592653589793,C,u002,3.7039,0.419643,1,sol003@J1K3L5
re300_lx2pi_lzpi,300.0,6.283185307179586,3.141592653589793,D,u001,0.305736,0.11435,1,sol002@J1K4L5
re300_lx2pi_lzpi,300.0,6.283185307179586,3.141592653589793,D,u002,0.953817,0.226596,1,sol003@J1K3L5
re300_lx2pi_lzpi,300.0,6.283185307179586,3.141592653589793,D,u003,3.03859,0.386379,1,sol001@J2K4L6
re300_lx2pi_lzpi,300.0,6.283185307179586,3.141592653589793,E,u001,0.451944,0.238198,1,sol002@J3K5L11
re300_lx2pi_lzpi,300.0,6.283185307179586,3.141592653589793,E,u002,1.10084,0.246689,3,sol003@J2K4L5;sol004@J2K4L5;sol005@J1K4L5
re300_lx2pi_lzpi,300.0,6.283185307179586,3.141592653589793,E,u003,1.80947,0.382856,3,sol001@J3K5L11;sol006@J1K4L5;sol008@J1K3L5
re300_lx2pi_lzpi,300.0,6.283185307179586,3.141592653589793,E,u004,3.7039,0.419643,1,sol007@J1K3L5
re300_lx2pi_lzpi,300.0,6.283185307179586,3.141592653589793,F,u001,0.25004,0.10128,1,sol001@J1K4L5
re300_lx2pi_lzpi,300.0,6.283185307179586,3.141592653589793,F,u002,3.7039,0.419643,1,sol002@J1K3L5
re300_lx2pi_lzpi,300.0,6.283185307179586,3.141592653589793,G,u001,0.78023,0.192927,2,sol002@J2K4L5;sol003@J1K4L5
re300_lx2pi_lzpi,300.0,6.283185307179586,3.141592653589793,G,u002,0.869302,0.197445,1,sol001@J2K4L5
