case,Re,Lx,Lz,group,unique_id,shear,L2,multiplicity,members
re300_lx10_lz6,300.0,10.0,6.0,A,u001,0.327932,0.132183,1,sol001@J2K4L7
re300_lx10_lz6,300.0,10.0,6.0,A,u002,1.75755,0.337678,1,sol002@J2K4L5
re300_lx10_lz6,300.0,10.0,6.0,B,u001,0.327932,0.132183,1,sol002@J2K4L9
re300_lx10_lz6,300.0,10.0,6.0,B,u002,0.368928,0.132685,1,sol001@J2K4L9
re300_lx10_lz6,300.0,10.0,6.0,C,u001,0.327932,0.132183,2,sol001@J3K5L9;sol002@J2K4L9
re300_lx10_lz6,300.0,10.0,6.0,C,u002,0.332424,0.114986,1,sol004@J2K4L8
re300_lx10_lz6,300.0,10.0,6.0,C,u003,0.368928,0.132685,1,sol005@J1K4L5
re300_lx10_lz6,300.0,10.0,6.0,C,u004,0.504836,0.155965,1,sol006@J1K3L5
re300_lx10_lz6,300.0,10.0,6.0,C,u005,1.50822,0.307106,1,sol003@J2K4L6
re300_lx10_lz6,300.0,10.0,6.0,D,u001,0.191403,0.093204,1,sol004@J1K3L5
re300_lx10_lz6,300.0,10.0,6.0,D,u002,0.562706,0.180224,1,sol003@J1K3L5
re300_lx10_lz6,300.0,10.0,6.0,D,u003,0.580333,0.155926,1,sol002@J2K4L9
re300_lx10_lz6,300.0,10.0,6.0,D,u004,1.12265,0.249595,1,sol001@J2K4L8
re300_lx10_lz6,300.0,10.0,6.0,E,u001,0.5755,0.33369,3,sol001@J3K5L11;sol002@J2K4L9;sol005@J1K3L5
re300_lx10_lz6,300.0,10.0,6.0,E,u002,0.69859,0.23608,1,sol004@J2K4L5
re300_lx10_lz6,300.0,10.0,6.0,E,u003,0.978733,0.24704,1,sol003@J2K4L9
re300_lx10_lz6,300.0,10.0,6.0,F,u001,0.327932,0.132183,1,sol001@J3K5L9
re300_lx10_lz6,300.0,10.0,6.0,G,u001,0.130007,0.0787033,1,sol004@J2K4L5
re300_lx10_lz6,300.0,10.0,6.0,G,u002,0.191403,0.093204,2,sol002@J1K3L5;sol011@J1K3L5
re300_lx10_lz6,300.0,10.0,6.0,G,u003,0.211102,0.102108,2,sol001@J2K4L5;sol006@J1K3L5
re300_lx10_lz6,300.0,10.0,6.0,G,u004,0.260169,0.118291,1,sol008@J1K4L5
re300_lx10_lz6,300.0,10.0,6.0,G,u005,0.269275,0.11686,1,sol007@J1K3L5
re300_lx10_lz6,300.0,10.0,6.0,G,u006,0.871758,0.231991,1,sol003@J1K4L5
