case,Re,Lx,Lz,group,sol_id,dns_shear,dns_L2,dns_residual,ode_found,ode_exact_jkl,ode_J,ode_K,ode_L,ode_shear,ode_norm,delta_shear,delta_L2norm,ode_source,dns_source
re400_lx10_lz6,400.0,10.0,6.0,C,5,0.261529,0.0987623,1.87419e-16,true,true,2,4,7,2.0425403602171452,0.3221821014108819,-1.7810113602171453,-0.22341980141088189,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re400_lx10_lz6/C/jkl_2_4_7/solutions_summary.csv,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re400_lx10_lz6/C/jkl_2_4_7/dns_findsoln/sol005
re400_lx10_lz6,400.0,10.0,6.0,C,6,1.41046,0.309908,2.18593e-15,true,true,2,4,6,2.787098694695975,0.48588712097066944,-1.3766386946959748,-0.17597912097066942,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re400_lx10_lz6/C/jkl_2_4_6/solutions_summary.csv,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re400_lx10_lz6/C/jkl_2_4_6/dns_findsoln/sol006
re400_lx10_lz6,400.0,10.0,6.0,C,8,0.830027,0.212146,4.38336e-16,true,true,1,3,5,2.156895142375956,0.46333307067737645,-1.326868142375956,-0.25118707067737645,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re400_lx10_lz6/C/jkl_1_3_5/solutions_summary.csv,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re400_lx10_lz6/C/jkl_1_3_5/dns_findsoln/sol008
re400_lx10_lz6,400.0,10.0,6.0,C,9,1.33606,0.294634,7.74698e-15,true,true,1,3,5,3.8075179347780224,0.5661981233505599,-2.471457934778022,-0.27156412335055985,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re400_lx10_lz6/C/jkl_1_3_5/solutions_summary.csv,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re400_lx10_lz6/C/jkl_1_3_5/dns_findsoln/sol009
re400_lx10_lz6,400.0,10.0,6.0,D,1,0.405024,0.144998,9.93498e-15,true,true,1,3,5,1.6110344610233676,0.28565465541593393,-1.2060104610233675,-0.14065665541593395,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re400_lx10_lz6/D/jkl_1_3_5/solutions_summary.csv,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re400_lx10_lz6/D/jkl_1_3_5/dns_findsoln/sol001
re400_lx10_lz6,400.0,10.0,6.0,D,3,0.131507,0.0807176,4.93134e-16,true,true,1,4,5,1.0610620796975037,0.09494050882991509,-0.9295550796975036,-0.014222908829915087,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re400_lx10_lz6/D/jkl_1_4_5/solutions_summary.csv,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re400_lx10_lz6/D/jkl_1_4_5/dns_findsoln/sol003
re400_lx10_lz6,400.0,10.0,6.0,D,4,0.697371,0.200136,1.95041e-15,true,true,1,3,5,2.0759957961568793,0.34140501381286914,-1.3786247961568794,-0.14126901381286913,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re400_lx10_lz6/D/jkl_1_3_5/solutions_summary.csv,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re400_lx10_lz6/D/jkl_1_3_5/dns_findsoln/sol004
re400_lx10_lz6,400.0,10.0,6.0,D,5,0.173827,0.0845575,2.04313e-15,true,true,1,4,5,2.1286051387835,0.34158263073658024,-1.9547781387835002,-0.25702513073658023,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re400_lx10_lz6/D/jkl_1_4_5/solutions_summary.csv,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re400_lx10_lz6/D/jkl_1_4_5/dns_findsoln/sol005
re400_lx10_lz6,400.0,10.0,6.0,D,9,0.697371,0.200136,1.80755e-11,true,true,1,3,5,3.1099445069188265,0.46154088136682214,-2.4125735069188265,-0.26140488136682216,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re400_lx10_lz6/D/jkl_1_3_5/solutions_summary.csv,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re400_lx10_lz6/D/jkl_1_3_5/dns_findsoln/sol009
re400_lx10_lz6,400.0,10.0,6.0,E,1,1.1023,0.407408,4.5641e-14,true,true,3,4,9,2.3361699562232774,0.7058240662220211,-1.2338699562232773,-0.2984160662220211,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re400_lx10_lz6/E/jkl_3_4_9/solutions_summary.csv,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re400_lx10_lz6/E/jkl_3_4_9/dns_findsoln/sol001
