timestamp,case,group,J,K,L,sol_id,status,error,job_dir
2026-03-08T15:13:22,re300_lx10_lz6,C,1,4,5,1,skip_after_converged,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/C/jkl_1_4_5/dns_findsoln/sol001
2026-03-08T15:13:22,re300_lx10_lz6,C,1,3,5,1,skip_after_converged,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/C/jkl_1_3_5/dns_findsoln/sol001
2026-03-08T15:57:09,re300_lx10_lz6,C,2,4,9,3,not_converged,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/C/jkl_2_4_9/dns_findsoln/sol003
2026-03-08T15:57:16,re300_lx10_lz6,C,3,4,9,2,not_converged,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/C/jkl_3_4_9/dns_findsoln/sol002
2026-03-08T15:58:00,re300_lx10_lz6,C,2,4,8,4,ok,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/C/jkl_2_4_8/dns_findsoln/sol004
2026-03-08T15:58:00,re300_lx10_lz6,C,2,4,7,4,skip_after_converged,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/C/jkl_2_4_7/dns_findsoln/sol004
2026-03-08T15:58:00,re300_lx10_lz6,C,2,4,6,4,skip_after_converged,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/C/jkl_2_4_6/dns_findsoln/sol004
2026-03-08T15:58:00,re300_lx10_lz6,C,2,4,5,4,skip_after_converged,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/C/jkl_2_4_5/dns_findsoln/sol004
2026-03-08T15:58:00,re300_lx10_lz6,C,1,4,5,4,skip_after_converged,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/C/jkl_1_4_5/dns_findsoln/sol004
2026-03-08T15:58:00,re300_lx10_lz6,C,1,3,5,4,skip_after_converged,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/C/jkl_1_3_5/dns_findsoln/sol004
