timestamp,case,group,J,K,L,sol_id,status,min_Re,error,csv_path
2026-03-07T12:49:35,re300_lx10_lz6,B,2,4,6,1,ok,226.0553004750525,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/B/jkl_2_4_6/bifurcations/bif_B_sol001.csv
2026-03-07T12:49:56,re300_lx10_lz6,A,2,4,8,1,ok,216.21166729173441,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/A/jkl_2_4_8/bifurcations/bif_A_sol001.csv
2026-03-07T12:51:45,re300_lx10_lz6,B,2,4,7,3,ok,223.094600516893,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/B/jkl_2_4_7/bifurcations/bif_B_sol003.csv
2026-03-07T12:52:18,re300_lx10_lz6,A,2,4,9,2,ok,279.3649031206156,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/A/jkl_2_4_9/bifurcations/bif_A_sol002.csv
2026-03-07T12:52:44,re300_lx10_lz6,B,2,4,6,3,ok,239.85872166595266,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/B/jkl_2_4_6/bifurcations/bif_B_sol003.csv
2026-03-07T12:55:50,re300_lx10_lz6,B,2,4,7,1,ok,166.48344326460818,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/B/jkl_2_4_7/bifurcations/bif_B_sol001.csv
2026-03-07T12:57:57,re300_lx10_lz6,B,2,4,8,1,ok,253.8493088394432,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/B/jkl_2_4_8/bifurcations/bif_B_sol001.csv
2026-03-07T13:02:34,re300_lx10_lz6,B,2,4,7,2,ok,183.17120501953346,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/B/jkl_2_4_7/bifurcations/bif_B_sol002.csv
2026-03-07T13:03:06,re300_lx10_lz6,C,1,3,5,1,ok,105.02351271677362,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/C/jkl_1_3_5/bifurcations/bif_C_sol001.csv
2026-03-07T13:03:14,re300_lx10_lz6,C,1,3,5,2,ok,271.63918137244764,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/C/jkl_1_3_5/bifurcations/bif_C_sol002.csv
2026-03-07T13:03:15,re300_lx10_lz6,B,2,4,8,2,ok,205.93361163096958,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/B/jkl_2_4_8/bifurcations/bif_B_sol002.csv
2026-03-07T13:03:27,re300_lx10_lz6,C,1,3,5,4,ok,298.5190062512171,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/C/jkl_1_3_5/bifurcations/bif_C_sol004.csv
2026-03-07T13:03:40,re300_lx10_lz6,C,1,3,5,5,ok,298.51900616708224,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/C/jkl_1_3_5/bifurcations/bif_C_sol005.csv
2026-03-07T13:03:49,re300_lx10_lz6,C,1,3,5,6,ok,271.63918140967615,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/C/jkl_1_3_5/bifurcations/bif_C_sol006.csv
2026-03-07T13:04:02,re300_lx10_lz6,C,1,3,5,3,ok,105.02351271014672,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/C/jkl_1_3_5/bifurcations/bif_C_sol003.csv
2026-03-07T13:04:42,re300_lx10_lz6,C,1,4,5,1,ok,107.05906525949074,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/C/jkl_1_4_5/bifurcations/bif_C_sol001.csv
2026-03-07T13:05:06,re300_lx10_lz6,C,1,4,5,2,ok,214.98948724295835,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/C/jkl_1_4_5/bifurcations/bif_C_sol002.csv
2026-03-07T13:05:41,re300_lx10_lz6,C,1,4,5,4,ok,295.0759475089284,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/C/jkl_1_4_5/bifurcations/bif_C_sol004.csv
2026-03-07T13:05:45,re300_lx10_lz6,C,1,4,5,3,ok,262.5070909928613,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/C/jkl_1_4_5/bifurcations/bif_C_sol003.csv
2026-03-07T13:05:54,re300_lx10_lz6,B,2,4,8,3,ok,226.66783230253,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/B/jkl_2_4_8/bifurcations/bif_B_sol003.csv
2026-03-07T13:06:37,re300_lx10_lz6,C,1,4,5,5,ok,184.82004900777738,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/C/jkl_1_4_5/bifurcations/bif_C_sol005.csv
2026-03-07T13:11:56,re300_lx10_lz6,C,2,4,5,3,ok,172.18837549296086,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/C/jkl_2_4_5/bifurcations/bif_C_sol003.csv
2026-03-07T13:12:13,re300_lx10_lz6,C,2,4,5,2,ok,149.25536071433433,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/C/jkl_2_4_5/bifurcations/bif_C_sol002.csv
2026-03-07T13:12:48,re300_lx10_lz6,C,2,4,5,1,ok,179.93926333556794,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/C/jkl_2_4_5/bifurcations/bif_C_sol001.csv
2026-03-07T13:14:57,re300_lx10_lz6,C,2,4,5,5,ok,267.4064871290695,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/C/jkl_2_4_5/bifurcations/bif_C_sol005.csv
2026-03-07T13:19:09,re300_lx10_lz6,C,2,4,5,4,ok,255.41555032614895,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/C/jkl_2_4_5/bifurcations/bif_C_sol004.csv
2026-03-07T13:20:17,re300_lx10_lz6,C,2,4,6,2,ok,227.94689858544672,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/C/jkl_2_4_6/bifurcations/bif_C_sol002.csv
2026-03-07T13:22:09,re300_lx10_lz6,C,2,4,6,1,ok,226.05530037909736,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/C/jkl_2_4_6/bifurcations/bif_C_sol001.csv
2026-03-07T13:23:34,re300_lx10_lz6,B,2,4,9,3,ok,229.8937890721853,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/B/jkl_2_4_9/bifurcations/bif_B_sol003.csv
2026-03-07T13:25:01,re300_lx10_lz6,C,2,4,6,4,ok,288.6834235288617,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/C/jkl_2_4_6/bifurcations/bif_C_sol004.csv
2026-03-07T13:26:43,re300_lx10_lz6,C,2,4,6,3,ok,273.53243060136515,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/C/jkl_2_4_6/bifurcations/bif_C_sol003.csv
2026-03-07T13:33:26,re300_lx10_lz6,C,2,4,7,3,ok,206.90765860193613,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/C/jkl_2_4_7/bifurcations/bif_C_sol003.csv
2026-03-07T13:37:02,re300_lx10_lz6,C,2,4,7,4,ok,296.13015585674424,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/C/jkl_2_4_7/bifurcations/bif_C_sol004.csv
2026-03-07T13:37:19,re300_lx10_lz6,B,2,4,9,1,ok,185.77790952752133,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/B/jkl_2_4_9/bifurcations/bif_B_sol001.csv
2026-03-07T13:39:00,re300_lx10_lz6,C,2,4,7,1,ok,166.48344327644722,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/C/jkl_2_4_7/bifurcations/bif_C_sol001.csv
2026-03-07T13:43:13,re300_lx10_lz6,C,2,4,8,2,ok,292.4966359104554,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/C/jkl_2_4_8/bifurcations/bif_C_sol002.csv
2026-03-07T13:46:57,re300_lx10_lz6,C,2,4,8,1,ok,253.8493089199614,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/C/jkl_2_4_8/bifurcations/bif_C_sol001.csv
2026-03-07T13:47:17,re300_lx10_lz6,C,2,4,7,2,ok,183.1712050131167,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/C/jkl_2_4_7/bifurcations/bif_C_sol002.csv
2026-03-07T13:55:03,re300_lx10_lz6,B,2,4,9,2,ok,172.87243703690436,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/B/jkl_2_4_9/bifurcations/bif_B_sol002.csv
2026-03-07T13:57:37,re300_lx10_lz6,C,2,4,8,3,ok,226.6678321143879,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/C/jkl_2_4_8/bifurcations/bif_C_sol003.csv
2026-03-07T14:07:54,re300_lx10_lz6,C,2,4,6,5,ok,290.1569101106251,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/C/jkl_2_4_6/bifurcations/bif_C_sol005.csv
