                     %Lz                     obs                       s                guesserr                   error     directory
               3.1291882               1.4318937                       0                       0           1.8326699e-16  ./initial-2/
               3.1191882               1.4357282                       0                       0           1.5895319e-14  ./initial-1/
               3.1091882               1.4397355                       0                       0           9.8403049e-14  ./initial-0/
               3.0246693               1.4833243             0.044944055           1.2282577e-05           2.5003403e-15   search-0/
               2.9838083               1.5152211             0.070735135           1.6771773e-05            4.915746e-15   search-1/
               2.9528055                1.550412             0.097184566           1.6980507e-05           5.2001576e-15   search-2/
               2.9328413               1.5853087               0.1223191           1.2916664e-05           2.1932861e-16   search-3/
               2.9221323                1.615813              0.14384122           1.0229232e-05           5.1921094e-16   search-4/
               2.9170179               1.6417722              0.16199628           1.0391523e-05           1.3427069e-15   search-5/
               2.9170415               1.7078313               0.2080072           1.2034979e-05           6.7978973e-14   search-6/
               2.9266337               1.7568061              0.24225698           1.6815244e-05           6.3101034e-16   search-7/
               2.9443974               1.8098976              0.27967174           1.9143107e-05           1.4943036e-16   search-8/
               2.9697679               1.8648872              0.31882669           1.7977528e-05           2.3255704e-14   search-9/
               3.0020733                1.920602              0.35899098           1.7685172e-05           3.6608119e-14   search-10/
               3.0407393               1.9761437               0.3996139           1.6580226e-05           1.2323363e-14   search-11/
               3.0854312               2.0308167              0.44030058           1.5424391e-05           5.1362598e-15   search-12/
               3.1360929               2.0840508              0.48078006           1.4617551e-05           5.3695389e-15   search-13/
               3.1929362               2.1353337              0.52087941           1.4311961e-05           1.2235632e-14   search-14/
               3.2564054               2.1841657              0.56051344            1.445579e-05           3.2334993e-15   search-15/
               3.3271176               2.2300561               0.5996999           1.4862629e-05           2.4181112e-15   search-16/
               3.4057444                2.272589              0.63859759           1.5306765e-05           3.6374603e-15   search-17/
               3.4927757               2.3115708              0.67752967           1.5680825e-05           4.1800844e-15   search-18/
               3.5881456               2.3472061               0.7169111           1.6278132e-05            7.749358e-15   search-19/
