eps,iteration,T,closure,residual,relative_closure,I_span,D_span,E_span,new_norm,span_class,step_norm,accepted,stopped
0.42041697387695315,0,75.94666213731962,2.460124476835142e-5,2.460124476835142e-5,9.552147532006911e-5,0.10003266835952918,0.10550340657983592,0.006554064600377704,0.002221891190349977,medium,0.002176896016841005,true,
0.42041697387695315,1,75.94448524599254,1.0776989475251293e-8,1.0776989475251293e-8,4.1844231287552695e-8,0.10000071337671801,0.10555815351469922,0.006556669487981823,0.00222223871564114,medium,3.967191417812358e-6,true,
0.42041697387695315,2,75.94448127880419,3.3771185417342056e-15,3.3771185417342218e-15,1.3112467870412282e-14,0.10000069035225012,0.10555816682275321,0.0065566700108519865,0.0022222386327505664,medium,0.0,false,converged
0.42047947387695317,0,75.94448127880419,3.07553513016077e-5,3.07553513016077e-5,0.00011941498375075793,0.100007872122575,0.10545474794118315,0.0065513312463689605,0.0022222386327505664,medium,0.0027200720963535528,true,
0.42047947387695317,1,75.94176121257466,1.6839987544149566e-8,1.6839987544149566e-8,6.53841738887771e-8,0.09996792282183442,0.10552317809916767,0.006554586996988819,0.00222267305862206,small,6.20051378442939e-6,true,
0.42047947387695317,2,75.94175501206568,1.4116756922035462e-14,1.4116756922035473e-14,5.481075776132204e-14,0.09996788683557689,0.10552319888482176,0.006554587813408064,0.002222672928976037,small,0.0,false,converged
0.42055759887695315,0,75.94175501206568,3.845020648690146e-5,3.845020648690146e-5,0.00014928959712671004,0.0999768642839225,0.10539390329797982,0.006547913319908415,0.002222672928976037,small,0.00339845831097125,true,
0.42055759887695315,1,75.93835656109549,2.631437937604143e-8,2.631437937604143e-8,1.0216800850210702e-7,0.09992691887684879,0.10547943573215224,0.006551982457781068,0.002223215991168767,small,9.691823337346725e-6,true,
0.42055759887695315,2,75.93834686927967,3.316519029948112e-14,3.316519029948112e-14,1.287669122248406e-13,0.09992686262602879,0.10547946819537746,0.006551983732329972,0.002223215788343493,small,0.0,false,converged
0.4206552551269532,0,75.93834686927967,4.807215784435097e-5,4.807215784435097e-5,0.00018664458951405652,0.09993808479925059,0.10531781437415488,0.006543638994368037,0.002223215788343493,small,0.004245520533797394,true,
0.4206552551269532,1,75.9341013579332,4.111994830971077e-8,4.111994830971077e-8,1.5964782381144623e-7,0.09987563930396304,0.1054247216562787,0.006548724554487094,0.0022238946626997554,small,1.5150361710756796e-5,true,
0.4206552551269532,2,75.93408620758323,7.956578125445702e-14,7.956578125445702e-14,3.089134098569741e-13,0.09987555137084891,0.10542477234941372,0.006548726543807094,0.002223894345289218,small,0.0,false,converged
0.4207773254394532,0,75.93408620758323,6.0104879713561063e-5,6.0104879713561063e-5,0.00023335663960842893,0.09988957965366896,0.10522265143193099,0.0065382930896295335,0.002223894345289218,small,0.005302907429638646,true,
0.4207773254394532,1,75.92878331165554,6.4257218196308e-8,6.4257218196308e-8,2.494699058920322e-7,0.09981150128403349,0.10535627256696478,0.006544648688202551,0.0022247430110110154,small,2.368590097861432e-5,true,
0.4207773254394532,2,75.92875962577291,1.99616842989915e-13,1.99616842989915e-13,7.749851937883463e-13,0.09981136380884381,0.1053563517141316,0.006544651792286492,0.002224742514087063,small,0.0,false,converged
0.4209299133300782,0,75.92875962577291,7.515403179281914e-5,7.515403179281914e-5,0.0002917752881998842,0.09982890003725564,0.10510361678910929,0.006531606021136921,0.002224742514087063,small,0.0066223847155942985,true,
0.4209299133300782,1,75.92213725546266,1.0041620637119523e-7,1.0041620637119523e-7,3.898363124557643e-7,0.0997312684151439,0.10527062281525201,0.006539548398985448,0.00222580345983421,small,3.703554399918649e-5,true,
0.4209299133300782,2,75.92210021994735,4.844207155735344e-13,4.844207155735344e-13,1.880620453532918e-12,0.09973105345236588,0.10527074636648415,0.006539553240851079,0.0022258026814928663,small,0.0,false,converged
